controller,stage2_rank,sample_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,control_effort,max_abs_ax_m_s2,max_ax_step_m_s2,max_thrust_N,max_abs_torque_Nm
pid,1,calm__+x_r0.15,True,True,4.92,0.06782475255056222,0.3919725017731242,,,0.011209616405494852,0.1210464274629088,0.12075,129.88867926913827,0.19033635772543597
pid,1,wind_1p5__+x_r0.15,True,True,2.0200000000000005,0.0573391441935597,0.5443303721023052,,,0.05138665274865188,0.11915860892242915,0.120289185906764,129.89524865343745,0.1819427983311525
pid,1,wind_3p0__+x_r0.15,True,False,,0.1656834132061176,1.2686458701878869,,,0.6367035887022403,0.38437866040452384,0.11842854337624086,129.96767478324836,0.2226304441240149
pid,1,calm__-x_r0.15,True,True,4.92,0.06782165840279247,0.3919725017731242,,,0.011209616405494852,0.1210464274629088,0.12075,129.88867926913827,0.19033635772543597
pid,1,wind_1p5__-x_r0.15,True,True,6.26,0.09995323733006313,0.30655371627451133,,,0.043162385806833216,0.15310565415682723,0.12121081409323597,129.89687206156304,0.19871393209974558
pid,1,wind_3p0__-x_r0.15,True,False,,0.24564186552121772,1.014972550532593,,,0.6176773623407266,0.38437866040452384,0.12307145662375915,129.9915644725579,0.20140878150521366
pid,1,calm__+y_r0.15,True,False,,1.4611399946469152,0.0,,,0.0,0.0,0.0,136.53446119399752,4.070504685932759
pid,1,wind_1p5__+y_r0.15,True,False,,0.5921619511185121,0.34104402537497197,,,0.03836205800141435,0.09690305676226635,0.011561204323057128,132.5175021876179,4.070107622402767
pid,1,wind_3p0__+y_r0.15,True,False,,0.6212912107715283,1.1251770639202043,,,0.6238744515437776,0.38437866040452384,0.04639771226872,132.52598815941892,4.067626719995801
pid,1,calm__-y_r0.15,True,False,,1.4611399946469152,0.0,,,0.0,0.0,0.0,136.53446119399752,4.070504685932759
pid,1,wind_1p5__-y_r0.15,True,False,,0.5921619511185121,0.34104402537497197,,,0.03836205800141435,0.09690305676226635,0.011561204323057128,132.5175021876179,4.070107622402767
pid,1,wind_3p0__-y_r0.15,True,False,,0.6212912107715283,1.1251770639202043,,,0.6238744515437776,0.38437866040452384,0.04639771226872,132.52598815941892,4.067626719995801
pid,1,calm__+z_r0.15,True,True,1.065,0.029206261724303247,0.0,,,0.0,0.0,0.0,139.8144,0.0
pid,1,wind_1p5__+z_r0.15,True,True,3.2700000000000005,0.05658071830751311,0.34650553526327016,,,0.03834635519198021,0.09690305676226635,0.011561204323057128,139.81884741405952,0.06542235793461769
pid,1,wind_3p0__+z_r0.15,True,False,,0.1977538126603382,1.1426742409010158,,,0.6205420410658008,0.38437866040452384,0.04639771226872,139.8900579921767,0.20140878150521366
pid,1,calm__-z_r0.15,True,True,1.065,0.029206261724303375,0.0,,,0.0,0.0,0.0,133.69032302575295,0.0
pid,1,wind_1p5__-z_r0.15,True,True,3.2800000000000002,0.05616431564414454,0.33334850113550035,,,0.037836801856876455,0.09690305676226635,0.011561204323057128,133.69040289145255,0.06249017921250583
pid,1,wind_3p0__-z_r0.15,True,False,,0.19737395622871284,1.100791077466324,,,0.617618453744734,0.38437866040452384,0.04639771226872,133.69416514205005,0.20140878150521366
pid,1,calm__+x_r0.25,True,True,5.68,0.11302648850091222,0.6416156397052035,,,0.03170110171313713,0.20180053277697663,0.20124999999999998,129.89594431229074,0.3171845557106885
pid,1,wind_1p5__+x_r0.25,True,True,2.3500000000000005,0.09328279485649804,0.7154269265258564,,,0.070584933051666,0.17054929308985783,0.200789185906764,129.90183535186816,0.3087945870721355
pid,1,wind_3p0__+x_r0.25,True,False,,0.15990141394753324,1.3805697629889075,,,0.6554473825694576,0.38437866040452384,0.19892854337624086,129.9795560458558,0.3065708088242569
pid,1,calm__-x_r0.25,True,True,5.68,0.11301786210046533,0.6416156397052059,,,0.03170110171313723,0.20180053277697663,0.20125,129.89594431229074,0.31718455571068854
pid,1,wind_1p5__-x_r0.25,True,True,6.120000000000001,0.14121011232962646,0.4224006703745259,,,0.056776873813659735,0.2334023986413448,0.20171081409323602,129.90306575010527,0.32554789369064535
pid,1,wind_3p0__-x_r0.25,True,False,,0.2858250432105582,0.9882487967639004,,,0.6293676786953754,0.38437866040452384,0.20357145662375914,130.0144548180184,0.32734196633821416
pid,1,calm__+y_r0.25,True,False,,1.8609632382557795,0.0,,,0.0,0.0,0.0,142.3231803422361,4.868918631220175
pid,1,wind_1p5__+y_r0.25,True,False,,1.028031262590076,0.3417670702482669,,,0.03844425469875554,0.09690305676226635,0.011561204323057128,131.60209864993752,4.850518857105173
