candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,task_success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,control_effort,ramp_peak_position_error_m,ramp_steady_state_position_error_m,gain_norm
pid_000,8,8,4,1.0,0.5,6.455,0.20482022922784765,0.7904971111071408,0.33263046593461687,0.0,0.0,1.2806248474865698
pid_001,8,8,4,1.0,0.5,5.9975000000000005,0.1765780323436612,0.8302168645700643,0.3498612984908814,0.0,0.0,1.284523257866513
pid_002,8,8,2,1.0,0.25,2.515,0.18670811240814236,0.8567732253314364,0.31221095314566655,0.0,0.0,2.154065922853802
pid_003,8,8,4,1.0,0.5,5.4625,0.16088412296701682,0.8661715205668599,0.31868803365465415,0.0,0.0,2.1563858652847827
pid_004,8,8,4,1.0,0.5,5.4725,0.1708033315905773,0.8308570701533878,0.3229981070648842,0.0,0.0,4.079215610874228
pid_005,8,8,4,1.0,0.5,5.3,0.15234281218001988,0.8399516579287432,0.328127181068133,0.0,0.0,4.080441152620633
pid_006,8,8,0,1.0,0.0,,0.28489156482024514,2.7420834223707207,1.1689122316143887,0.0,0.0,1.886796226411321
pid_007,8,8,0,1.0,0.0,,0.30031725985501406,2.9882590065691947,1.3842772237603629,0.0,0.0,1.8894443627691184
pid_008,8,8,0,1.0,0.0,,0.18204304716648328,1.8946168036527973,0.5229901751540191,0.0,0.0,2.5612496949731396
pid_009,8,8,0,1.0,0.0,,0.17467081163505238,1.9330673290330331,0.5418240322003147,0.0,0.0,2.563201123595259
pid_010,8,8,2,1.0,0.25,2.225,0.1406021088355024,1.2892536427716677,0.4119835517551176,0.0,0.0,4.308131845707604
pid_011,8,8,2,1.0,0.25,2.275,0.13284824860530697,1.3021147723788347,0.41633410139582494,0.0,0.0,4.309292285283049
pid_012,8,8,0,1.0,0.0,,1.0509147412951207,11.237357526754046,16.64365407447525,0.0,0.0,3.3526109228480423
pid_013,8,8,0,1.0,0.0,,1.1052795841922074,11.48595017951904,17.4958020498221,0.0,0.0,3.3541019662496847
pid_014,8,8,0,1.0,0.0,,0.43198802517418233,7.1746413623375265,5.438835584635855,0.0,0.0,3.773592452822642
pid_015,8,8,0,1.0,0.0,,0.4487459914717283,7.449237667846867,5.817519205211605,0.0,0.0,3.774917217635375
pid_016,8,8,0,1.0,0.0,,0.16851463290107913,2.6546702334631407,0.9309883095668764,0.0,0.0,5.122499389946279
pid_017,8,8,0,1.0,0.0,,0.16740826235478412,2.692538645958937,0.9490103465531112,0.0,0.0,5.1234753829798
