sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,residual_clip_fraction_mean,residual_clip_fraction_p95,residual_clip_fraction_max,trust_mean,trust_p95,trust_max,residual_unrepresented_norm_mean,residual_unrepresented_norm_p95,residual_unrepresented_norm_max,residual_debt_norm_mean,residual_debt_norm_p95,residual_debt_norm_max,steady_equality_residual_mean,steady_equality_residual_p95,steady_equality_residual_max,steady_task_residual_mean,steady_task_residual_p95,steady_task_residual_max,requested_steady_input_max_abs_mean,requested_steady_input_max_abs_p95,requested_steady_input_max_abs_max,feasible_steady_input_max_abs_mean,feasible_steady_input_max_abs_p95,feasible_steady_input_max_abs_max,backbone_norm_mean,backbone_norm_p95,backbone_norm_max,qp_correction_norm_mean,qp_correction_norm_p95,qp_correction_norm_max,limiter_mismatch_mean,limiter_mismatch_p95,limiter_mismatch_max,steady_infeasibility_fraction,steady_constraint_activity_fraction,reachable_constraint_activity_fraction,solver_success_rate,qp_iterations_max
dev_calm_00,NORMAL_CALM,cart_ofmpc,cart_a_001,True,True,2.26,0.0641501610282782,0.1938538665929659,0.18000000000000088,0.0006922029625901132,0.30299850499502023,0.7020587459590274,0.25,135.10922713066037,0.7034028303370566,0.052987626572047294,[],2.6169,0.0,0.004149377593360996,0.0,0.0,0.0,0.9584569448821664,0.9999999852701156,1.0,6.658832267786204e-05,0.0003275080272560162,0.0007093261533359909,0.00014669635234745284,0.0006792641423137017,0.000977888397775857,6.658832267786204e-05,0.0003275080272560162,0.0007093261533359909,4.1762490451708265e-11,2.0226312686283204e-10,3.7439788544233e-10,0.0010831304268429708,0.005700906255925966,0.011548548052808222,0.0010831304268429708,0.005700906255925966,0.011548548052808222,0.08911961711229967,0.3360482677611403,2.036481838913737,0.03847375677389264,0.14996775114764205,1.6286892857372535,6.1421935702727014e-09,0.0,1.4802686504333806e-06,0.012448132780082987,0.0,0.0,1.0,75
dev_constant_2p0_00,NORMAL_CONSTANT,cart_ofmpc,cart_a_001,True,True,2.325,0.06925092175346928,0.35797063359773723,0.1848953892128196,0.011429335597342662,0.44065670031190446,0.7021228611672494,0.25,135.09554874444655,0.7037873658042639,0.05467751812999184,[],2.5879,0.0,0.004149377593360996,0.0,0.0,0.0,0.9699102133774309,0.973991956145887,1.0,0.00024067426895368467,0.0006601977853142268,0.0009111822297932854,0.0007716869316574155,0.0014305878744350561,0.0016182418596050168,0.00024067426895368467,0.0006601977853142268,0.0009111822297932854,2.106866156642947e-09,2.4015976096178053e-09,2.465291951686689e-09,0.006197310895873964,0.014201752579971435,0.019996711308864552,0.006197310895873964,0.014201752579971435,0.019996711308864552,0.8560793474485747,0.9570992734257645,1.7245005322798592,0.059339970491934395,0.23890323177998682,1.6336534160102907,6.142193580516609e-09,0.0,1.4802686529036269e-06,0.0,0.0,0.0,1.0,75
dev_strong_preexisting_00,STRONG_PREEXISTING,cart_ofmpc,cart_a_001,True,False,,0.6471129843954904,9.017214576766602,1.1870074879005084,0.7339395811772786,25.153187513910655,2.0,0.25,135.28328603438433,1.8935242372857926,0.7258863872848385,[],2.7354,0.08713692946058091,0.44813278008298757,0.2784361154265449,0.5774921138016147,0.595750135241638,0.5775319045187791,0.9666820420973123,1.0,0.00770305620022726,0.013052297538671523,0.013378329644854534,0.01800063925975351,0.03330305878901704,0.034563894924255295,0.00770305620022726,0.013052297538671523,0.013378329644854534,8.200693702770987e-08,1.427962682141081e-07,1.4705375718030325e-07,0.2001615191760302,0.3176127701820439,0.32355556501047755,0.16098416587259978,0.3176127701820439,0.32355556501047755,7.093874667239132,15.869255133546362,16.99232357992845,20.68246062162336,41.53084055392581,42.98382153875551,4.442375812947498e-06,2.4822062986373794e-05,5.217013040148544e-05,0.0,0.0,0.2946058091286307,1.0,450
dev_strong_simultaneous_00,STRONG_SIMULTANEOUS,cart_ofmpc,cart_a_001,True,False,,0.618658443722443,7.739017789601035,1.0747761775532152,0.7939195664991114,18.996080915557304,2.0,0.25000000000000006,135.72684131612846,1.9494939904170008,0.7393083633391129,[],2.7206,0.06224066390041494,0.37344398340248963,0.2134434174308107,0.5690210118051676,0.5951874292053835,0.6772349939417076,0.9999999852701156,1.0,0.005795935730974466,0.012846090804758986,0.01341378310624128,0.013457135465101638,0.032936611167868744,0.034935071758603393,0.005795935730974466,0.012846090804758986,0.01341378310624128,6.199882320150468e-08,1.4298569183827214e-07,1.4665422300696714e-07,0.14930807475454808,0.2997278767043852,0.3285387093326248,0.11969036602772216,0.2997278767043852,0.3285387093326248,5.6283390449752515,15.56710946787966,16.888840276790777,15.870746188832326,40.58286941544966,42.45665573946915,3.7927069721497203e-06,1.925047494211185e-05,0.0001435297742702346,0.0,0.0,0.22821576763485477,1.0,450
dev_strong_post_target_00,STRONG_POST_TARGET,cart_ofmpc,cart_a_001,True,False,,0.49148095609170594,7.130211158231116,0.392555182281349,0.745391952720583,16.094878310616267,2.0,0.25,135.42267513784967,1.9523318530641298,0.7419546139463644,[],2.6677,0.06224066390041494,0.34439834024896265,0.16311178204398424,0.558495975299139,0.595813828113216,0.7347747966662471,0.9999999852701156,1.0,0.004693898800806047,0.012761220247817414,0.013369402858569702,0.011179568256023455,0.032990965255294,0.03500377614273934,0.004693898800806047,0.012761220247817414,0.013369402858569702,4.8510351328421956e-08,1.3894469194852313e-07,1.468645038697855e-07,0.12099917804178724,0.29944275728378394,0.3250343369654626,0.097457041150817,0.29944275728378394,0.3250343369654626,4.374962825763452,15.08321330253622,17.317924467392594,12.105167224865612,38.81654860794102,43.275748432439,3.4669651210135475e-06,2.023553290442237e-05,7.448059761827608e-05,0.0,0.0,0.18672199170124482,1.0,500
dev_ramp_target_00,RAMP_STRONG,cart_ofmpc,cart_a_001,True,True,2.415,0.07781751553106649,0.4703898264071323,0.18036706744718134,0.05616198978129519,0.7751746012144753,0.7019987447677604,0.25,135.1020940467979,0.7034083067410133,0.053115052458452626,[],2.5517,0.0,0.004149377593360996,0.0,0.0,0.0,0.9720098116796304,0.9999999852701156,1.0,0.0003260654547873737,0.0006084357987692019,0.0007366360811111298,0.0011174683052616067,0.0023265548303036104,0.002430293394409569,0.0003260654547873737,0.0006084357987692019,0.0007366360811111298,3.1717207015564405e-09,6.639728945680042e-09,6.678398608254916e-09,0.010148438195399864,0.02051237980704762,0.023332771080582744,0.010148438195399864,0.02051237980704762,0.023332771080582744,1.3021148382044692,2.6756020925644344,2.677326157011911,0.08684855900046914,0.17233206952895683,1.6374615951001903,6.142193571185386e-09,0.0,1.4802686506554252e-06,0.0,0.0,0.0,1.0,75
dev_calm_06,NORMAL_CALM,cart_ofmpc,cart_a_001,True,True,2.24,0.07178109071710778,0.29804976867953037,0.22999999999999945,0.0010872937739326697,0.36204364147800533,0.7607236502460533,0.25,140.01611594923367,0.642886469046917,0.07975000499982032,[],2.5133,0.0,0.004149377593360996,0.0,0.0,0.0,0.9629814472954711,0.9999999852701156,1.0,0.00010291800318765593,0.0005340503820927858,0.001044747014380726,0.0002279879697482954,0.0010696263200139662,0.0014450347334740853,0.00010291800318765593,0.0005340503820927858,0.001044747014380726,6.329822590961078e-11,3.039286549706826e-10,5.448698504442661e-10,0.0016336644156530074,0.00873454795229899,0.017064950785532128,0.0016336644156530074,0.00873454795229899,0.017064950785532128,0.09683910886705653,0.43063717143634267,2.5370985258864853,0.04404076219892701,0.21071799380579276,2.1076903633191124,4.387467939103316e-08,6.162975822039155e-33,1.0573797733226531e-05,0.012448132780082987,0.0,0.0,1.0,75
dev_constant_2p0_06,NORMAL_CONSTANT,cart_ofmpc,cart_a_001,True,True,2.285,0.07756586184810733,0.4198275844368319,0.23583811213863692,0.011247838483864618,0.49532814086464094,0.7543339898576902,0.25,139.99729909122894,0.6355340304684093,0.07895296965661748,[],2.643,0.0,0.004149377593360996,0.0,0.0,0.0,0.9697502162694072,0.9740127008706806,1.0,0.000265438473493804,0.0007152566118652626,0.00118263191228023,0.0008140685413875427,0.0014858274724344957,0.0019984247616576193,0.000265438473493804,0.0007152566118652626,0.00118263191228023,2.118855639502491e-09,2.5243355449956907e-09,2.6730563507117405e-09,0.006389906173993313,0.01615337634791182,0.024160135308460007,0.006389906173993313,0.01615337634791182,0.024160135308460007,0.8632679167904074,0.9944564693024506,2.051867668505346,0.06492581119151664,0.2831282001838357,2.1140507352242284,4.066843310183075e-08,0.0,9.801092377526022e-06,0.0,0.0,0.0,1.0,75
dev_strong_preexisting_06,STRONG_PREEXISTING,cart_ofmpc,cart_a_001,True,False,,0.663221359295878,9.046545273820977,1.2125599014565642,0.7348802874627718,25.06328552164444,2.0,0.25,138.97593833246748,1.8837883386836403,0.7284594095015069,[],2.7624,0.07468879668049792,0.45228215767634855,0.279954690080888,0.5773041739281934,0.5952006817633217,0.5759956413451862,0.9666820420973123,1.0,0.0077279505876012575,0.01306004037857511,0.013371491338646013,0.018038898005975884,0.03343164545422493,0.03457766002142063,0.0077279505876012575,0.01306004037857511,0.013371491338646013,8.230547710881653e-08,1.431440796542318e-07,1.4698115423754477e-07,0.2005625690901734,0.3179479179846586,0.3251685416894832,0.1612839001400844,0.3179479179846586,0.3251685416894832,7.066975003527839,15.73226954549328,17.010028003868495,20.704437168124496,41.39339721557356,42.85230412700929,5.268277639699138e-06,3.153125827992653e-05,6.30984258620515e-05,0.0,0.0,0.2946058091286307,1.0,425
dev_strong_simultaneous_06,STRONG_SIMULTANEOUS,cart_ofmpc,cart_a_001,True,False,,0.6640466216054727,8.247489738535922,1.1516405713379394,0.8665351083303616,19.05492021764396,2.0,0.25000000000000006,140.7862794817039,1.973968641090796,0.7628274953385921,[],2.696,0.024896265560165973,0.3775933609958506,0.2153426610316144,0.5797689540886569,0.6059006354114134,0.6762419552084149,0.9999999852701156,1.0,0.005816796766509937,0.01287309197839118,0.01360699258169484,0.013623723601589728,0.033328204229593816,0.0359037000393448,0.005816796766509937,0.01287309197839118,0.01360699258169484,6.217891895809711e-08,1.440554109497634e-07,1.4674341028803126e-07,0.15155927991816348,0.3038158493831217,0.33271003610357663,0.12531954354110922,0.3038158493831217,0.33271003610357663,5.764116722027335,16.283228759235225,16.848300113247177,16.022104246976347,41.506398145562,42.93614690411868,4.009961366881746e-06,1.9026760924134578e-05,4.2256117533057136e-05,0.0,0.0,0.21161825726141079,1.0,350
