stage,selection_authority,candidate_id,sample_count,safety_rate,success_rate,position_rmse_3d_m,position_p90_3d_m,acquisition_median_s,effort,solve_p95_ms
stage_a,False,cart_a_001,16,1.0,0.5625,0.3009032047607533,0.6551671718456842,2.285,9.41763202755422,2.7624
stage_a,False,cart_a_002,16,1.0,0.5625,0.326554310095359,0.7302322540358983,2.285,10.086430731665235,2.5527
stage_a,False,cart_a_003,16,1.0,0.875,0.14330098627131482,0.32438221709121556,2.435,3.1691994328316766,3.024
stage_a,False,cart_a_004,16,1.0,0.9375,0.1095774640100032,0.10752302209647219,2.46,2.046811145510875,2.6885
stage_a,False,cart_a_005,16,1.0,0.5625,0.32355751913237896,0.7203770113007817,2.2800000000000002,9.091984351188069,2.7859
stage_a,False,cart_a_006,16,1.0,0.5625,0.14046917076686705,0.3179924547551953,2.3150000000000004,3.1647920211241454,2.6908
stage_a,False,cart_a_007,16,1.0,0.5625,0.34625290485090576,0.7963027240617051,2.29,9.857372545232968,2.8074
stage_a,False,cart_a_008,16,1.0,0.5625,0.32721853776311294,0.7350420023184963,2.3049999999999997,9.39394384527873,2.8717
stage_b,True,cart_b_001,94,1.0,0.648936170212766,0.10527127917156004,0.11848732117794558,2.24,2.0400773681466613,4.6908
stage_b,True,cart_b_002,94,1.0,0.648936170212766,0.11090253221372935,0.1149521282145629,2.24,2.1524484259739087,5.6356
stage_b,True,cart_b_003,94,1.0,0.6702127659574468,0.11605287344277147,0.1126306707735887,2.25,2.1944390803178395,3.7657
stage_b,True,cart_b_004,94,1.0,0.723404255319149,0.20426445715826166,0.5751663556150217,2.26,6.499922190825437,3.3628
stage_b,True,cart_b_005,94,1.0,0.723404255319149,0.22258311735232184,0.6349428469053234,2.2575,6.638221541481806,3.5865
stage_b,True,cart_b_006,94,1.0,0.723404255319149,0.23396291954218754,0.6810894730353704,2.2575,6.686452509238604,3.4928
stage_b,True,cart_b_007,94,1.0,0.7021276595744681,0.22995067382736942,0.6030509868614937,2.25,7.272722809448481,3.7964
stage_b,True,cart_b_008,94,1.0,0.6914893617021277,0.24825907095242986,0.6577896608192708,2.25,7.4967142030852045,4.0718
stage_b,True,cart_b_009,94,1.0,0.6914893617021277,0.2580706767550137,0.7037575935827186,2.24,7.609306928650332,4.6872
stage_b,True,cart_b_010,94,1.0,0.6914893617021277,0.24080213115497354,0.6205416231984926,2.25,7.537743698726749,4.9775
stage_b,True,cart_b_011,94,1.0,0.6914893617021277,0.2527958236772961,0.6707337093152557,2.24,7.686841747654613,4.7197
stage_b,True,cart_b_012,94,1.0,0.6808510638297872,0.27456661620052175,0.7303840665359002,2.245,7.992308258652382,3.3143
stage_b,True,cart_b_013,94,1.0,0.5319148936170213,0.3046248652109729,0.7470386671516813,2.4400000000000004,8.903920173824343,3.3768
stage_b,True,cart_b_014,94,1.0,0.8617021276595744,0.10143158771563718,0.11070920272491402,2.9299999999999997,1.5362894114995587,4.4674
stage_b,True,cart_b_015,94,1.0,0.648936170212766,0.28505278838915465,0.7128400297165323,2.2350000000000003,8.584295103051359,3.2853
stage_b,True,cart_b_016,94,1.0,0.7021276595744681,0.2473330622823755,0.6609665004583946,2.255,7.434702650254107,3.5477
stage_b,True,cart_b_017,94,1.0,0.7021276595744681,0.2481858371541316,0.68859434075635,2.2575,7.182568188495512,3.6775
stage_b,True,cart_b_018,94,1.0,0.6063829787234043,0.26724849095251013,0.6708361112659621,2.4350000000000005,8.033594260244755,5.0209
stage_c,True,cart_b_001,94,1.0,0.648936170212766,0.10527127917156004,0.11848732117794558,2.24,2.0400773681466613,4.6051
stage_c,True,cart_b_014,94,1.0,0.8617021276595744,0.10143158771563718,0.11070920272491402,2.9299999999999997,1.5362894114995587,4.4132
stage_c,True,cart_b_002,94,1.0,0.648936170212766,0.11090253221372935,0.1149521282145629,2.24,2.1524484259739087,5.7845
stage_c,True,cart_b_003,94,1.0,0.6702127659574468,0.11605287344277147,0.1126306707735887,2.25,2.1944390803178395,4.5653
stage_c,True,cart_b_004,94,1.0,0.723404255319149,0.20426445715826166,0.5751663556150217,2.26,6.499922190825437,4.6028
stage_c,True,cart_b_005,94,1.0,0.723404255319149,0.22258311735232184,0.6349428469053234,2.2575,6.638221541481806,5.5514
