sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction
dev_constant_2p0_10,NORMAL_CONSTANT,legacy_self,self_a_034,True,True,2.4400000000000004,0.08566666434295989,0.39200788387751534,0.23287443600875338,0.0015365336484191902,0.6903886504694142,0.8841308007461457,0.25,135.3773459013226,0.8843492957958857,0.07319179923481155,[],1.2383,0.0,0.004149377593360996
dev_strong_preexisting_10,STRONG_PREEXISTING,legacy_self,self_a_034,True,False,,0.708418454507763,10.366768387204024,1.111266003504542,0.7763330158217121,27.539394763435517,2.0,0.25,139.6456038422875,2.0822543949818284,0.761679256962041,[],1.2982,0.0912863070539419,0.5020746887966805
dev_strong_simultaneous_10,STRONG_SIMULTANEOUS,legacy_self,self_a_034,True,False,,0.4890369593666873,8.26536265430976,0.6010587186375874,0.7300339325667788,19.381903583282707,2.0,0.25,136.63716429074628,2.164693886266624,0.7705779861437196,[],1.2027,0.15352697095435686,0.34024896265560167
dev_strong_post_target_10,STRONG_POST_TARGET,legacy_self,self_a_034,True,False,,0.6004361945155668,7.5426365749261794,1.1732882901737969,0.7732058039218263,17.443296102503115,2.0,0.25,136.81981429049569,2.0205424988639544,0.7678350380124763,[],1.2995,0.07468879668049792,0.3278008298755187
dev_ramp_target_10,RAMP_STRONG,legacy_self,self_a_034,True,True,2.495,0.08722282370972799,0.5267538907572478,0.22968235254132213,0.026256378446378428,1.0175536149238669,0.8844625826182009,0.25,135.45702989355442,0.8847479608062255,0.0780344802679586,[],1.0306,0.0,0.004149377593360996
dev_calm_11,NORMAL_CALM,legacy_self,self_a_034,True,True,2.205,0.06746925823228228,0.32040754052832776,0.23,0.001246833909849785,0.3197018541539883,0.822066010948717,0.25,140.8398752924696,0.7818130843193958,0.09536952363888804,[],1.2642,0.0,0.008298755186721992
dev_constant_2p0_11,NORMAL_CONSTANT,legacy_self,self_a_034,True,True,2.255,0.0691323479687139,0.43466037097594185,0.22931501362540616,0.0011172141641747207,0.4622887691580875,0.8141142219436103,0.25,140.8100163694559,0.7203152860937919,0.09386300929318224,[],0.7748,0.0,0.004149377593360996
dev_strong_preexisting_11,STRONG_PREEXISTING,legacy_self,self_a_034,True,False,,0.7383480493146668,10.347598433830768,1.3274675027775866,0.6798133902059333,27.45569700036181,2.0,0.25,145.3448793797639,2.0781036750325566,0.7697758886414798,[],0.9745,0.0954356846473029,0.5145228215767634
dev_strong_simultaneous_11,STRONG_SIMULTANEOUS,legacy_self,self_a_034,True,False,,0.5848582824084319,8.396652720892845,1.1908085989788408,0.6801538788290202,19.276691920338212,2.0,0.25,141.69879119934055,2.0387470276625566,0.7490541403931825,[],1.2079,0.07053941908713693,0.3941908713692946
dev_strong_post_target_11,STRONG_POST_TARGET,legacy_self,self_a_034,True,False,,0.5658786828589483,7.418127350925219,1.0995256327187406,0.7320633556008653,17.15800901887582,2.0,0.25,140.83987529246969,2.0395882016061013,0.7693958001990778,[],1.0537,0.14107883817427386,0.36099585062240663
dev_ramp_target_11,RAMP_STRONG,legacy_self,self_a_034,True,True,2.2649999999999997,0.0755603125533632,0.5201277382539922,0.2304870951588157,0.025350221247374384,0.7843475658163013,0.8205630610149088,0.25,140.83117876031724,0.7659202497222355,0.09433203675528065,[],1.0948,0.0,0.008298755186721992
dev_stochastic_3000,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.285,0.06708926580906836,0.3694111521157312,0.18320207116773965,0.00911213290307849,0.40926278807133515,0.7049432439367501,0.25,135.2085370936059,0.7057978014289644,0.054780575814945665,[],1.2377,0.0,0.004149377593360996
dev_stochastic_3001,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.1050000000000004,0.06523961961716981,0.4708219506368737,0.1959734103095051,0.007824017904938868,0.44728046307869623,0.6401402811424175,0.25,133.65695027821428,0.6615456098384115,0.07802475003589922,[],0.8498,0.0,0.004149377593360996
dev_stochastic_3002,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.2750000000000004,0.06091394386554276,0.36310519116928075,0.18146411584085387,0.01315547530435337,0.38900705644411315,0.6031688710905663,0.25,137.90014413172008,0.5819597008277152,0.06272881795922759,[],0.7983,0.0,0.004149377593360996
dev_stochastic_3003,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.115,0.057154034923965,0.36366432618185185,0.17295695150269835,0.007452978090592783,0.2797375382669907,0.6148191430225605,0.25,138.06589719746378,0.6784971201602354,0.0864720741017584,[],0.7814,0.0,0.004149377593360996
dev_stochastic_3004,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.38,0.06739552893094182,0.15001409771425758,0.18286199503886805,0.007661910481186289,0.4133750596477112,0.8123760882622469,0.25,131.13557027121325,0.8650223135542502,0.031618533809192634,[],1.3522,0.0,0.004149377593360996
dev_stochastic_3005,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,1.6850000000000005,0.04467998622079788,0.2207211710937345,0.17770113986029248,0.007563632364090419,0.3815401643840773,0.8264956069843458,0.25,140.83692241859964,0.580463439361827,0.06282488195643994,[],1.0867,0.0,0.012448132780082987
dev_stochastic_3006,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.4850000000000003,0.07736959886516791,0.3753390011902017,0.2373385011716172,0.005386461168446403,0.5860785260468493,0.7545291352251006,0.25,139.94020043370938,0.6995162894027392,0.09477606653580044,[],0.9702,0.0,0.004149377593360996
dev_stochastic_3007,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,1.8049999999999997,0.056996045385844504,0.35948706915128853,0.23293608166897403,0.016992388352217096,0.5277365537182375,1.0424123506372798,0.25,143.69772807468402,0.5565628839424321,0.052936462632054766,[],1.0866,0.0,0.004149377593360996
dev_stochastic_3008,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.3500000000000005,0.0791142522913702,0.4672933573639076,0.229340781895786,0.011406104097842141,0.431186693672705,0.8817737287666065,0.25000000000000006,131.21080762612226,0.9649936168780333,0.13567120165438187,[],1.0632,0.0,0.016597510373443983
dev_stochastic_3009,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.46,0.0754394304670281,0.4091527860528305,0.23055434979454786,0.007880857463638728,0.35629080500328864,0.8652339067139502,0.25,136.20865769359347,0.9103958675794854,0.1289613583385667,[],1.0336,0.0,0.004149377593360996
dev_stochastic_3010,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.4800000000000004,0.08611443722574998,0.38896710775266174,0.23906184239578404,0.01133053112243673,0.6356104324719212,0.8829508377935309,0.25,135.02509765233452,0.8849777476695894,0.08192666770137877,[],0.9349,0.0,0.004149377593360996
dev_stochastic_3011,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.0600000000000005,0.06741941161010757,0.3499784195658542,0.2290700849100995,0.014700467046866944,0.39838054792097227,0.8324924976560042,0.25,140.95825161173042,0.8366591756788215,0.09988574349231615,[],0.9549,0.0,0.012448132780082987
dev_stochastic_3012,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.25,0.06403764597075107,0.22908768600064366,0.18828089209390775,0.008512701086193166,0.3836607841130204,0.7049590778088387,0.25,135.1282108554356,0.706777620379425,0.054879313890823,[],1.012,0.0,0.004149377593360996
dev_stochastic_3013,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.205,0.055005245197844534,0.2093759119191088,0.17713661789352883,0.007361202834935793,0.39206592602407186,0.6663250879290132,0.25,133.72145433205372,0.7822893192117935,0.09515784348114792,[],0.9482,0.0,0.0
dev_stochastic_3014,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.08,0.05684240912700302,0.3542429717591311,0.17587124762071238,0.003935618559212663,0.3810604290439109,0.6044274555907919,0.25,137.91014430285838,0.5759174572926808,0.09287436161077561,[],0.956,0.0,0.004149377593360996
dev_stochastic_3015,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,1.9850000000000003,0.05887622456719436,0.34330283052758626,0.1842305330394138,0.012469995956501985,0.4149034892973085,0.7289335905671712,0.25,137.75023694854315,0.8429513463820637,0.09668921236262815,[],0.9823,0.0,0.012448132780082987
dev_stochastic_3016,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.375,0.06730107663171327,0.2645941184223094,0.18059097395166412,0.015297291103863356,0.5194670749848993,0.8129315307715137,0.25,131.14616490212637,0.8645241046661345,0.06977250171014492,[],0.9891,0.0,0.004149377593360996
dev_stochastic_3017,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.2,0.04618499232182825,0.35230881953400084,0.17193613381044218,0.018856656582694066,0.4636279819706263,0.838943623987467,0.25,140.98733278424518,0.5768397120617934,0.07453053956988923,[],1.0991,0.0,0.012448132780082987
dev_stochastic_3018,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,2.245,0.07531273181500349,0.39016275485192503,0.2361717060794038,0.02017792893040947,0.5355611711329634,0.7602871037680669,0.25,139.98697602243294,0.7779047986330626,0.08427232020551646,[],1.0384,0.0,0.004149377593360996
dev_stochastic_3019,NORMAL_STOCHASTIC,legacy_self,self_a_034,True,True,1.58,0.052234629992293766,0.2140335893721771,0.23055399534663462,0.010796413430081624,0.4457173621268651,1.0871876860750926,0.25,144.2948337607182,0.4587399188768972,0.055613904050010404,[],0.9717,0.0,0.004149377593360996
dev_strong_equilibrium,STRONG_PREEXISTING,legacy_self,self_a_034,True,False,,0.6888948476837699,10.211431801984972,1.1748157552999883,0.694049478356869,27.02598536598328,2.0,0.25,136.88717795575246,2.0395163737124817,0.7567205794098432,[],1.1031,0.12448132780082988,0.46887966804979253
dev_ramp_equilibrium,RAMP_STRONG,legacy_self,self_a_034,True,True,0.0,0.028342467997933524,0.44708566783740256,0.055865444282689955,0.02584900722731307,0.47564611422979086,0.3501367493516879,0.02115071458104162,130.13994428905056,0.1368905146581132,0.011213385894776561,[],0.9197,0.0,0.0
