sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,residual_clip_fraction_mean,residual_clip_fraction_p95,residual_clip_fraction_max,trust_mean,trust_p95,trust_max,residual_unrepresented_norm_mean,residual_unrepresented_norm_p95,residual_unrepresented_norm_max,residual_debt_norm_mean,residual_debt_norm_p95,residual_debt_norm_max,steady_equality_residual_mean,steady_equality_residual_p95,steady_equality_residual_max,steady_task_residual_mean,steady_task_residual_p95,steady_task_residual_max,requested_steady_input_max_abs_mean,requested_steady_input_max_abs_p95,requested_steady_input_max_abs_max,feasible_steady_input_max_abs_mean,feasible_steady_input_max_abs_p95,feasible_steady_input_max_abs_max,backbone_norm_mean,backbone_norm_p95,backbone_norm_max,qp_correction_norm_mean,qp_correction_norm_p95,qp_correction_norm_max,limiter_mismatch_mean,limiter_mismatch_p95,limiter_mismatch_max,steady_infeasibility_fraction,steady_constraint_activity_fraction,reachable_constraint_activity_fraction,solver_success_rate,qp_iterations_max
dev_calm_00,NORMAL_CALM,cart_ofmpc,cart_b_001,True,True,2.26,0.06416245693368405,0.19528278869551177,0.1800000000000008,0.0007601751665889884,0.30060925889123913,0.7018085582472253,0.25,135.10800654847057,0.7031581482771598,0.051384680271520704,[],4.2756,0.0,0.004149377593360996,0.0,0.0,0.0,0.9239890094458955,0.9999999254094578,1.0,7.010699268496436e-05,0.00035056129106172533,0.0006630131714659226,0.0001530815842816765,0.000696300618421131,0.0009783646417523197,7.010699268496436e-05,0.00035056129106172533,0.0006630131714659226,3.200706146754808e-11,1.305751833217904e-10,4.527043258135508e-10,0.00029148239205159407,0.0017158503809592337,0.002317011914810533,0.00029148239205159407,0.0017158503809592337,0.002317011914810533,0.0897613136219973,0.3340621347070669,2.0364818389137467,0.03877569142115705,0.15106787491755672,1.6286892857372497,6.142193571310731e-09,8.470329472543003e-22,1.4802686506554252e-06,0.016597510373443983,0.0,0.0,1.0,75
dev_constant_2p0_00,NORMAL_CONSTANT,cart_ofmpc,cart_b_001,True,True,2.375,0.07261661979715758,0.35641700366887713,0.18938099687152993,0.019953323091634508,0.4373201889175009,0.7017392142281623,0.25,135.09847010101458,0.7033776115554817,0.053168386241909754,[],4.1383,0.0,0.004149377593360996,0.0,0.0,0.0,0.928931845729051,0.9366220831087495,1.0,0.0002746027236871661,0.0006507275128184002,0.0008673944075887529,0.000911208035690014,0.0014643608739702847,0.0017180630745910288,0.0002746027236871661,0.0006507275128184002,0.0008673944075887529,1.7956735281741184e-09,2.018190358813335e-09,2.072349656468815e-09,0.0013630372570937754,0.002907577430428626,0.004054043615761028,0.0013630372570937754,0.002907577430428626,0.004054043615761028,0.7679492359124467,0.8800097074537927,1.740656637669611,0.06577588374116584,0.239340773554611,1.6395756768931582,6.142193578450797e-09,0.0,1.4802686524040265e-06,0.0,0.0,0.0,1.0,75
dev_strong_preexisting_00,STRONG_PREEXISTING,cart_ofmpc,cart_b_001,True,False,,0.1132680244934675,0.9398095047551543,0.2247070745119649,0.06578784893946928,1.785762617924185,1.4260390325781727,0.25,135.0673992653798,0.992508717683303,0.18855631927393518,[],3.7615,0.0,0.024896265560165973,0.00033242755404806556,0.0,0.040191040256777694,0.920915332295399,0.9333756801117716,1.0,0.0008231050253494707,0.0015980599113877792,0.0033949035907154344,0.0027947464043012547,0.003618679101320483,0.005320752530639634,0.0008231050253494707,0.0015980599113877792,0.0033949035907154344,5.3542515297103575e-09,5.8918843642502245e-09,6.276756155928695e-09,0.004864515910854173,0.009228220706977848,0.022924808244629877,0.004864515910854173,0.009228220706977848,0.022924808244629877,2.2734597397069267,2.4964329650505355,2.9883861388711335,0.15594392599667997,0.47574586982677014,1.8689297691036062,5.326294352182413e-08,1.9721522630525295e-31,9.951110604422553e-06,0.0,0.0,0.0,1.0,175
dev_strong_simultaneous_00,STRONG_SIMULTANEOUS,cart_ofmpc,cart_b_001,True,False,,0.41047331798485215,5.2089702370655,0.7255275739939249,0.5484841408065246,16.941498975005036,2.0,0.25000000000000006,135.72481572742882,1.336344465145727,0.5350841315369501,[],3.9363,0.04149377593360996,0.4149377593360996,0.18612035027562007,0.5225375744833529,0.5410542147571984,0.5580721446781072,0.9999999254094578,1.0,0.0045478138374663545,0.009390400690151533,0.010578635106392394,0.009374836343998945,0.02165167525810711,0.023273461089587305,0.0045478138374663545,0.009390400690151533,0.010578635106392394,2.27722365888986e-08,4.660717926198591e-08,5.182390412332393e-08,0.023298823159020047,0.07517509445751679,0.09572236457169413,0.021687481029093996,0.07517509445751679,0.09572236457169413,4.004264957153025,10.818607581406852,11.827079587150472,6.79843744135631,17.807443998523205,19.237446389394353,1.8547979843044282e-06,9.777030337332349e-06,4.086931400149041e-05,0.0,0.0,0.17012448132780084,1.0,475
dev_strong_post_target_00,STRONG_POST_TARGET,cart_ofmpc,cart_b_001,True,False,,0.09816011140165182,0.8828772142813357,0.18228097126699222,0.0669258056026146,1.424288108536939,1.4103678277011995,0.25,135.10800654517348,1.0137058157212544,0.1886587889460555,[],3.2063,0.0,0.024896265560165973,0.0003110581293396555,0.0,0.039853254889891936,0.9296090399960917,0.9999999254094578,1.0,0.0006391053480901405,0.001621012322136307,0.003364499480657063,0.0019688412167654643,0.003395333299885669,0.005328274457620002,0.0006391053480901405,0.001621012322136307,0.003364499480657063,3.53626889338009e-09,5.896410229094016e-09,6.311278139604509e-09,0.0036894048788102336,0.008809860324256295,0.022221553391129474,0.0036894048788102336,0.008809860324256295,0.022221553391129474,1.5690121915020252,2.473628683406852,2.973527917003849,0.1376978538323405,0.46395536244607305,1.8576973037343771,3.706930316780678e-08,4.336808689942018e-19,5.176600822442978e-06,0.0,0.0,0.0,1.0,175
dev_ramp_target_00,RAMP_STRONG,cart_ofmpc,cart_b_001,True,True,2.425,0.08508374916527119,0.47235753909528727,0.18036439501496226,0.07965293935124311,0.7728462686417589,0.7016340238095108,0.25,135.10298849522945,0.7030317560704542,0.05144424598184297,[],3.4804,0.0,0.004149377593360996,0.0,0.0,0.0,0.9350755825417334,0.9999999254094578,1.0,0.000381278750783248,0.0007042935083648775,0.0007823064361567391,0.001320856215589011,0.0027741979702278004,0.0028249816098626867,0.000381278750783248,0.0007042935083648775,0.0007823064361567391,2.682983774417581e-09,5.576061064106318e-09,5.602978644647959e-09,0.002170628148690984,0.004269203887821785,0.0048097834837028414,0.002170628148690984,0.004269203887821785,0.0048097834837028414,1.1562095672736663,2.350325560977287,2.359815456410025,0.09848073758429209,0.1862918206519341,1.6370702732494777,6.142193573315038e-09,0.0,1.4802686511550256e-06,0.0,0.0,0.0,1.0,75
dev_calm_01,NORMAL_CALM,cart_ofmpc,cart_b_001,True,True,2.045,0.055157415124830834,0.19290691893297013,0.1799999999999992,0.0006937619005873921,0.278121475369425,0.6645743745819039,0.24999999999999997,133.33511270402474,0.5823182729822822,0.05622120125251722,[],3.8253,0.0,0.0,0.0,0.0,0.0,0.9205654723717005,0.9999999254094578,1.0,7.31874984514623e-05,0.00038740296600938307,0.0006979297353343536,0.00015519238896853895,0.0007292371519895318,0.001024369882189212,7.31874984514623e-05,0.00038740296600938307,0.0006979297353343536,3.543808452339095e-11,1.5477083179205092e-10,5.206492567867776e-10,0.0002648055440762124,0.0013768877379779112,0.0024001004210235013,0.0002648055440762124,0.0013768877379779112,0.0024001004210235013,0.07971976118603834,0.36914717857624874,1.9866882875170508,0.03333716594579378,0.1411727421237137,1.5543790572212748,2.174970914844327e-12,7.888609052210118e-31,5.241679867928895e-10,0.016597510373443983,0.0,0.0,1.0,75
dev_constant_2p0_01,NORMAL_CONSTANT,cart_ofmpc,cart_b_001,True,True,2.21,0.06455699138762229,0.35782433920652673,0.18882496626759848,0.01994730176192523,0.42103125922253326,0.6685921960842145,0.25,133.3813466197547,0.584487124909508,0.06342973148246443,[],3.7622,0.0,0.0,0.0,0.0,0.0,0.9290376547995284,0.9377178355769082,1.0,0.0002800232970480102,0.0007006358966703993,0.0009081253016203641,0.0009120194254406953,0.0014773255297327156,0.0018758233882848771,0.0002800232970480102,0.0007006358966703993,0.0009081253016203641,1.7944238765917973e-09,2.048594824180991e-09,2.088241013905454e-09,0.0013507458448266884,0.003153928928928017,0.004074256139715565,0.0013507458448266884,0.003153928928928017,0.004074256139715565,0.7639028254038316,0.9089862552565671,1.7293622471853287,0.06053709670264269,0.26869820912840175,1.5657703158702951,2.1669478790724623e-12,0.0,5.222344223732023e-10,0.0,0.0,0.0,1.0,75
dev_strong_preexisting_01,STRONG_PREEXISTING,cart_ofmpc,cart_b_001,True,False,,0.10789435628474871,0.9426849928450555,0.22328251372387636,0.0657658119600705,1.7848386165611925,1.4260390325781727,0.25,133.53770789670872,0.992508717683303,0.18855631927393518,[],3.454,0.0,0.02074688796680498,0.00033242755404806556,0.0,0.040191040256777694,0.9212952539304927,0.9333756801117716,1.0,0.0008284215054084685,0.0015980599113877792,0.0033949035907154344,0.002796602075756887,0.003945274022951171,0.005320752530639634,0.0008284215054084685,0.0015980599113877792,0.0033949035907154344,5.3526583905898894e-09,5.941996113532294e-09,6.276756155928695e-09,0.004885138536163759,0.009228220706977848,0.022924808244629877,0.004885138536163759,0.009228220706977848,0.022924808244629877,2.2742784885473792,2.575709094228295,2.9883861388711335,0.15091400157794604,0.4226801540206312,1.8689297691036062,5.189494380762458e-08,1.9721522630525295e-31,9.951110604422553e-06,0.0,0.0,0.0,1.0,175
dev_strong_simultaneous_01,STRONG_SIMULTANEOUS,cart_ofmpc,cart_b_001,True,False,,0.4300952355898661,5.1964648514510285,0.7491757785940601,0.5683550692781222,16.88116101118436,2.0,0.25000000000000006,135.15572650566264,1.3203338767732589,0.5430535718839004,[],3.709,0.07053941908713693,0.42323651452282157,0.18694048102355518,0.5212816323480007,0.5385047464741924,0.5566561326664837,0.9999999254094578,1.0,0.004555078488929919,0.009109359818344605,0.010374006933810055,0.00937104747484074,0.021293603882156814,0.022904986800834738,0.004555078488929919,0.009109359818344605,0.010374006933810055,2.2816677150039305e-08,4.672392818859284e-08,5.058201409180068e-08,0.023217037602681664,0.07352908028274074,0.09220130731385225,0.02158006586584997,0.07352908028274074,0.09220130731385225,4.030726918181402,11.094199629640602,12.326483279786043,6.848517727194287,17.786019738546337,19.72661410903806,1.8950802188581525e-06,9.850302996383675e-06,4.008815829159573e-05,0.0,0.0,0.17427385892116182,1.0,525
