time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,ax_cmd,ay_cmd,az_cmd,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
36.410000000000004,1.999999905407441,1.69993061391251,7.69999999996312,2.225000025452987,1.6999359265268115,4.890000000033112,-1.0745308409384788e-08,3.3420211392372365e-05,-1.9153351436893905e-11,2.225,1.7,4.89,0.0,0.0,0.0,-2.57947241668033e-06,-2.2525083758928835e-05,-3.1457081235917843e-10,True,-2.941688520033139e-07,3.629675872625886e-07,-7.74876968724553e-08,1.3974119727883837e-08,-3.1211061245522267e-09,1.5165119259910412e-07,-1.87055810046766e-07,4.013557488059956e-08,-6.867368271314e-09,7.909913078688486e-10
36.415,1.999999905672381,1.6999307946344135,7.6999999999636,2.2250000253992916,1.6999360934098946,4.890000000033025,-1.0732819282698179e-08,3.333306220641873e-05,-1.635297640248428e-11,2.225,1.7,4.89,0.0,0.0,0.0,-2.57947241668033e-06,-2.2525083758928835e-05,-3.1457081235917843e-10,True,-2.9341168619565424e-07,3.620332311333435e-07,-7.728734097153647e-08,1.3939898913183294e-08,-3.1171131929643714e-09,1.5122017525759574e-07,-1.866785404660292e-07,4.000557218604349e-08,-6.824304837033246e-09,8.052018767772315e-10
36.42,1.9999999059365068,1.6999309748857252,7.6999999999640725,2.225000025345659,1.6999362598578969,4.890000000032952,-1.0720319804697471e-08,3.324617865883987e-05,-1.2921268520600776e-11,2.225,1.7,4.89,0.0,0.0,0.0,-2.57947241668033e-06,-2.2525083758928835e-05,-3.1457081235917843e-10,True,-2.9265660090588324e-07,3.611008888187183e-07,-7.708764571902759e-08,1.3905843452775854e-08,-3.1130652252419135e-09,1.508179004688386e-07,-1.862508735290542e-07,3.987268469983369e-08,-6.800663418742828e-09,8.129459015629729e-10
36.425000000000004,1.9999999061998173,1.699931154667614,7.699999999964536,2.225000025292089,1.6999364258721437,4.890000000032896,-1.0707931764277491e-08,3.315956001452521e-05,-9.685607786651914e-12,2.225,1.7,4.89,0.0,0.0,0.0,-2.57947241668033e-06,-2.2525083758928835e-05,-3.1457081235917843e-10,True,-2.9190346884234054e-07,3.6017079966561846e-07,-7.688860741727506e-08,1.3871865954683035e-08,-3.1089944742639836e-09,1.5043812719621515e-07,-1.8577789238591593e-07,3.974372777666607e-08,-6.792519885313027e-09,8.143666018491511e-10
36.43,1.9999999064623106,1.6999313339812447,7.699999999964992,2.225000025238579,1.699936591453957,4.890000000032854,-1.0695741544488355e-08,3.3073205535409927e-05,-7.383868006428655e-12,2.225,1.7,4.89,0.0,0.0,0.0,-2.57947241668033e-06,-2.2525083758928835e-05,-3.1457081235917843e-10,True,-2.911521894427924e-07,3.5924317774566535e-07,-7.669019409131552e-08,1.383789880832301e-08,-3.104931105581315e-09,1.5007630037299088e-07,-1.8526457018804474e-07,3.962332616703605e-08,-6.795943654164633e-09,8.101051766995097e-10
36.435,1.9999999067239844,1.699931512827781,7.69999999996544,2.2250000251851305,1.6999367566046573,4.8900000000328205,-1.068380381537685e-08,3.29871144804874e-05,-6.65206006333913e-12,2.225,1.7,4.89,0.0,0.0,0.0,-2.57947241668033e-06,-2.2525083758928835e-05,-3.1457081235917843e-10,True,-2.904026818334693e-07,3.5831821302626736e-07,-7.649235471706991e-08,1.380389350824966e-08,-3.1009013667492344e-09,1.497290308676741e-07,-1.847155496469449e-07,3.95145647322436e-08,-6.807253816602181e-09,8.010549613020203e-10
36.44,1.9999999069848355,1.699931691208382,7.699999999965882,2.2250000251317408,1.6999369213255597,4.890000000032787,-1.0672145302311797e-08,3.2901286105823646e-05,-8.022317588594118e-12,2.225,1.7,4.89,0.0,0.0,0.0,-2.57947241668033e-06,-2.2525083758928835e-05,-3.1457081235917843e-10,True,-2.896548799213272e-07,3.5739607329560106e-07,-7.629502571701448e-08,1.3769819046716109e-08,-3.0969267488787887e-09,1.4939374957848675e-07,-1.841350497408181e-07,3.941944271439812e-08,-6.823146084983922e-09,7.882045266247116e-10
36.445,1.9999999072448609,1.6999318691242045,7.699999999966315,2.2250000250784083,1.6999370856179752,4.890000000032738,-1.066076835428148e-08,3.281571966457331e-05,-1.1926911100072528e-11,2.225,1.7,4.89,0.0,0.0,0.0,-2.57947241668033e-06,-2.2525083758928835e-05,-3.1457081235917843e-10,True,-2.8890872891301015e-07,3.5647690636227596e-07,-7.609813555062675e-08,1.3735659881990015e-08,-3.0930237737771252e-09,1.4906847474746538e-07,-1.8352684201014476e-07,3.9339189686706554e-08,-6.840742328980941e-09,7.725406631524978e-10
36.45,1.9999999075040567,1.6999320465764025,7.69999999996674,2.2250000250251327,1.699937249483211,4.8900000000326616,-1.0649654273775231e-08,3.2730414406995685e-05,-1.8705700125424264e-11,2.225,1.7,4.89,0.0,0.0,0.0,-2.5135737363329076e-06,-2.1945668080938133e-05,-2.9581537985031765e-10,True,-2.8816418279878456e-07,3.55560842268128e-07,-7.590160797909623e-08,1.3701413784161759e-08,-3.0892041566083535e-09,1.4875165348731597e-07,-1.828942649111389e-07,3.927448607936557e-08,-6.857594507338994e-09,7.549923240143202e-10
36.455,1.9999999077624424,1.6999322235664092,7.699999999967157,2.225000024971917,1.6999374129216227,4.890000000032564,-1.063642658241953e-08,3.264498958356302e-05,-1.98098050402498e-11,2.225,1.7,4.89,0.0,0.0,0.0,-2.5135737363329076e-06,-2.1945668080938133e-05,-2.9581537985031765e-10,True,-2.8742170966659325e-07,3.546469910763408e-07,-7.570543845548763e-08,1.3667357695759277e-08,-3.0853715443225083e-09,1.4824629677829546e-07,-1.8263771676085401e-07,3.918740351671001e-08,-6.768630009725703e-09,7.778735855968841e-10
36.46,1.999999908020042,1.6999324000956533,7.6999999999675675,2.225000024918769,1.6999375759335607,4.890000000032467,-1.0622851072463335e-08,3.2559824989221046e-05,-1.8564301881553113e-11,2.225,1.7,4.89,0.0,0.0,0.0,-2.5135737363329076e-06,-2.1945668080938133e-05,-2.9581537985031765e-10,True,-2.8668163617360965e-07,3.5373456622161524e-07,-7.550977771659632e-08,1.3633685088907032e-08,-3.0814318943674588e-09,1.477895522090066e-07,-1.8232387508918154e-07,3.9073771133312556e-08,-6.704090869852866e-09,7.972726384427508e-10
36.465,1.999999908276855,1.6999325761652793,7.699999999967971,2.2250000248656883,1.6999377385203256,4.890000000032381,-1.0609124296020319e-08,3.247491991353741e-05,-1.583929379894128e-11,2.225,1.7,4.89,0.0,0.0,0.0,-2.5135737363329076e-06,-2.1945668080938133e-05,-2.9581537985031765e-10,True,-2.8594375126747885e-07,3.528238461381987e-07,-7.531472124911729e-08,1.3600278385255185e-08,-3.077408627928347e-09,1.4736932978810212e-07,-1.8195625727106385e-07,3.894763269938913e-08,-6.661854781041242e-09,8.11078833715976e-10
36.47,1.9999999085328812,1.6999327517764287,7.699999999968368,2.225000024812677,1.6999379006832118,4.89000000003231,-1.0595402716580654e-08,3.2390273643172005e-05,-1.2500218911734568e-11,2.225,1.7,4.89,0.0,0.0,0.0,-2.5135737363329076e-06,-2.1945668080938133e-05,-2.9581537985031765e-10,True,-2.852078947688651e-07,3.519150884336085e-07,-7.512030584728553e-08,1.3567034145558503e-08,-3.073331945974703e-09,1.4697713143623338e-07,-1.8153949818132027e-07,3.881867966279222e-08,-6.638556249904423e-09,8.185805098467561e-10
36.475,1.9999999087881193,1.6999329269302395,7.699999999968757,2.2250000247597344,1.6999380624235119,4.890000000032256,-1.0581805012569733e-08,3.230588546188694e-05,-9.35361154734838e-12,2.225,1.7,4.89,0.0,0.0,0.0,-2.5135737363329076e-06,-2.1945668080938133e-05,-2.9581537985031765e-10,True,-2.844739425669485e-07,3.510085264903241e-07,-7.49265279172804e-08,1.3533867156233604e-08,-3.069233293450954e-09,1.4660687251338566e-07,-1.8107855384253615e-07,3.869355639551057e-08,-6.630369709687181e-09,8.199171896721195e-10
36.480000000000004,1.9999999090425677,1.6999331016278478,7.699999999969139,2.2250000247068584,1.6999382237425145,4.890000000032214,-1.056841535675942e-08,3.222175465057598e-05,-7.1188288126507125e-12,2.225,1.7,4.89,0.0,0.0,0.0,-2.5135737363329076e-06,-2.1945668080938133e-05,-2.9581537985031765e-10,True,-2.837417966106722e-07,3.50104369047696e-07,-7.473335629732821e-08,1.35007114881409e-08,-3.0651420802730306e-09,1.4625411209288848e-07,-1.8057827310427839e-07,3.8576771508643065e-08,-6.633463193523254e-09,8.157141806100711e-10
36.485,1.9999999092962237,1.699933275870387,7.6999999999695135,2.225000024654049,1.699938384641506,4.890000000032181,-1.0555286988141247e-08,3.213788048724925e-05,-6.415842786012692e-12,2.225,1.7,4.89,0.0,0.0,0.0,-2.5135737363329076e-06,-2.1945668080938133e-05,-2.9581537985031765e-10,True,-2.8301137804391004e-07,3.492028013435938e-07,-7.454074125616098e-08,1.3467519838540266e-08,-3.0610838961171174e-09,1.459155460003203e-07,-1.8004318251773906e-07,3.8471332087227943e-08,-6.644248037242796e-09,8.068423337087769e-10
