time,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,event,control_tick
0,0,0,0,0,3.2000000000000002,0,hover,0
0.0050000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.01,0,0,0,0,3.2000000000000002,0,hover,-1
0.014999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.02,0,0,0,0,3.2000000000000002,0,hover,-1
0.025000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.029999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.035000000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.040000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.044999999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.050000000000000003,0,0,0,0,3.2000000000000002,0,hover,10
0.055,0,0,0,0,3.2000000000000002,0,hover,-1
0.059999999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.065000000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.070000000000000007,0,0,0,0,3.2000000000000002,0,hover,-1
0.074999999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.080000000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.085000000000000006,0,0,0,0,3.2000000000000002,0,hover,-1
0.089999999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.095000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.10000000000000001,0,0,0,0,3.2000000000000002,0,hover,20
0.105,0,0,0,0,3.2000000000000002,0,hover,-1
0.11,0,0,0,0,3.2000000000000002,0,hover,-1
0.115,0,0,0,0,3.2000000000000002,0,hover,-1
0.12,0,0,0,0,3.2000000000000002,0,hover,-1
0.125,0,0,0,0,3.2000000000000002,0,hover,-1
0.13,0,0,0,0,3.2000000000000002,0,hover,-1
0.13500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.14000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.14499999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.14999999999999999,0,0,0,0,3.2000000000000002,0,hover,30
0.155,0,0,0,0,3.2000000000000002,0,hover,-1
0.16,0,0,0,0,3.2000000000000002,0,hover,-1
0.16500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.17000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.17500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.17999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.185,0,0,0,0,3.2000000000000002,0,hover,-1
0.19,0,0,0,0,3.2000000000000002,0,hover,-1
0.19500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.20000000000000001,0,0,0,0,3.2000000000000002,0,hover,40
0.20500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.20999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.215,0,0,0,0,3.2000000000000002,0,hover,-1
0.22,0,0,0,0,3.2000000000000002,0,hover,-1
0.22500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.23000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.23500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.23999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.245,0,0,0,0,3.2000000000000002,0,hover,-1
0.25,0,0,0,0,3.2000000000000002,0,hover,50
0.255,0,0,0,0,3.2000000000000002,0,hover,-1
0.26000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.26500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.27000000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.27500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.28000000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.28500000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.28999999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.29499999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.29999999999999999,0,0,0,0,3.2000000000000002,0,hover,60
0.30499999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.31,0,0,0,0,3.2000000000000002,0,hover,-1
0.315,0,0,0,0,3.2000000000000002,0,hover,-1
0.32000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.32500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.33000000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.33500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.34000000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.34500000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.35000000000000003,0,0,0,0,3.2000000000000002,0,hover,70
0.35499999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.35999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.36499999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.37,0,0,0,0,3.2000000000000002,0,hover,-1
0.375,0,0,0,0,3.2000000000000002,0,hover,-1
0.38,0,0,0,0,3.2000000000000002,0,hover,-1
0.38500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.39000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.39500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.40000000000000002,0,0,0,0,3.2000000000000002,0,hover,80
0.40500000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.41000000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.41500000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.41999999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.42499999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.42999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.435,0,0,0,0,3.2000000000000002,0,hover,-1
0.44,0,0,0,0,3.2000000000000002,0,hover,-1
0.44500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.45000000000000001,0,0,0,0,3.2000000000000002,0,hover,90
0.45500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.46000000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.46500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
