time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,uav_roll_deg,uav_pitch_deg,uav_yaw_deg,requested_thrust_N,applied_thrust_N,requested_Mx_Nm,requested_My_Nm,requested_Mz_Nm,applied_Mx_Nm,applied_My_Nm,applied_Mz_Nm,thrust_saturated,mx_saturated,my_saturated,mz_saturated,ax_cmd,ay_cmd,az_cmd,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
39.025,0.5071448517279812,254.56170930532653,3.2103587351831164,0.9889439120016772,254.7585064162848,0.4334516766203614,0.04625889699756861,8.101640040173084,-0.010020442388432116,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.189041185186851,-7.081470948237136,-1.1170956302344253,131.1925414265993,131.1925414265993,1.6122905449388094,-0.034214845160072935,-0.07044774934231374,1.6122905449388094,-0.034214845160072935,-0.07044774934231374,False,False,False,False,-1.2804281487048517,-2.0,-0.10190217134903834,True,0.011337736689660182,0.00990832907547672,0.011993320946799906,0.013807806568871175,0.01656675247063403,-0.0024583893264475765,0.00030860901601152034,0.00026828744139590315,0.0005626792926299578,0.00048428292921322155
39.03,0.5073208257533094,254.6029457631886,3.210351429521634,0.9891743883961205,254.79901436310612,0.43340155168067984,0.04593153293300725,8.101540832259358,-0.01002937951406973,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.174206869142288,-7.082315119713767,-1.1169218491874573,131.18807927330343,131.18807927330343,1.6150638401281343,-0.034441359747656324,-0.07055774974969227,1.6150638401281343,-0.034441359747656324,-0.07055774974969227,False,False,False,False,-1.2804281487048517,-2.0,-0.10190217134903834,True,0.011325432556610981,0.009909863339569511,0.011994646782744946,0.013810604416534058,0.016569170298652604,-0.0024631021732897987,0.0003050761830289011,0.00026200458956682806,0.0005564132303266684,0.0004828312584898526
39.035000000000004,0.5074959143313786,254.64418202041392,3.210344025207618,0.989403226408351,254.83952185059294,0.4333513803002969,0.04560354465492284,8.101456306079411,-0.01003901899285158,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.159367124576044,-7.083140738219029,-1.116747139766799,131.1836065702065,131.1836065702065,1.617834008951567,-0.03466115123189487,-0.07066569943039462,1.617834008951567,-0.03466115123189487,-0.07066569943039462,False,False,False,False,-1.2804281487048517,-2.0,-0.10190217134903834,True,0.011313110042858279,0.009911379722080718,0.01199594092058313,0.013813370773754318,0.01657158080535931,-0.002465745618038777,0.0003014602811817102,0.00025561072641427777,0.0005500815726317231,0.00048135329388444213
39.04,0.5076701151250314,254.6854181383793,3.210336517846856,0.9896304229256524,254.88002895214802,0.43330115895058136,0.04527493551528779,8.101386459287129,-0.010049367653835066,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.144522206708093,-7.0839482747317355,-1.116571580416951,131.17912338814298,131.17912338814298,1.620601007174203,-0.03487433375089121,-0.07077168748498375,1.620601007174203,-0.03487433375089121,-0.07077168748498375,False,False,False,False,-1.2804281487048517,-2.0,-0.10190217134903834,True,0.011300779325566454,0.009912877872406625,0.011997202853392836,0.013816105297415313,0.01657398384461495,-0.002466386844163181,0.00029778594288130646,0.0002491247131357039,0.0005436790757039279,0.0004798435565532273
39.045,0.507843425807384,254.7266541784397,3.2103289030221873,0.989855974852242,254.9205357411618,0.43325088406770385,0.04494570893718708,8.10133128925507,-0.01006043271938637,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.129672370491686,-7.084738190307442,-1.1163952466094829,131.1746297983779,131.1746297983779,1.623364790545022,-0.03508102215748521,-0.07087580037409577,1.623364790545022,-0.03508102215748521,-0.07087580037409577,False,False,False,False,-1.2804281487048517,-2.0,-0.10190217134903834,True,0.011288450257895339,0.009914357546113856,0.011998432162826842,0.01381880762896648,0.016576379248222223,-0.0024650885234590685,0.0002940714107264032,0.00024256319349891614,0.0005372045628644459,0.0004782986069903247
39.050000000000004,0.5080158440595048,254.7678902019273,3.2103211762932666,0.9900798791096433,254.96104229101093,0.43320055205103125,0.04461586842080272,8.101290793066699,-0.010072221675837602,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.114817870615658,-7.085510936161244,-1.1162182109424843,131.19209700159138,131.19209700159138,1.625725991927966,-0.03173085837750121,-0.0705752830099795,1.625725991927966,-0.03173085837750121,-0.0705752830099795,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011276132388207008,0.009915818578365938,0.011999628509104122,0.013821477411445137,0.016578766834801313,-0.00246191007529147,0.0002903305534817736,0.00023594101507548793,0.0005306596719755214,0.00047671653708356525
39.055,0.5081873650453376,254.80912626889,3.210313353823776,0.9903021312027462,255.00154867376818,0.433150180485859,0.04428484445118871,8.101264453162337,-0.010076256487682378,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.099958901861437,-7.08626435412063,-1.1160401373325433,131.18758294292803,131.18758294292803,1.628483487462412,-0.03205190605625534,-0.07070061903013407,1.628483487462412,-0.03205190605625534,-0.07070061903013407,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011263779563007387,0.009917265146873258,0.012000794768522964,0.013824113661336547,0.016581145711630135,-0.002478999709312871,0.0002881915864767121,0.0002305008446824195,0.0005238409238928356,0.0004748364012331049
39.06,0.5083579839634308,254.85036243936287,3.21030545175711,0.9905227266654174,255.042054961458,0.4330997868560973,0.04395321677731802,8.101252765535028,-0.01008104651255375,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.085095661100099,-7.08699637196948,-1.1158607094241344,131.1830586567241,131.1830586567241,1.6312376317647823,-0.03236359076691768,-0.0708230232429919,1.6312376317647823,-0.03236359076691768,-0.0708230232429919,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011251348848783059,0.009918699512859284,0.012001933094201958,0.013826716229016343,0.016583515387386265,-0.0024930878940968688,0.00028548362016461644,0.00022477288174937353,0.000517169284609048,0.00047303010707150015
39.065,0.508527698566877,254.89159877462063,3.210297465588113,0.9907416624871459,255.08256122733317,0.43304936738727806,0.043620988590791686,8.101255726765489,-0.010086591548372383,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.070228406760032,-7.087707599442288,-1.1156800347561655,131.17852421729444,131.17852421729444,1.6339883814163165,-0.03266607960072826,-0.07094261918552319,1.6339883814163165,-0.03266607960072826,-0.07094261918552319,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011238854796768803,0.009920119298924761,0.012003042144984372,0.013829285623033798,0.01658587614775075,-0.0025043504616122005,0.000282382302146988,0.0002187961914096256,0.0005105596545890574,0.0004712655345765752
39.07,0.5086965066309891,254.93283533591028,3.210289390790209,0.9909589356732631,255.12306754462915,0.4329989182996237,0.04328816304859567,8.10127333328296,-0.0100928938346985,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.055357396876177,-7.0883986326925745,-1.1154982166791114,131.17397969935107,131.17397969935107,1.6367356929620815,-0.032959537201088976,-0.07105952642897309,1.6367356929620815,-0.032959537201088976,-0.07105952642897309,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011226311168897631,0.00992152285568534,0.012004120771272967,0.013831822002641887,0.01658822813647846,-0.002512929446341878,0.00027900705878012623,0.00021260789759150058,0.0005039557018772364,0.00046951788094603864
