time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,cutter_angular_speed_rad_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
3.84,0.017690923885268214,0.8079762590468477,0.0785249365502603,0.01388298278634968,0.04468052332373584,0.0,-0.008989139242759028,0.05730940270798768,0.0,0.3898925041107799,0.07500000000000001,0.0,0.38999999999999996,0.0,129.76656547945547,0.0697697489630791,True,True,False
3.845,0.01808144812022852,0.8119247163966834,0.07782840790135324,0.013682318519911352,0.04468052332373584,0.0,-0.008989139242759028,0.05691879053972959,0.0,0.38990709909395993,0.07500000000000001,0.0,0.38999999999999996,0.0,129.76655871907437,0.06987512477872511,True,True,False
3.85,0.01846849509436763,0.81581557396825,0.07712859341542237,0.013480861751315134,0.042635029496575716,0.0,-0.009726731413563554,0.05653167099418496,0.0,0.38992167514026965,0.07500000000000001,0.0,0.38999999999999996,0.0,129.75661774550494,0.07320297419670134,True,True,False
3.855,0.01885204759744126,0.8196485691833355,0.0764254652795787,0.01327836246326078,0.042635029496575716,0.0,-0.009726731413563554,0.05614806028122313,0.0,0.3899362233914881,0.07500000000000001,0.0,0.38999999999999996,0.0,129.75660999631336,0.07319266572233116,True,True,False
3.86,0.019232088762437004,0.8234234427656908,0.07571915640052272,0.013075103675955855,0.042635029496575716,0.0,-0.009726731413563554,0.055767974336430215,0.0,0.38995073498149413,0.07500000000000001,0.0,0.38999999999999996,0.0,129.7566022070876,0.07318524533807334,True,True,False
3.865,0.019608601874244975,0.8271399829631046,0.07500971599693403,0.012871124194246658,0.042635029496575716,0.0,-0.009726731413563554,0.05539142898802352,0.0,0.389965210189442,0.07500000000000001,0.0,0.38999999999999996,0.0,129.7565943806327,0.07318051991857814,True,True,False
3.87,0.01998157054526996,0.8307979876295049,0.07429719333359507,0.012666452717801688,0.042635029496575716,0.0,-0.009726731413563554,0.05501843981809479,0.0,0.38997964926291717,0.07500000000000001,0.0,0.38999999999999996,0.0,129.7565865196632,0.07317830122088279,True,True,False
3.875,0.02035097870650523,0.8343972617203961,0.07358163778914135,0.012461110507233392,0.042635029496575716,0.0,-0.009726731413563554,0.05464902216258355,0.0,0.38999405242794305,0.07500000000000001,0.0,0.38999999999999996,0.0,129.75657862680816,0.07317840476437637,True,True,False
3.88,0.020716810600138334,0.8379376154664308,0.0728630989032804,0.012255113431802625,0.042635029496575716,0.0,-0.009726731413563554,0.05428319111090346,0.0,0.39000841989632934,0.07500000000000001,0.0,0.38999999999999996,0.0,129.7565707046165,0.07318064909514736,True,True,False
3.8850000000000002,0.021079050773422252,0.8414188630632399,0.07214162640951118,0.0120484735240773,0.042635029496575716,0.0,-0.009726731413563554,0.05392096150530393,0.0,0.3900227518709988,0.07500000000000001,0.0,0.38999999999999996,0.0,129.75656275556202,0.073184855310174,True,True,False
3.89,0.02143768407358083,0.8448408217463602,0.07141727025757116,0.01184120015025563,0.042635029496575716,0.0,-0.009726731413563554,0.05356234794004666,0.0,0.39003704854975774,0.07500000000000001,0.0,0.38999999999999996,0.0,129.75655478204717,0.07319084675685067,True,True,False
3.895,0.021792695643573282,0.8482033111617632,0.0706900806285764,0.011633300885728882,0.042635029496575716,0.0,-0.009726731413563554,0.05320736476044749,0.0,0.390051310127963,0.07500000000000001,0.0,0.38999999999999996,0.0,129.75654678640936,0.07319844885082913,True,True,False
3.9,0.022144070918564813,0.8515061529481533,0.06996010794493839,0.011424782167279079,0.04031463728588709,0.0,-0.010339720638290575,0.052856026061832706,0.0,0.39006553680031214,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74822246783822,0.07686494040230246,True,True,False
3.9050000000000002,0.022491795735045828,0.8547491284466838,0.06922733531013686,0.011215354189936811,0.04031463728588709,0.0,-0.010339720638290575,0.052508345549347246,0.0,0.39007972113557504,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74821358264802,0.07674386198280393,True,True,False
3.91,0.02283585623260264,0.8579320219291405,0.06849188915991819,0.011005338631913055,0.04031463728588709,0.0,-0.010339720638290575,0.05216433664234435,0.0,0.3900938556973198,0.07500000000000001,0.0,0.38999999999999996,0.0,129.7482047211885,0.07662733908641187,True,True,False
3.915,0.023176238733155406,0.8610546713147068,0.06775382023553866,0.010794776985759846,0.04031463728588709,0.0,-0.010339720638290575,0.051824012628682664,0.0,0.3901079406353127,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74819588530912,0.0765151431350416,True,True,False
3.92,0.023512929842024587,0.8641169246959299,0.06701317927241368,0.010583699262853413,0.04031463728588709,0.0,-0.010339720638290575,0.051487386542643565,0.0,0.3901219760669597,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74818707677255,0.07640705133187958,True,True,False
3.9250000000000003,0.02384591644494917,0.8671186374884304,0.06627001707657124,0.01037212702941117,0.04031463728588709,0.0,-0.010339720638290575,0.05115447116522798,0.0,0.39013596208865997,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74817829725902,0.07630284538677734,True,True,False
3.93,0.024175185705804,0.8700596703621651,0.06552438457802864,0.010160075737040107,0.04031463728588709,0.0,-0.010339720638290575,0.05082527902405801,0.0,0.39014989878405004,0.07500000000000001,0.0,0.38999999999999996,0.0,129.7481695483744,0.07620231067796468,True,True,False
3.935,0.024500725064885962,0.8729398877546362,0.06477633286790493,0.009947556491262954,0.04031463728588709,0.0,-0.010339720638290575,0.050499822392970545,0.0,0.3901637862300166,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74816083165422,0.07610523570870761,True,True,False
3.94,0.02482252223763965,0.8757591568250923,0.06402591322403786,0.009734577382179001,0.04031463728588709,0.0,-0.010339720638290575,0.05017811329139579,0.0,0.3901776245009343,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74815214856955,0.07601141176297412,True,True,False
3.9450000000000003,0.025140565213729506,0.878517346740808,0.06327317712844348,0.009521144479445489,0.04031463728588709,0.0,-0.010339720638290575,0.04986016348358435,0.0,0.3901914136716116,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74814350053248,0.07592063269537075,True,True,False
3.95,0.025454842256387715,0.8812143282094753,0.06251817627896253,0.00930726257296492,0.037727636251422295,0.0,-0.010831888385721349,0.04954598447772893,0.0,0.39020515381927784,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74138611861449,0.07991208526523097,True,True,False
3.955,0.025765341972677644,0.8838499258599727,0.061760905255399734,0.009092602851426634,0.037727636251422295,0.0,-0.010831888385721349,0.04923558740235762,0.0,0.39021883890757836,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74137672451084,0.0796802797454566,True,True,False
3.96,0.02607205326928113,0.8864239668490136,0.061001482656649994,0.008877524641160955,0.037727636251422295,0.0,-0.010831888385721349,0.04892898309084351,0.0,0.3902324628974882,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74136742090872,0.0794547702812948,True,True,False
3.9650000000000003,0.026374965268967127,0.8889363379303291,0.06023996036474805,0.00866207191653795,0.037727636251422295,0.0,-0.010831888385721349,0.048626182221141206,0.0,0.3902460258254197,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74135820827982,0.0792352915070629,True,True,False
3.97,0.026674067366459803,0.8913869365389212,0.05947639021042394,0.008446275838691703,0.037727636251422295,0.0,-0.010831888385721349,0.04832719521223586,0.0,0.39025952769459427,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74134908702578,0.07902158475083955,True,True,False
3.975,0.026969349226888588,0.8937756676173116,0.05871082405775197,0.00823015815066004,0.037727636251422295,0.0,-0.010831888385721349,0.048032032224755744,0.0,0.39027296848767357,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74134005748363,0.07881339660974027,True,True,False
3.98,0.027260800784770212,0.8961024413079169,0.05794331386337823,0.008013733782487275,0.037727636251422295,0.0,-0.010831888385721349,0.04774070316114015,0.0,0.3902863481759208,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74133111993288,0.07861047801188185,True,True,False
3.985,0.02754841224341444,0.8983671712949362,0.05717391171788633,0.007797012827308778,0.037727636251422295,0.0,-0.010831888385721349,0.0474532176654599,0.0,0.3902996667258399,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74132227460092,0.07841258360732997,True,True,False
3.99,0.027832174074639664,0.9005697736449186,0.05640266987458172,0.00758000202758344,0.037727636251422295,0.0,-0.010831888385721349,0.04716958512299407,0.0,0.3903129241038506,0.07500000000000001,0.0,0.38999999999999996,0.0,129.74131352166927,0.07821947138100188,True,True,False
3.995,0.028112077018719473,0.9027101660109991,0.05562964076938573,0.007362705885910881,0.037727636251422295,0.0,-0.010831888385721349,0.04688981465963449,0.0,0.39032612027952096,0.07500000000000001,0.0,0.38999999999999996,0.0,129.7413048612789,0.07803090241530154,True,True,False
4.0,0.02838811208450034,0.904788267117555,0.05485487703442726,0.007145127491521167,0.03488615517309341,0.0,-0.011208562980099465,0.04661391514117136,0.0,0.3903392552277166,0.07500000000000001,0.0,0.38999999999999996,0.0,129.73604521624526,0.08232871155786223,True,True,False
4.005,0.02866027059728893,0.9068039440217154,0.05407838539436173,0.006926900448012139,0.03488615517309341,0.0,-0.011208562980099465,0.04634189506737224,0.0,0.39035232425451605,0.07500000000000001,0.0,0.38999999999999996,0.0,129.73603599471514,0.08198758702548087,True,True,False
4.01,0.028928544185806978,0.908757065892486,0.05330027522050579,0.0067084201191813355,0.03488615517309341,0.0,-0.011208562980099465,0.04607376263562607,0.0,0.390365322665713,0.07500000000000001,0.0,0.38999999999999996,0.0,129.73602693080215,0.08165454149654038,True,True,False
