time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,cutter_angular_speed_rad_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
6.965,3.9634763794316186e-06,0.0,9.991625605483377e-06,0.0,0.0,0.0,1.0853044041328343e-05,0.225,0.0,0.5400039634763794,0.225,0.0,0.5399999999999999,0.0,129.88454369430312,0.0,True,True,False
6.97,3.913653915055271e-06,0.0,9.93736038528284e-06,0.0,0.0,0.0,1.0853044041328343e-05,0.225,0.0,0.540003913653915,0.225,0.0,0.5399999999999999,0.0,129.88454369430312,0.0,True,True,False
6.9750000000000005,3.864102775863465e-06,0.0,9.883095165082302e-06,0.0,0.0,0.0,1.0853044041328343e-05,0.225,0.0,0.5400038641027758,0.225,0.0,0.5399999999999999,0.0,129.88454369430312,0.0,True,True,False
6.98,3.81482296274438e-06,0.0,9.828829944881764e-06,0.0,0.0,0.0,1.0853044041328343e-05,0.225,0.0,0.5400038148229627,0.225,0.0,0.5399999999999999,0.0,129.88454369430312,0.0,True,True,False
6.985,3.7658144765861934e-06,0.0,9.774564724681226e-06,0.0,0.0,0.0,1.0853044041328343e-05,0.225,0.0,0.5400037658144765,0.225,0.0,0.5399999999999999,0.0,129.88454369430312,0.0,True,True,False
6.99,3.717077315612549e-06,0.0,9.720299504480688e-06,0.0,0.0,0.0,1.0853044041328343e-05,0.225,0.0,0.5400037170773155,0.225,0.0,0.5399999999999999,0.0,129.88454369430312,0.0,True,True,False
6.995,3.668611481599804e-06,0.0,9.66603428428015e-06,0.0,0.0,0.0,1.0853044041328343e-05,0.225,0.0,0.5400036686114815,0.225,0.0,0.5399999999999999,0.0,129.88454369430312,0.0,True,True,False
7.0,3.6204169727716007e-06,0.0,9.611769064079613e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.5400036204169727,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.005,3.5725071109160567e-06,0.0,9.552175614656351e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.5400035725071108,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.01,3.524895216044932e-06,0.0,9.492582165233089e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.540003524895216,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.015000000000001,3.4775812890464053e-06,0.0,9.432988715809827e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.540003477581289,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.0200000000000005,3.4305653299204764e-06,0.0,9.373395266386565e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.5400034305653298,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.025,3.383847337778967e-06,0.0,9.313801816963303e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.5400033838473377,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.03,3.3374273126218768e-06,0.0,9.254208367540041e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.5400033374273125,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.035,3.291305254449206e-06,0.0,9.194614918116779e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.5400032913052544,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.04,3.2454811641491332e-06,0.0,9.135021468693517e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.5400032454811641,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.045,3.19995504083348e-06,0.0,9.075428019270255e-06,0.0,0.0,0.0,1.191868988764904e-05,0.225,0.0,0.5400031999550408,0.225,0.0,0.5399999999999999,0.0,129.8845578034541,0.0,True,True,False
7.05,3.154726884502246e-06,0.0,9.015834569846993e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.5400031547268844,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.055,3.1098055494060972e-06,0.0,8.952699271426362e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.5400031098055493,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.0600000000000005,3.065199891572057e-06,0.0,8.889563973005731e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.5400030651998915,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.065,3.0209099101119463e-06,0.0,8.8264286745851e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.54000302090991,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.07,2.9769356050257656e-06,0.0,8.76329337616447e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.540002976935605,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.075,2.9332769763135147e-06,0.0,8.700158077743839e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.5400029332769762,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.08,2.8899340239751936e-06,0.0,8.637022779323208e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.5400028899340239,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.085,2.8469067480108023e-06,0.0,8.573887480902577e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.5400028469067479,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.09,2.8041951493085193e-06,0.0,8.510752182481946e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.5400028041951492,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.095,2.7617992260919877e-06,0.0,8.447616884061315e-06,0.0,0.0,0.0,1.2627059687450999e-05,0.225,0.0,0.540002761799226,0.225,0.0,0.5399999999999999,0.0,129.88456718227025,0.0,True,True,False
7.1000000000000005,2.7197189801375643e-06,0.0,8.384481585640684e-06,0.0,0.0,0.0,1.302737166891701e-05,0.225,0.0,0.5400027197189801,0.225,0.0,0.5399999999999999,0.0,129.88457248240087,0.0,True,True,False
7.105,2.6779594145542873e-06,0.0,8.319344727316669e-06,0.0,0.0,0.0,1.302737166891701e-05,0.225,0.0,0.5400026779594145,0.225,0.0,0.5399999999999999,0.0,129.88457248240087,0.0,True,True,False
7.11,2.6365255342275518e-06,0.0,8.254207868992653e-06,0.0,0.0,0.0,1.302737166891701e-05,0.225,0.0,0.5400026365255342,0.225,0.0,0.5399999999999999,0.0,129.88457248240087,0.0,True,True,False
7.115,2.5954173373810008e-06,0.0,8.189071010668637e-06,0.0,0.0,0.0,1.302737166891701e-05,0.225,0.0,0.5400025954173373,0.225,0.0,0.5399999999999999,0.0,129.88457248240087,0.0,True,True,False
7.12,2.5546348240146344e-06,0.0,8.123934152344622e-06,0.0,0.0,0.0,1.302737166891701e-05,0.225,0.0,0.5400025546348239,0.225,0.0,0.5399999999999999,0.0,129.88457248240087,0.0,True,True,False
7.125,2.514177995016631e-06,0.0,8.058797294020606e-06,0.0,0.0,0.0,1.302737166891701e-05,0.225,0.0,0.5400025141779949,0.225,0.0,0.5399999999999999,0.0,129.88457248240087,0.0,True,True,False
7.13,2.4740468503869906e-06,0.0,7.99366043569659e-06,0.0,0.0,0.0,1.302737166891701e-05,0.225,0.0,0.5400024740468503,0.225,0.0,0.5399999999999999,0.0,129.88457248240087,0.0,True,True,False
