time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,raw_ax,raw_ay,raw_az,integral_x,integral_y,integral_z,saturated,slew_limited,roll_deg,pitch_deg,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x,qp_status,qp_iterations,limiter_mismatch,steady_state_residual,steady_task_residual,d_raw_norm,d_hat_norm,d_projected_norm,d_rejected_norm
7.38,0.016357051355638638,0.00782676960245005,0.14520451415345462,0.0043191121222601325,True,False,-0.0517112636766769,-1.4132925454177082e-15,-0.0004905094003535572,-0.0517112636766769,-1.4132925454177082e-15,-0.0004905094003535571,0.0,0.0,0.0,False,False,-1.0759514359628704e-15,-0.1926259398299067,0.1561216878909085,3.1505391580838654e-16,3.1995544152943,0.39135641564819995,2.622471969734232e-16,0.39014420885659196,0.375,0.0,0.38999999999999996,1.0265975199635433,129.87947345063245,0.032856329273549936,0.6472,0.34409567277500974,solved,25,1.0842021724855044e-19,3.079528145032922e-18,3.3513794725140353e-10,0.004251604814498787,0.003003913631429744,0.003001650016121106,0.00011659453593374656
7.385,0.01639574183466732,0.0077588300273506265,0.14398610323951594,0.004187437502221153,True,False,-0.0517112636766769,-1.4132925454177082e-15,-0.0004905094003535572,-0.0517112636766769,-1.4132925454177082e-15,-0.0004905094003535571,0.0,0.0,0.0,False,False,-1.0807517847662003e-15,-0.1951760448470451,0.15615357218968484,3.1317665236089646e-16,3.199554873681911,0.3913951446172034,2.601332050772702e-16,0.39013994030886623,0.375,0.0,0.38999999999999996,1.041653947361658,129.87948436036018,0.032662777587457524,0.6472,0.3543986320367005,solved,25,1.0842021724855044e-19,3.079528145032922e-18,3.3513794725140353e-10,0.004251604814498787,0.003003913631429744,0.003001650016121106,0.00011659453593374656
7.390000000000001,0.016434114903810193,0.007693989465083493,0.14280347077350197,0.0040684335051683965,True,False,-0.0517112636766769,-1.4132925454177082e-15,-0.0004905094003535572,-0.0517112636766769,-1.4132925454177082e-15,-0.0004905094003535571,0.0,0.0,0.0,False,False,-1.0854071553005855e-15,-0.19768986444693581,0.1561853757843495,3.113023876102113e-16,3.1995553217468493,0.3914335538092466,2.5802931872212984e-16,0.39013580084768806,0.375,0.0,0.38999999999999996,1.0484286965995326,129.87949486303546,0.03246028836700451,0.6472,0.3591152004931358,solved,25,1.0842021724855044e-19,3.079528145032922e-18,3.3513794725140353e-10,0.004251604814498787,0.003003913631429744,0.003001650016121106,0.00011659453593374656
7.3950000000000005,0.01647218186477648,0.0076310262942665495,0.14165470902749874,0.003949620811552835,True,False,-0.0517112636766769,-1.4132925454177082e-15,-0.0004905094003535572,-0.0517112636766769,-1.4132925454177082e-15,-0.0004905094003535571,0.0,0.0,0.0,False,False,-1.0899176715830133e-15,-0.2001674190382085,0.15621709906013193,3.0943114287473656e-16,3.1995557594787507,0.3914716547026803,2.5593555374664747e-16,0.3901317829349378,0.375,0.0,0.38999999999999996,0.8879067368798272,129.879504969567,0.032247828092178084,0.6472,0.25694247256731717,solved,25,1.0842021724855044e-19,3.079528145032922e-18,3.3513794725140353e-10,0.004251604814498787,0.003003913631429744,0.003001650016121106,0.00011659453593374656
7.4,0.016509909170694868,0.0075495320491363585,0.14056068070757635,0.003688736373640247,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.0942834594466713e-15,-0.20260815717017597,0.15624864022087462,3.0756293887626397e-16,3.1995561870346068,0.39150941322341204,2.53851926962074e-16,0.3901279681336199,0.375,0.0,0.38999999999999996,0.944663932581148,129.85939130942094,0.03675592731499183,0.5784,0.29122366457679394,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
7.405,0.016547274589226238,0.007476532307088794,0.13953468610799885,0.0034742131741335325,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.0985096258876425e-15,-0.20500812918687839,0.15627992417743197,3.0569785123481853e-16,3.199556585524552,0.39154680705185213,2.5177826861473213e-16,0.3901243893887312,0.375,0.0,0.38999999999999996,1.010103552011966,129.85939896140985,0.036331333346107414,0.5784,0.33338991395157397,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
7.41,0.016584313050143844,0.007412440726853698,0.13856232614389882,0.0033139398090815597,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.1026012732735854e-15,-0.20736426270543906,0.15631100708622267,3.0383595491680546e-16,3.1995569358338605,0.39158387184261906,2.49714406330409e-16,0.39012097128898293,0.375,0.0,0.38999999999999996,1.0697251925970908,129.8594062519848,0.03591003680521887,0.5784,0.3742838059700732,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
7.415,0.016621061860858422,0.007356809091318702,0.1376285730069397,0.0032044197249269787,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.1065585199323312e-15,-0.20967719691334788,0.15634195138208742,3.019772687626657e-16,3.1995572378338046,0.3916206454353851,2.4766035245329036e-16,0.39011765497734774,0.375,0.0,0.38999999999999996,1.0206027733530008,129.85941319529303,0.03549294587836688,0.5784,0.34053389608589213,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
7.42,0.016657527609758225,0.007295539197920441,0.13673288758323174,0.003047956744551081,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.1103814859211115e-15,-0.2119472468202987,0.15637275115636365,3.001218110590727e-16,3.1995574915143856,0.39165713450602235,2.456161197430388e-16,0.39011443827216885,0.375,0.0,0.38999999999999996,1.0368982927814172,129.8594198040949,0.03506344683918623,0.5784,0.35164448808820603,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
7.425,0.016693704205538368,0.00723641976543742,0.1358817268002899,0.002888527091069507,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.114070293075239e-15,-0.21417457163415612,0.15640337355355896,2.9826959953196556e-16,3.1995576969079673,0.391693332863297,2.4358172082256084e-16,0.3901113463837671,0.375,0.0,0.38999999999999996,1.115606765936442,129.85942609038565,0.034630645591334525,0.5784,0.4075235555372392,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
