family,method,competence_pass,outer_rate_hz,inner_rate_hz,acquisition_time_s,case_count,catastrophic_count,deadline_miss_rate,endpoint_position_error_m,endpoint_velocity_error_m_s,method_id,orientation_rmse_rad,physical_effort,runtime_max_ms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,safety_rate,setpoint_position_p90_m,setpoint_position_p95_m,setpoint_position_rmse_m,strong_mean_m,strong_p90_m,success_rate,thrust_saturation_rate,tip_velocity_rmse_m_s,torque_saturation_rate,trajectory_position_p90_m,trajectory_position_p95_m,trajectory_position_rmse_m,wrench_rate_rms
native_pid,native_pid_001,False,100,500,3.92,200,0,9.583333333333332e-05,1.301935108862898,0.5114532273145729,native_pid_001,0.028924256881964885,16878.1329039962,18.7803,0.09174691319444443,0.1409297499999999,0.3464290699999999,1.0,2.082872614329798,2.262642244251475,1.0846591578542455,1.2658562660051964,2.3441921991046426,0.275,0.0,0.3217435554127947,0.0,1.8896902929486965,2.094956746488225,0.7795461521223135,1.6763957756316428
native_full_lqr,native_full_lqr_006,False,100,500,5.380000000000001,200,8,0.0,3.0654961538706367,0.4364759358014095,native_full_lqr_006,0.02595764191734741,16872.64918059752,0.48529999999999995,0.00453169125,0.030799999999999998,0.03490100000000002,0.96,3.322418799015731,3.7565418232413537,1.5340640034724697,2.091898043429143,4.041958669250187,0.12,0.0,0.4581701338942119,0.0,3.0533137152417114,3.9325929576056513,1.2967007336021337,0.6509738663695033
native_task_lqr,native_task_lqr_004,False,100,500,6.465,200,20,0.0,3.4307914967481827,0.5003297397680523,native_task_lqr_004,0.021720803618724735,16871.63292512363,0.501,0.004465774930555555,0.0304,0.03430299000000002,0.9,3.614031539366279,4.177173126782104,1.66476051842038,2.284285500518351,4.45554470120136,0.13,0.0,0.494284933527884,0.0,3.3268104020201696,4.344314567302143,1.3792752149478087,0.5929640300544132
