method_id,family,case_count,all_safety_rate,all_catastrophic_count,all_deadline_miss_rate,overall_success_rate,nominal_case_count,nominal_success_rate,nominal_setpoint_success_rate,nominal_trajectory_success_rate,nominal_setpoint_rmse_m,nominal_trajectory_rmse_m,nominal_endpoint_position_error_m,nominal_endpoint_velocity_error_m_s,challenge_case_count,challenge_success_rate,challenge_setpoint_rmse_m,challenge_trajectory_rmse_m,challenge_rmse_m,challenge_endpoint_position_error_m,challenge_endpoint_velocity_error_m_s,strong_mean_m,strong_p90_m,orientation_rmse_rad,acquisition_time_s,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,nominal_calm_success_rate,nominal_moderate_success_rate,nominal_stochastic_success_rate,competence_v2
r1r3_lqi_a_000,native_full_lqr,200,0.895,21,9.513888888888888e-05,0.075,100,0.13,0.06,0.2,1.085070990729876,0.36220365622580375,1.089271429429692,1.320800293686173,100,0.02,1.3271552618257045,0.9415961082480245,1.1343756850368645,1.5030872395167632,1.6433659555892683,1.06378169019801,1.7641111839295056,0.07732637847699118,2.775,16830.11108655359,0.0008458333333333333,0.00013666666666666666,6.987526720261045,0.0946027970138889,0.14751499999999998,0.21536401,22.4467,0.14705882352941177,0.08823529411764706,0.15625,False
r1r3_lqi_a_001,native_full_lqr,200,0.695,61,9.444444444444444e-05,0.055,100,0.11,0.02,0.2,1.4846524498328009,0.4200329834243016,1.6712002571455935,1.53713906751152,100,0.0,1.6211024453073535,0.9439987199022526,1.2825505826048027,2.1240152567342414,2.0422155232952552,1.2178054133745206,2.017413293726037,0.20985564296617937,2.93,16515.36144755708,0.011668333333333334,0.0027166666666666667,17.635091732164792,0.09972056784722222,0.1450097499999999,0.19483307000000025,25.3902,0.14705882352941177,0.11764705882352941,0.0625,False
r1r3_lqi_a_012,native_full_lqr,200,0.635,73,9.930555555555555e-05,0.06,100,0.12,0.02,0.22,1.5492677886362916,0.4310590245149594,2.017705956338052,1.51650578215357,100,0.0,1.6689942438171714,0.9550535960793656,1.3120239199482686,2.5784359326540662,1.8093735513847917,1.2568493265158855,1.9905623477397798,0.27643654614968155,2.8200000000000003,16363.997426452848,0.0180675,0.004888333333333333,20.997005382148764,0.10008528472222221,0.15533974999999992,0.3034238200000004,23.4883,0.14705882352941177,0.11764705882352941,0.09375,False
r1r3_lqi_a_016,native_full_lqr,200,0.615,77,9.722222222222223e-05,0.055,100,0.11,0.02,0.2,1.7084556590995106,0.4431354378516838,2.1168543968640394,1.4893780045973322,100,0.0,1.7400321009682276,0.96315185402063,1.3515919774944285,2.543338263431744,1.6451630586983956,1.3017762379707025,2.123033340168222,0.33324460231873304,2.865,16260.998051511933,0.021505,0.008807500000000001,23.622188872396336,0.0965307673611111,0.15249474999999987,0.22326498999999994,22.532899999999998,0.14705882352941177,0.11764705882352941,0.0625,False
r1r3_lqi_a_002,native_full_lqr,200,0.56,88,9.583333333333332e-05,0.055,100,0.11,0.02,0.2,2.029786749337733,0.4856496825506022,2.3327692782669316,1.3324546058466162,100,0.0,1.9507078762522603,1.0014768881998024,1.4760923822260315,2.6182656394472925,1.960491333733333,1.4215698864514283,2.5101337049620596,0.45088803488097795,3.0500000000000003,16049.367032035825,0.03289583333333333,0.012556666666666667,28.104394020938763,0.1008982372222222,0.149,0.20712310999999997,21.8616,0.14705882352941177,0.11764705882352941,0.0625,False
r1r3_lqi_a_017,native_full_lqr,200,0.505,99,0.0001013888888888889,0.045,100,0.09,0.0,0.18,2.2172314009640735,0.5266087845612094,2.152510574993694,1.0582064645078064,100,0.0,2.3756554938709566,1.1627434811933743,1.769199487532166,3.421054036962486,1.6478180865737266,1.6463658962752286,3.0644895134505914,0.7289484467732951,3.04,15496.412672422568,0.06143083333333333,0.0261775,35.62825197201096,0.10007193319444443,0.1641055,0.29452029,22.3921,0.11764705882352941,0.08823529411764706,0.0625,False
