time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,uav_roll_deg,uav_pitch_deg,uav_yaw_deg,requested_thrust_N,applied_thrust_N,requested_Mx_Nm,requested_My_Nm,requested_Mz_Nm,applied_Mx_Nm,applied_My_Nm,applied_Mz_Nm,thrust_saturated,mx_saturated,my_saturated,mz_saturated,ax_cmd,ay_cmd,az_cmd,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
10.99,2.78854231602248,6.639197933809429e-16,3.2003952670768627,3.5188304879070826,2.9707225793571007e-16,0.46376702244441237,1.4863855685135334,9.350971942302767e-16,-0.06323459901976353,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.749599591335813e-15,-12.716604609263223,1.2523197070937219e-15,132.86691231959676,132.86691231959676,2.777251440079432e-15,0.2991079670939415,-2.0585942334351034e-16,2.777251440079432e-15,0.2991079670939415,-2.0585942334351034e-16,False,False,False,False,-2.0,-1.1809648304324434e-15,0.02628372583814632,True,-0.016861034771920854,0.024249281579204474,0.02879219497031593,0.03447644112982952,0.043490270557832486,0.07425357348736322,0.0037582532594223335,0.0021536197640363943,0.0021509050359369087,0.0012581065144214982
10.995000000000001,2.7970351131005105,6.694267212467972e-16,3.2003678966962994,3.5262589146474905,3.017680589587762e-16,0.4634496903603419,1.4849884050225057,9.432255771945932e-16,-0.0636972860506233,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.7603125301504e-15,-12.715267148169866,1.2324852113334567e-15,132.86697851825122,132.86697851825122,2.776274677075211e-15,0.295891380164933,-1.9658290957305181e-16,2.776274677075211e-15,0.295891380164933,-1.9658290957305181e-16,False,False,False,False,-2.0,-1.1809648304324434e-15,0.02628372583814632,True,-0.016488041868314582,0.024267796154322615,0.028802482728794713,0.03448667301632483,0.04349642523639508,0.07493335866913162,0.003652641742531308,0.001963237645032151,0.001941598889044962,0.0012058463855118857
11.0,2.8055314045033506,6.74963978472957e-16,3.2003403802833303,3.5336804047061903,3.065045545721488e-16,0.4631300588783108,1.4836109092504188,9.51375000749275e-16,-0.06415433913658243,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.770794658447435e-15,-12.71381221734512,1.212525980789135e-15,132.92109059825538,132.92109059825538,3.0360099837916814e-15,0.2939308887465318,-2.9379517099546337e-16,3.0360099837916814e-15,0.2939308887465318,-2.9379517099546337e-16,False,False,False,False,-2.0,-1.4315102486028526e-15,0.03046789765572465,True,-0.016111738673297748,0.024285827501406804,0.028811853115434317,0.034495856102524314,0.04350234880430866,0.07557749763130513,0.0035650438184636596,0.001786671965446104,0.0017318432259580598,0.001165249002419502
11.005,2.814031143001419,6.805315193397527e-16,3.20031275856723,3.541095049768796,3.112820635273175e-16,0.4628082127308832,1.4822503189931517,9.596309756383543e-16,-0.06458263931842782,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.781027970475262e-15,-12.712239094374764,1.1923988737409163e-15,132.92116861060978,132.92116861060978,3.0343766110769167e-15,0.2906157191364901,-2.819567671787607e-16,3.0343766110769167e-15,0.2906157191364901,-2.819567671787607e-16,False,False,False,False,-2.0,-1.4315102486028526e-15,0.03046789765572465,True,-0.01573226867037934,0.024303384097087693,0.02882041515666792,0.034503975047601936,0.043508068700560745,0.07620426816452631,0.0034511743461731405,0.0016452875275698628,0.0015257535300830765,0.0011143052916866786
11.01,2.822534281737422,6.861292975023995e-16,3.2002850722699065,3.548502939859909,3.1610090968005067e-16,0.46248424722676457,1.4809089497044594,9.679098345741536e-16,-0.06500214580076942,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.790994829253774e-15,-12.710547110195993,1.1720622688383159e-15,132.92125240553705,132.92125240553705,3.032755029808019e-15,0.28727497632243637,-2.7048434878665434e-16,3.032755029808019e-15,0.28727497632243637,-2.7048434878665434e-16,False,False,False,False,-2.0,-1.4315102486028526e-15,0.03046789765572465,True,-0.015349694221408623,0.024320252409049514,0.028828372704151548,0.034511224348860156,0.043513403883923475,0.07681810957202058,0.0032924484407824634,0.0015432897743412543,0.0013831118616881675,0.0010126005322405342
11.015,2.8310407850531116,6.917573774300697e-16,3.2002573116834823,3.5559041717631783,3.209612058994278e-16,0.46215820422838627,1.479587092878206,9.762109464834521e-16,-0.06541379222085052,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.800698522132895e-15,-12.7087365278519,1.1515306056004278e-15,132.9213419456094,132.9213419456094,3.0311437428283707e-15,0.28390849976813876,-2.593706090299499e-16,3.0311437428283707e-15,0.28390849976813876,-2.593706090299499e-16,False,False,False,False,-2.0,-1.4315102486028526e-15,0.03046789765572465,True,-0.01496410421955054,0.024336266441704016,0.028835896894356436,0.03451788242586068,0.04351814106226954,0.0774088166442226,0.0031133989868246496,0.0014703790140173382,0.0012862805811905333,0.0008780828154397
11.02,2.839550617411385,6.974158226537174e-16,3.200229467164284,3.5632988437293096,3.25863061806072e-16,0.461830120099653,1.4782850216612504,9.845335827129544e-16,-0.06581928558445353,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.81014224195596e-15,-12.706807602893566,1.1308179186548155e-15,132.92143719213453,132.92143719213453,3.0295412825803803e-15,0.28051628249746585,-2.4860837182555667e-16,3.0295412825803803e-15,0.28051628249746585,-2.4860837182555667e-16,False,False,False,False,-2.0,-1.4315102486028526e-15,0.03046789765572465,True,-0.01457563544972404,0.0243513769293965,0.028843110360439968,0.034524134990311546,0.043522164669793105,0.07796918262901141,0.002933294214985471,0.001416891437132307,0.0012163406424270315,0.0007352542069996042
11.025,2.848063743497676,7.031046957525046e-16,3.2002015290141936,3.5706870553099366,3.3080658218219675e-16,0.4615000136162304,1.4770029608459587,9.928766660076253e-16,-0.06622297972312358,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.819329089218445e-15,-12.704760594227741,1.1099378472712682e-15,132.92153810463103,132.92153810463103,3.0279462113649484e-15,0.2770985983686867,-2.3819060950834517e-16,3.0279462113649484e-15,0.2770985983686867,-2.3819060950834517e-16,False,False,False,False,-2.0,-1.4315102486028526e-15,0.03046789765572465,True,-0.014184439260746983,0.024365601387376243,0.02885007817799456,0.03453004839006665,0.043525566608583144,0.07849954376256692,0.002759865510831149,0.0013711804816212132,0.0011494932468941923,0.0006319308894549535
11.03,2.8565801282322165,7.088240583631276e-16,3.200173487544452,3.578068906812983,3.3579186813939695e-16,0.46116789460147,1.475741007072421,1.0012398088687878e-15,-0.06662407910262073,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.828262073887603e-15,-12.702595767804233,1.0889036436570644e-15,132.9216446406607,132.9216446406607,3.0263571173838074e-15,0.27365563714327523,-2.2811037727755474e-16,3.0263571173838074e-15,0.27365563714327523,-2.2811037727755474e-16,False,False,False,False,-2.0,-1.4315102486028526e-15,0.03046789765572465,True,-0.013790673849633506,0.02437898865666529,0.028856833165087196,0.03453564035905904,0.043528537315317375,0.07899608459538592,0.00259959111270763,0.0013317129091730152,0.0010884787525768554,0.00056069370045561
11.035,2.8650997367240376,7.145739712006302e-16,3.200145333220854,3.585444499032245,3.408190191498274e-16,0.46083377898526745,1.4744992668662495,1.0096226730083614e-15,-0.06702146263718328,0.225,0.0,0.38999999999999996,10.0,0.0,0.0,-7.836944117031812e-15,-12.700313394914252,1.0677281803031516e-15,132.92175675592782,132.92175675592782,3.02477261576713e-15,0.2701876338691473,-2.1836083328569623e-16,3.02477261576713e-15,0.2701876338691473,-2.1836083328569623e-16,False,False,False,False,-2.0,-1.4315102486028526e-15,0.03046789765572465,True,-0.013394519193475531,0.024391621701210345,0.02886340577370769,0.03454094819014093,0.043531210088846126,0.07945454022862745,0.002459293470237509,0.0012981687396402166,0.0010360990054170615,0.0005114034908932761
