sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign
v6d_calm_00,NORMAL_CALM,sep2026,sep_a_001,True,False,,0.16849676668546978,0.5961666291396533,0.17999999999999997,0.2428131732341804,0.37466257739044095,0.7180004527993401,0.1397365793146032,131.632171411505,0.5221078842964368,0.04296027481697809,[],1.3442,0.0,0.0,not_applicable,0
v6d_moderate_00,NORMAL_CONSTANT,sep2026,sep_a_001,True,False,,0.28095468127423706,1.810685779504475,0.4691397690607635,0.3750157599196241,0.8631173345226348,0.6382692154720856,0.25,131.32293058718562,0.9035866756123747,0.16590151759207963,[],1.4572,0.0,0.004149377593360996,aligned,1
v6d_calm_01,NORMAL_CALM,sep2026,sep_a_001,True,False,,0.41847515561489107,1.8578475042376106,0.38578067184771253,0.6320701073262494,1.9823669686810763,1.5859931055177763,0.20519103039940334,131.14831912968324,1.2633081149385763,0.17108992019439573,[],1.4165,0.0,0.0,not_applicable,0
v6d_moderate_01,NORMAL_CONSTANT,sep2026,sep_a_001,True,False,,2.084791495059198,4.1039717317186275,1.6870826605756817,2.8968534398222316,15.348169838734343,2.0,0.25,134.3887299661153,3.417710986308832,0.244635691658217,[],1.5215,0.12033195020746888,0.024896265560165973,opposed,-1
v6d_calm_02,NORMAL_CALM,sep2026,sep_a_001,True,False,,0.14842193625960348,0.5825502491895205,0.17999999999999997,0.21299628274976387,0.27925847372283547,0.5905886121212713,0.1452779496027664,131.7218588808082,0.4388190033961864,0.039858735571241755,[],1.329,0.0,0.0,not_applicable,0
v6d_moderate_02,NORMAL_CONSTANT,sep2026,sep_a_001,True,False,,0.2845965688375961,1.8381356463078966,0.45735349994617586,0.38145224539770695,0.8784838412978602,0.6490928690585975,0.25,131.34565610926782,0.9194078955264684,0.16818109003921294,[],1.4892,0.0,0.004149377593360996,aligned,1
v6d_calm_03,NORMAL_CALM,sep2026,sep_a_001,True,False,,0.562460878013829,1.7990029871242004,0.48187891083089784,0.847475559414669,3.9493995387974627,2.0,0.25,131.39099115708575,1.727987530670349,0.12479471486356217,[],1.4537,0.029045643153526972,0.004149377593360996,not_applicable,0
v6d_moderate_03,NORMAL_CONSTANT,sep2026,sep_a_001,True,False,,2.3953012056399086,1.7390247251820898,1.958008144176406,3.1340762978376744,17.465560172066656,2.0,0.25,137.07707397651185,3.540879570182059,0.35883793579316264,[],1.3496,0.1950207468879668,0.03319502074688797,opposed,-1
v6d_calm_04,NORMAL_CALM,sep2026,sep_a_001,True,False,,0.45971924572296957,1.2516609428117624,0.3851306383037678,0.6764741747410239,2.991184835303181,2.0,0.16028444942217898,130.79307992172494,1.438726816454667,0.10753842814451885,[],1.4276,0.012448132780082987,0.0,not_applicable,0
v6d_moderate_04,NORMAL_CONSTANT,sep2026,sep_a_001,True,False,,0.2401734530377365,1.5982425302795982,0.5392786395070385,0.25097404335754986,0.5979209696254627,0.5655376784129962,0.24999985436354377,131.47285222381984,0.8455939148153653,0.1522167264676851,[],1.382,0.0,0.0,aligned,1
