time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
10.745000000000001,0.0018596029652788429,0.019571575988403648,0.018814709317322847,-0.0020028024487095046,-5.225558749611589e-30,2.261600487475205e-05,0.3731419340445544,-1.1455730494339019e-30,0.39007559162445654,0.375,0.0,0.38999999999999996,0.0,129.88468709587445,0.01019685924492564,True,True,False
10.75,0.001766106738987043,0.021080304123468577,0.018795815770248973,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.3732357748837851,-1.1249420065738187e-30,0.39008150308467804,0.375,0.0,0.38999999999999996,0.0,129.88470265225578,0.009809213674660925,True,True,False
10.755,0.0016727658261684682,0.022584315898846682,0.018775634786627613,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.37332951889362087,-1.1041893939417494e-30,0.39008739783994717,0.375,0.0,0.38999999999999996,0.0,129.88470347121563,0.009995314597581875,True,True,False
10.76,0.0015795967244181224,0.024083525767308274,0.018754169926115415,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.37342315965225426,-1.0833146841804876e-30,0.3900932755568921,0.375,0.0,0.38999999999999996,0.0,129.8847042688803,0.0101778493126298,True,True,False
10.765,0.0014866183834182077,0.025577840943263982,0.01873142548793787,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.3735166907607648,-1.062318079750735e-30,0.390099135859892,0.375,0.0,0.38999999999999996,0.0,129.8847050451425,0.010356892262471364,True,True,False
10.77,0.0013938530152838439,0.027067168223172743,0.01870740590542812,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.37361010584224685,-1.041199786752956e-30,0.3901049783713892,0.375,0.0,0.38999999999999996,0.0,129.88470579991514,0.010532516005616136,True,True,False
10.775,0.0013013272384028213,0.028551414418679737,0.018682115724715776,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.3737033985423136,-1.0199600149189668e-30,0.3901108027135706,0.375,0.0,0.38999999999999996,0.0,129.88470653313112,0.010704791425713041,True,True,False
10.78,0.001209073732161511,0.03003048665780896,0.01865555958912211,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.3737965625295442,-9.985989776036775e-31,0.3901166085095774,0.375,0.0,0.38999999999999996,0.0,129.88470724474232,0.010873787874261014,True,True,False
10.785,0.001117133687667447,0.031504292668308176,0.018627742227768463,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.3738895914958866,-9.771168917769213e-31,0.39012239538436577,0.375,0.0,0.38999999999999996,0.0,129.88470793471888,0.01103957326834183,True,True,False
10.790000000000001,0.0010255605352989844,0.03297274081761588,0.01859866844728207,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.3739824791570271,-9.555139780153344e-31,0.3901281629653154,0.375,0.0,0.38999999999999996,0.0,129.88470860304838,0.011202214158038524,True,True,False
10.795,0.0009344257889126382,0.03443574031090205,0.01856834312577225,-0.0023560557227883133,-5.6686265605573206e-30,2.3825384973464158e-05,0.3740752192527398,-9.337904604942762e-31,0.3901339108826117,0.375,0.0,0.38999999999999996,0.0,129.8847092497353,0.011361775773431317,True,True,False
10.8,0.0008438285330597358,0.035893201218119127,0.01853677120846721,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.3741678055472134,-9.1194656697974e-31,0.39013963876953395,0.375,0.0,0.38999999999999996,0.0,129.8847179884041,0.011025794463123148,True,True,False
10.805,0.000753911464420899,0.037345040350022694,0.018503956853578585,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.3742602318259307,-8.899817981330639e-31,0.39014534629276126,0.375,0.0,0.38999999999999996,0.0,129.88471864379608,0.01119706413715708,True,True,False
10.81,0.0006648892764210851,0.038791175371774754,0.018469904618427735,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.37435249189498787,-8.678956592365505e-31,0.3901510331216765,0.375,0.0,0.38999999999999996,0.0,129.8847192781325,0.01136497743528343,True,True,False
10.815,0.0005771017053440858,0.04023151754826129,0.01843461958380288,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.3744445795870861,-8.456883909582484e-31,0.39015669889351745,0.375,0.0,0.38999999999999996,0.0,129.88471989138833,0.01152960286808917,True,True,False
10.82,0.0004911191279566434,0.04166597794568669,0.018398106954180156,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.37453648876077705,-8.233602377109908e-31,0.39016234324426624,0.375,0.0,0.38999999999999996,0.0,129.88472048355578,0.011691007209200594,True,True,False
10.825000000000001,0.00040796796807494694,0.04309446774180371,0.01836037203885483,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.3746282133009363,-8.0091144764332e-31,0.39016796581013563,0.375,0.0,0.38999999999999996,0.0,129.88472105464382,0.011849255681589878,True,True,False
10.83,0.0003296466486012716,0.04451689854817706,0.018321420238094424,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.3747197471191851,-7.783422726305395e-31,0.39017356622865346,0.375,0.0,0.38999999999999996,0.0,129.88472160467748,0.012004412084960968,True,True,False
10.835,0.0002603494180142705,0.0459331825602445,0.01828125703299798,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.374811084154271,-7.556529682658353e-31,0.39017914413943205,0.375,0.0,0.38999999999999996,0.0,129.88472213369698,0.012156538883338206,True,True,False
10.84,0.00020898573044159932,0.04734323270284749,0.01823988797807899,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.37490221837241844,-7.328437938514396e-31,0.39018469918471854,0.375,0.0,0.38999999999999996,0.0,129.8847226417573,0.012305697265834546,True,True,False
10.845,0.00019035452448252333,0.04874696275762741,0.018197318695844195,-0.002668494134065637,-6.115166175686039e-30,2.4481513157388762e-05,0.3749931437676637,-7.099150123898171e-31,0.3901902310097463,0.375,0.0,0.38999999999999996,0.0,129.88472312892722,0.012451947189353867,True,True,False
10.85,0.00021294462455170775,0.05014428736722574,0.018153554872832187,-0.0029363539052669673,-6.564052833499272e-30,2.459384139293233e-05,0.37508385436216773,-6.868668905748515e-31,0.3901957392629773,0.375,0.0,0.38999999999999996,0.0,129.8847250297585,0.012173093370384379,True,True,False
