time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,uav_roll_deg,uav_pitch_deg,uav_yaw_deg,raw_ax,raw_ay,raw_az,ax_cmd,ay_cmd,az_cmd,ax_limit,ay_limit,az_limit,ax_at_limit,ay_at_limit,az_at_limit,any_accel_at_limit,slew_ax_hit,slew_ay_hit,slew_az_hit,any_slew_at_limit,requested_thrust_N,applied_thrust_N,requested_Mx_Nm,requested_My_Nm,requested_Mz_Nm,applied_Mx_Nm,applied_My_Nm,applied_Mz_Nm,thrust_saturated,mx_saturated,my_saturated,mz_saturated,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
0.05,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.0,0.0,-1.0733273954080052e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,-0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.0,2.0,2.0,False,False,False,False,False,False,False,False,129.8844,129.8844,1.6859673519431827e-30,7.016244533109699e-18,7.280016050831525e-49,1.6859673519431827e-30,7.016244533109699e-18,7.280016050831525e-49,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.055,1.3460129786986613e-25,-1.868518592448822e-27,3.2,0.225,2.5402732325582376e-22,0.38999999999999996,-1.8541052452635737e-24,-1.4781906997160065e-24,-1.1806601010501693e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,5.1796443280403765e-21,-0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.8844,129.8844,-9.486070763377941e-22,6.7646420197354684e-18,-4.389862022076594e-40,-9.486070763377941e-22,6.7646420197354684e-18,-4.389862022076594e-40,False,False,False,False,True,-1.4405113614270208e-22,6.665886079337775e-23,-1.605528087540992e-23,3.670667957816587e-24,-6.757087499914945e-25,-5.740466443291704e-20,2.613491420660193e-20,-5.944337965422256e-21,1.2605420640151132e-21,-2.1631814041397335e-22
0.06,5.667747349138062e-25,-2.9110981201426733e-26,3.2,0.225,1.0066147314169262e-21,0.38999999999999996,-1.1888071843072237e-23,-1.2351108952944535e-23,-1.2879928688893387e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,2.052542478371712e-20,-0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.8844,129.8844,-3.757786639578772e-21,6.522353087204176e-18,-1.836470897085125e-39,-3.757786639578772e-21,6.522353087204176e-18,-1.836470897085125e-39,False,False,False,False,True,-5.6648095033891015e-22,2.5320690112645556e-22,-5.385023130173963e-23,1.0420200762303252e-23,-1.6357794272365305e-24,-1.1131318359567111e-19,4.7888472812524573e-20,-8.672951957135715e-21,1.248246999976105e-21,-1.2432599313172192e-22
0.065,1.3542329279360653e-24,-1.455601895018753e-25,3.2,0.225,2.2391614946594855e-21,0.38999999999999996,-3.8855126130911796e-23,-4.230003990465055e-23,-1.395325673755516e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,4.5659374831572006e-20,-0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.8844,129.8844,-8.355831432250902e-21,6.2891118629061916e-18,-4.280403536189853e-39,-8.355831432250902e-21,6.2891118629061916e-18,-4.280403536189853e-39,False,False,False,False,True,-1.2494938044801187e-21,5.3700590088461605e-22,-9.718404448740003e-23,1.424632312880787e-23,-1.5280720397015743e-24,-1.6161279470187195e-19,6.500441516319509e-20,-8.175356189666425e-21,1.2798322787323959e-22,1.9472805528797384e-22
0.07,2.5760827140850045e-24,-4.552992108099329e-25,3.2,0.225,3.933561747925565e-21,0.38999999999999996,-9.124710921847587e-23,-1.0064340954356822e-22,-1.5026584861174506e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,8.0214438908695e-20,-0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.8844,129.8844,-1.4673128258528395e-20,6.064654452991885e-18,-7.837307759314192e-39,-1.4673128258528395e-20,6.064654452991885e-18,-7.837307759314192e-39,False,False,False,False,True,-2.1749181054456743e-21,8.946611141311621e-22,-1.3035055225542952e-22,1.0248243803028565e-23,5.21430569731235e-25,-2.0826486128838318e-19,7.743268065810354e-20,-4.654007207971662e-21,-1.8295164029308723e-21,6.329457978327974e-22
0.075,4.330677269957758e-24,-1.1011452852301964e-24,3.2,0.225,6.072201348195781e-21,0.38999999999999996,-1.7726450914999877e-22,-1.9634229791250036e-22,-1.609991276010673e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,1.2383437743158046e-19,-0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.8844,129.8844,-2.264213778745236e-20,5.848719333853021e-18,-1.255465408490233e-38,-2.264213778745236e-20,5.848719333853021e-18,-1.255465408490233e-38,False,False,False,False,True,-3.324559833774961e-21,1.3029911087542783e-21,-1.3910861167794516e-22,-4.9219598346430516e-24,4.807550924599986e-24,-2.5129768193620297e-19,8.530383138609538e-20,1.5147316635373543e-21,-4.279517245967402e-21,1.068794422119398e-21
0.08,6.733543520162854e-24,-2.2631008546565105e-24,3.2,0.225,8.637954300374374e-21,0.38999999999999996,-3.047876223826518e-22,-3.380068036573171e-22,-1.7173240167236416e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,1.761736623366248e-19,-0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.8844,129.8844,-3.219737265113876e-20,5.641047842626812e-18,-1.8463054709163204e-38,-3.219737265113876e-20,5.641047842626812e-18,-1.8463054709163204e-38,False,False,False,False,True,-4.680515265004958e-21,1.7398548556856375e-21,-1.114409206223194e-22,-3.277487396226327e-23,1.1010991098300925e-23,-2.907974484364423e-19,8.889841256271525e-20,9.824451161924239e-21,-6.836807913625044e-21,1.3800772259450699e-21
0.085,9.915564461437813e-24,-4.157074797788533e-24,3.2,0.225,1.1614177199320008e-20,0.38999999999999996,-4.813991333532831e-22,-5.339501430227167e-22,-1.8246566879232456e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,2.3689733767940956e-19,-0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.8844,129.8844,-4.3275369173068573e-20,5.441385018900625e-18,-2.557828424691766e-38,-4.3275369173068573e-20,5.441385018900625e-18,-2.557828424691766e-38,False,False,False,False,True,-6.225435868682446e-21,2.184825084122005e-21,-3.81021550101629e-23,-7.285593076770996e-23,1.8223317408871132e-23,-3.268983554910676e-19,8.861552782317378e-20,1.9680990888332398e-20,-9.106470364740709e-21,1.4554533737023176e-21
0.09,1.4021264276389886e-23,-7.033491806157332e-24,3.2,0.225,1.498470312353237e-20,0.38999999999999996,-7.1430916747876e-22,-7.9214403903113265e-22,-1.931989278383778e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,3.0568086677246954e-19,-0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.8844,129.8844,-5.581465666879226e-20,5.2494797763115464e-18,-3.3903136895434867e-38,-5.581465666879226e-20,5.2494797763115464e-18,-3.3903136895434867e-38,False,False,False,False,True,-7.942742370041046e-21,2.6196924113207004e-21,8.70642991680592e-23,-1.2278280944035276e-22,2.5031130415942083e-23,-3.5977213202692997e-19,8.493774364584787e-20,3.044993781820075e-20,-1.0716862743867464e-20,1.2057866516244098e-21
0.095,1.9207268086622743e-23,-1.1175922050831331e-23,3.2,0.225,1.8733834456444023e-20,0.38999999999999996,-1.0103641149908742e-21,-1.1202490932199639e-21,-2.039321787630853e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,3.8220995787070497e-19,-0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.8844,129.8844,-6.975572285883872e-20,5.06508558338704e-18,-4.342912529400404e-38,-6.975572285883872e-20,5.06508558338704e-18,-4.342912529400404e-38,False,False,False,False,True,-9.816786178841053e-21,3.0288021376470393e-21,2.6702514166820746e-22,-1.7842614429954463e-22,2.964785889401013e-23,-3.896176292649612e-19,7.839915923469945e-20,4.1496113696013766e-20,-1.1344736932366697e-20,5.721222758592638e-22
