candidate_id,beta,w_p,w_theta,R,H,safe_sample_count,solver_valid_sample_count,solver_success_rate,steady_feasibility_rate,limiter_parity_rate,task_success_count,task_success_rate,position_rmse_3d_m,acquisition_median_s,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms
dr_tsrmpc_000,0.05,40.0,5.0,0.5,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.07944619969210596,2.385,0.0810702314677241,0.06565431777398581,0.40459575961141464,1.9148
dr_tsrmpc_001,0.05,40.0,5.0,2.0,20,9,9,1.0,1.0,1.0,9,1.0,0.08308017549091543,2.385,0.08849819468914359,0.07301984819289327,0.35607422598175825,1.8927
dr_tsrmpc_002,0.05,40.0,20.0,0.5,20,9,9,1.0,1.0,0.6666666666666666,9,1.0,0.0801819344625851,2.37,0.08285410404836822,0.0675914435044206,0.39633819454693175,1.8014
dr_tsrmpc_003,0.05,40.0,20.0,2.0,20,9,9,1.0,1.0,1.0,9,1.0,0.0833464422285192,2.3899999999999997,0.08914895254413943,0.07375249646853539,0.3548319988849762,1.8881
dr_tsrmpc_004,0.05,80.0,5.0,0.5,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.07985203021117881,2.335,0.08237279910224145,0.06812466505040532,0.4088501235735579,1.8514
dr_tsrmpc_005,0.05,80.0,5.0,2.0,20,9,9,1.0,1.0,1.0,9,1.0,0.08321998148265453,2.4299999999999997,0.08912688210782237,0.07423089905236466,0.355991212465865,1.972
dr_tsrmpc_006,0.05,80.0,20.0,0.5,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.08053104159265123,2.3550000000000004,0.08399950959951759,0.06989905930651596,0.4003929025237818,1.7356
dr_tsrmpc_007,0.05,80.0,20.0,2.0,20,9,9,1.0,1.0,1.0,9,1.0,0.08347779366310452,2.4350000000000005,0.08975420516377124,0.0749407456665283,0.35474620516949207,1.7194
dr_tsrmpc_008,0.05,160.0,5.0,0.5,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.08077393478203986,2.2350000000000003,0.08413361730012499,0.07195219653707932,0.41382904875570764,1.7143
dr_tsrmpc_009,0.05,160.0,5.0,2.0,20,9,9,1.0,1.0,1.0,9,1.0,0.08357922077526937,2.4400000000000004,0.09020994202861599,0.07645982213815751,0.35617642271282157,1.8979
dr_tsrmpc_010,0.05,160.0,20.0,0.5,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.0813639430821283,2.245,0.08553351138691889,0.07348471120200198,0.40519895028447106,1.9944
dr_tsrmpc_011,0.05,160.0,20.0,2.0,20,9,9,1.0,1.0,1.0,9,1.0,0.08381941372275936,2.45,0.09079590790616546,0.07712781842292858,0.3549531818274696,1.9118
dr_tsrmpc_012,0.15,40.0,5.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07301929863652462,2.3449999999999998,0.05157400267428283,0.0346527944907988,0.40969337633871256,1.997
dr_tsrmpc_013,0.15,40.0,5.0,2.0,20,9,9,1.0,1.0,0.8888888888888888,9,1.0,0.07558180184579481,2.4699999999999998,0.05725767164524783,0.03944717171691828,0.3624262987295723,1.8505
dr_tsrmpc_014,0.15,40.0,20.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07343465874664153,2.37,0.052914145614699315,0.03586821072058063,0.4014784629047661,1.8375
dr_tsrmpc_015,0.15,40.0,20.0,2.0,20,9,9,1.0,1.0,0.8888888888888888,9,1.0,0.07573409727501783,2.4800000000000004,0.057760259452723964,0.03992092296674861,0.361106584362247,1.7039
dr_tsrmpc_016,0.15,80.0,5.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07314103868933279,2.3049999999999997,0.052343919587636276,0.03570152650895556,0.4137332532572713,1.6945
dr_tsrmpc_017,0.15,80.0,5.0,2.0,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.07555895425936959,2.4350000000000005,0.057641580774024016,0.03993901103759704,0.3630308905854015,1.6742
