candidate_id,stage1_rank,sample_id,scenario,safe,solver_success,solver_valid,steady_state_valid,limiter_parity_valid,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms,limiter_mismatch_max,steady_state_residual_max,d_hat_norm_max,d_controllable_norm_max,d_uncontrollable_norm_max
dr_tsrmpc_001,1,calm__+x_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,2.2,0.05414933495361442,0.2750096666257857,,,0.04015832237036246,1.8101,8.758115402030107e-47,3.498411955425572e-17,0.00984335340355548,0.009843339300369677,0.0005439321722151607
dr_tsrmpc_001,1,wind_1p5__+x_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,2.17,0.05341591979787355,0.3402892363602869,,,0.0723976051092804,1.8117,1.3877787807814457e-17,4.315936441719802e-17,0.01131389438984659,0.011313848926944559,0.0006509558139466667
dr_tsrmpc_001,1,wind_3p0__+x_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,2.08,0.07696560698937928,0.787939198542793,,,0.6296286332601002,1.6639,1.3877787807814457e-17,1.1866263367818004e-16,0.02971513747913462,0.029703292048735407,0.001869012281833751
dr_tsrmpc_001,1,calm__-x_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,2.205,0.054144828439243724,0.27523171732862406,,,0.04016359644924279,1.935,1.3877787807814457e-17,3.2951802828132604e-17,0.009840396693429563,0.009840353989224802,0.0006230591518199008
dr_tsrmpc_001,1,wind_1p5__-x_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,2.16,0.06052487744937687,0.2848507232732759,,,0.07556434864170486,1.9824,1.734723475976807e-18,4.735773073514161e-17,0.012311220153060468,0.012310985697585554,0.0005653919489624218
dr_tsrmpc_001,1,wind_3p0__-x_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,2.385,0.09924509929903694,0.7181069587218871,,,0.6529946023780612,1.9319,0.0,1.198476856570507e-16,0.03071698399530845,0.030710859697754476,0.001869012281833751
dr_tsrmpc_001,1,calm__+y_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,4.955,0.09327564472024619,0.0,,,0.00401628670776459,1.7946,9.62964972193618e-35,5.973642226313045e-20,1.684028208401743e-05,1.457648606958763e-10,1.684028208338658e-05
dr_tsrmpc_001,1,wind_1p5__+y_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,4.955,0.08641382048570678,0.17885694165529917,,,0.03674176710268394,1.7948,0.0,2.9097632545974144e-17,0.007077375390568975,0.007076252655179946,0.00039047778759616474
dr_tsrmpc_001,1,wind_3p0__+y_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,4.955,0.10973500184770209,0.7127716322197332,,,0.6049649154053178,1.877,0.0,1.1590657442401892e-16,0.028878922704376284,0.028873307340615988,0.001869012281833751
dr_tsrmpc_001,1,calm__-y_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,4.955,0.09327564472024619,0.0,,,0.00401628670776459,1.9623,9.62964972193618e-35,5.973642226313045e-20,1.684028208401743e-05,1.457648606958763e-10,1.684028208338658e-05
dr_tsrmpc_001,1,wind_1p5__-y_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,4.955,0.08641382048570678,0.17885694165529917,,,0.03674176710268394,1.9618,0.0,2.9097632545974144e-17,0.007077375390568975,0.007076252655179946,0.00039047778759616474
dr_tsrmpc_001,1,wind_3p0__-y_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,4.955,0.10973500184770209,0.7127716322197332,,,0.6049649154053178,1.872,0.0,1.1590657442401892e-16,0.028878922704376284,0.028873307340615988,0.001869012281833751
dr_tsrmpc_001,1,calm__+z_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,0.99,0.029780750412311516,0.0,,,0.11217005724800687,1.936,1.9721522630525295e-31,1.320035673985685e-16,0.027713397904178566,2.3994101840749315e-07,0.027713397903139866
dr_tsrmpc_001,1,wind_1p5__+z_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,0.9900000000000002,0.03438160902536895,0.17946172672674615,,,0.14669511359875118,2.0093,0.0,1.5428078538481618e-16,0.028435053871084134,0.007130998685953707,0.02762138303987899
dr_tsrmpc_001,1,wind_3p0__+z_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,1.0149999999999997,0.07589635782798704,0.7151303787107958,,,0.7152483777920197,1.8563,0.0,1.837090187215843e-16,0.03855402261530855,0.02908210298817581,0.027289007433113147
dr_tsrmpc_001,1,calm__-z_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,0.99,0.029780750412311496,0.0,,,0.11217005724800738,1.8875,1.9721522630525295e-31,1.4816326712524766e-16,0.027713397904178837,2.399410184075143e-07,0.027713397903140136
dr_tsrmpc_001,1,wind_1p5__-z_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,0.9900000000000002,0.03437765751015137,0.17839977405184737,,,0.14638804059696683,1.857,0.0,1.4602784543978657e-16,0.02861058953192135,0.007037661482375248,0.02780208014505475
dr_tsrmpc_001,1,wind_3p0__-z_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,1.005,0.0758600610331791,0.7108186744757554,,,0.7142550363570478,1.9562,0.0,1.714837784905838e-16,0.039172073895010165,0.028706786255002625,0.028170775918252112
dr_tsrmpc_001,1,calm__+x_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,2.6550000000000002,0.09119206629872169,0.462511086344932,,,0.09669029462223802,1.8582,3.3391189213638484e-07,5.617536404563755e-17,0.015871774750196545,0.015854697234220345,0.0009470648431231672
dr_tsrmpc_001,1,wind_1p5__+x_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,2.63,0.089462688120304,0.49848440689215034,,,0.12693837197892135,1.8575,3.4761021650009383e-07,6.200928341940814e-17,0.016458088865421674,0.016458062112105105,0.0010343578488347935
dr_tsrmpc_001,1,wind_3p0__+x_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,2.5600000000000005,0.10051468742456084,0.8701063809259078,,,0.6756267538923378,1.7596,3.162287527391783e-07,1.2830075406297748e-16,0.030738965758541396,0.030719887924512444,0.001869012281833751
dr_tsrmpc_001,1,calm__-x_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,2.6550000000000002,0.09117986137335277,0.46300212198491314,,,0.09673853824312008,1.9325,3.3396509258043494e-07,5.774413665688787e-17,0.015865584010355024,0.015836964269060456,0.0010845765078334004
dr_tsrmpc_001,1,wind_1p5__-x_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,2.6900000000000004,0.09685207592950588,0.43787465452879726,,,0.13140586175482002,1.8224,2.614588893168346e-07,6.898496692790657e-17,0.01825861714198227,0.01823473540650768,0.001019165838368408
dr_tsrmpc_001,1,wind_3p0__-x_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,2.835,0.1293621510874323,0.7693146932555974,,,0.7145849494002829,1.972,2.0094627084521477e-07,1.3862380792026811e-16,0.034610039653479086,0.03459510334216945,0.001869012281833751
dr_tsrmpc_001,1,calm__+y_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,5.34,0.15545997022509508,0.0,,,0.0111572132455739,2.0228,1.925929944387236e-34,1.6229836795803408e-19,4.677888743454644e-05,4.049052096583648e-10,4.6778887432794064e-05
dr_tsrmpc_001,1,wind_1p5__+y_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,5.34,0.1421904785069921,0.17885817818523855,,,0.04089322811863478,2.0125,0.0,2.9097632545974144e-17,0.007077383452717386,0.007076253637876118,0.00039047778759616474
dr_tsrmpc_001,1,wind_3p0__+y_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,5.34,0.15745480503224094,0.7127838606199314,,,0.6091502233500108,1.8692,0.0,1.137728107001972e-16,0.028878971979901913,0.028873349510326638,0.001869012281833751
dr_tsrmpc_001,1,calm__-y_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,5.34,0.15545997022509508,0.0,,,0.0111572132455739,1.8456,1.925929944387236e-34,1.6229836795803408e-19,4.677888743454644e-05,4.049052096583648e-10,4.6778887432794064e-05
dr_tsrmpc_001,1,wind_1p5__-y_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,5.34,0.1421904785069921,0.17885817818523855,,,0.04089322811863478,2.1236,0.0,2.9097632545974144e-17,0.007077383452717386,0.007076253637876118,0.00039047778759616474
dr_tsrmpc_001,1,wind_3p0__-y_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,5.34,0.15745480503224094,0.7127838606199314,,,0.6091502233500108,1.9192,0.0,1.137728107001972e-16,0.028878971979901913,0.028873349510326638,0.001869012281833751
dr_tsrmpc_001,1,calm__+z_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,1.25,0.05180510724881431,0.0,,,0.2795887855244298,1.6673,1.9721522630525295e-31,2.1578128602162728e-16,0.04618897807657106,3.9990153776698637e-07,0.046188978074839904
dr_tsrmpc_001,1,wind_1p5__+z_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,1.25,0.054573239179468006,0.17979566349161996,,,0.3136888267174486,1.6404,0.0,1.8866885850993794e-16,0.04658779117722041,0.007167794953006985,0.04609566195127634
dr_tsrmpc_001,1,wind_3p0__+z_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,1.25,0.08693317517902656,0.7163823645551992,,,0.8805114324950802,1.8396,0.0,2.6591658597622564e-16,0.05314955525694612,0.02922295966821912,0.04575986952435003
dr_tsrmpc_001,1,calm__-z_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,1.25,0.05180510724881431,0.0,,,0.27958878552443345,1.6829,3.944304526105059e-31,1.8395657808079545e-16,0.046188978076571324,3.9990153776702845e-07,0.046188978074840174
