sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum
v5d_calm_00,NORMAL_CALM,paper_incremental_mpc,paper_a_001,True,False,,20.4349145389273,6.470454163614052,11.026344471347187,32.082246779787816,58.066005675022836,2.0,0.2034334444465606,138.87800098193605,1.317439223892142,0.22477257128020212,[],1.486,0.3278008298755187,0.0,not_applicable
v5d_moderate_00,NORMAL_CONSTANT,paper_incremental_mpc,paper_a_001,True,False,,34.796421727628655,7.592418375198751,32.0975173845817,55.429857429724294,69.22074024722725,2.0,0.19631468276478187,138.8859365529635,1.3245100325509351,0.23917369345250658,[],1.4398,0.5062240663900415,0.0,aligned
v5d_calm_06,NORMAL_CALM,paper_incremental_mpc,paper_a_001,True,False,,20.96898535003603,6.486014824718342,11.358811774627974,32.952805373416645,58.6232574863044,2.0,0.14824503968974018,138.72462525067505,1.3049459281763263,0.22327408144192354,[],1.4812,0.24896265560165975,0.0,not_applicable
v5d_moderate_06,NORMAL_CONSTANT,paper_incremental_mpc,paper_a_001,True,False,,35.25729361397914,7.617895827601722,32.477274309555014,56.14157390621106,69.62616877958314,2.0,0.1536840627589386,138.9621589726809,1.3106632280232537,0.23917369345250658,[],1.4322,0.43983402489626555,0.0,opposed
v5d_calm_12,NORMAL_CALM,paper_incremental_mpc,paper_a_001,True,False,,19.571542867267503,6.281175784945389,7.829810071116957,30.206407901804052,54.20225812068437,2.0,0.25,139.77473617276792,1.2770837645452078,0.2418297594397498,[],1.577,0.16597510373443983,0.0,not_applicable
v5d_moderate_12,NORMAL_CONSTANT,paper_incremental_mpc,paper_a_001,True,False,,36.136423064389234,7.636074414608879,32.69544483695636,57.5965144041487,71.01493353578766,2.0,0.25,139.16359759237736,1.2556326266783868,0.23917369345250658,[],1.4869,0.29045643153526973,0.004149377593360996,cross
v5d_strong_preexisting_aligned_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_001,True,False,,42.23543845933034,8.122691594272728,41.4436050444963,66.86102832553321,71.65320696543682,2.0,0.2101644940152471,138.59137047290739,1.3155903997081104,0.2874283934522264,[],1.5157,0.5352697095435685,0.0,aligned
v5d_strong_preexisting_aligned_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_001,True,False,,40.05286723445784,8.15168363856337,41.17889895576214,63.32688574561349,64.74408342007125,2.0,0.25,138.75783497928433,1.3573835197943827,0.29083370434803446,[],1.2141,0.27800829875518673,0.0,aligned
v5d_strong_preexisting_opposed_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_001,True,False,,42.65217548276835,8.131129747406973,41.78775881780945,67.49572222071433,72.10568577691286,2.0,0.14989071837143042,138.63428549553797,1.310846381636751,0.2874283934522264,[],1.3149,0.5684647302904564,0.0,opposed
v5d_strong_preexisting_opposed_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_001,True,False,,41.18850824283291,8.12174180606797,41.58203088528395,65.08560677523623,68.8440907054251,2.0,0.25,143.72074738482334,1.3226621719081009,0.29083370434803446,[],1.3302,0.4149377593360996,0.004149377593360996,opposed
v5d_strong_preexisting_cross_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_001,True,False,,43.355122080862905,8.13413208214269,41.90903975027455,68.68704442093703,73.56538411873102,2.0,0.24999999999999997,138.8272509832196,1.268232572447404,0.2874283934522264,[],1.3284,0.31950207468879666,0.004149377593360996,cross
v5d_strong_preexisting_cross_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_001,True,False,,44.718785146098234,8.10295729592249,42.57035015748247,70.94033385505794,75.44282573423868,2.0,0.24044572354930188,138.65645112540898,1.2323074882974008,0.29083370434803446,[],1.1691,0.48132780082987553,0.0,cross
v5d_strong_simultaneous_aligned_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,23.163570910630163,7.639515944707826,12.620132499218993,36.44159525403227,58.15903320021613,2.0,0.2034334444465606,138.65388813489773,1.304449985122047,0.2801686551516642,[],1.3844,0.14937759336099585,0.0,aligned
v5d_strong_simultaneous_aligned_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,17.49788985549056,7.687802303698813,10.015817231750056,27.626439522221112,50.23272907022519,2.0,0.25,139.03781359726057,1.3236353849966234,0.28136393415703187,[],1.1231,0.25311203319502074,0.0,aligned
v5d_strong_simultaneous_aligned_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,21.565110055612035,7.659005796482073,11.839442598166407,33.8930969125371,56.41223689369214,2.0,0.2201854370916813,138.16934795737436,1.309473837757539,0.27913650180987326,[],1.204,0.22821576763485477,0.0,aligned
v5d_strong_simultaneous_aligned_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,25.200160870835525,7.575987575431878,13.487755041740344,39.71836031511237,59.886465314139144,2.0,0.1694472090553196,138.5598843314679,1.2464613742591786,0.2964049827957756,[],1.1717,0.22406639004149378,0.0,aligned
v5d_strong_simultaneous_opposed_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,26.263773563682083,7.767357377460837,16.953266419663507,41.76364658787102,61.076855196910984,2.0,0.14824503968974018,138.33682839701123,1.2673596243600243,0.26949866941870043,[],1.1361,0.35684647302904565,0.0,opposed
v5d_strong_simultaneous_opposed_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,23.30371776409185,7.826969581928572,15.71735088201337,37.11312597189149,57.6624184069194,2.0,0.24999999999999997,140.4134538063809,1.303500391216139,0.28829080085113307,[],1.2599,0.45228215767634855,0.004149377593360996,opposed
v5d_strong_simultaneous_opposed_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,23.866776567230065,7.833419068259712,16.418667525820897,38.0536771699264,58.01927003581771,2.0,0.25,139.15733023000362,1.3071157714030583,0.25601804916327486,[],1.2871,0.3651452282157676,0.0,opposed
v5d_strong_simultaneous_opposed_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,27.811082240820294,7.765605794584834,18.102965641979598,44.28953372229107,62.56983965030733,2.0,0.14387177433153475,139.11804741618025,1.1972692918085872,0.26276777494880627,[],1.297,0.4024896265560166,0.0,opposed
v5d_strong_simultaneous_cross_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,26.389811392366116,7.672359872457558,15.773759015605318,41.83866993021269,61.38904900196734,2.0,0.25,138.86859487291915,1.260934752649886,0.29950673006020245,[],1.2803,0.23236514522821577,0.0,cross
v5d_strong_simultaneous_cross_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,29.005924254595175,7.643061346662508,18.026163824406083,46.18380390318909,63.708720024644315,2.0,0.24044572354869392,138.60806609368348,1.2231805857829146,0.30247583406231454,[],1.0962,0.24896265560165975,0.0,cross
v5d_strong_simultaneous_cross_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,20.291054409016837,7.784639390700664,13.379898433292002,32.32809164162757,53.34261816945969,2.0,0.25,139.30494093875186,1.3235588299607577,0.2811594949117205,[],1.4603,0.3278008298755187,0.004149377593360996,cross
v5d_strong_simultaneous_cross_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_001,True,False,,26.579985775473123,7.657329974092402,15.671477113798158,42.12673080974383,61.49746758090788,2.0,0.25,139.65610464211298,1.2531482070887703,0.2889959999178227,[],1.2478,0.1908713692946058,0.008298755186721992,cross
v5d_calm_00,NORMAL_CALM,paper_incremental_mpc,paper_a_002,True,False,,10.31840087693368,5.529641136945406,2.2757906035451816,14.828070493096282,41.764121497577825,2.0,0.11381380180615716,139.07226097837807,1.1730192606901795,0.1669874195458237,[],1.0653,0.14522821576763487,0.0,not_applicable
v5d_moderate_00,NORMAL_CONSTANT,paper_incremental_mpc,paper_a_002,True,False,,25.12365147904944,7.086913211586927,21.01347052731068,40.32676068351928,57.14502294592986,2.0,0.11327933587647454,138.76816237573317,1.1609125827400506,0.15999641419136448,[],0.9976,0.21161825726141079,0.0,aligned
v5d_calm_06,NORMAL_CALM,paper_incremental_mpc,paper_a_002,True,False,,10.86688608396776,5.550727161045583,2.519998268370221,15.712981665635615,42.516137368223355,2.0,0.09780251686381347,139.67657203770307,1.1638850167923442,0.16413449410728817,[],1.003,0.11203319502074689,0.0,not_applicable
v5d_moderate_06,NORMAL_CONSTANT,paper_incremental_mpc,paper_a_002,True,False,,25.698072274727785,7.1140764995229615,21.608263262895306,41.21789528149223,57.88329192280174,2.0,0.10005851530191423,138.77236427079384,1.1435697421114377,0.1662401243383143,[],1.0301,0.2157676348547718,0.0,opposed
v5d_calm_12,NORMAL_CALM,paper_incremental_mpc,paper_a_002,True,False,,11.314418285938439,5.097790066847943,2.8780262924391757,16.50290193621468,38.991321480335685,2.0,0.20254727261794042,138.95456106969942,1.1524361113012738,0.1317022666827968,[],1.0519,0.11618257261410789,0.0,not_applicable
v5d_moderate_12,NORMAL_CONSTANT,paper_incremental_mpc,paper_a_002,True,False,,26.17947054112872,7.0634581531400125,21.33274926664937,41.938696953915766,59.223257120342446,2.0,0.20308173854762324,138.7618670881442,1.1113668685923985,0.1587542252471263,[],0.9954,0.22406639004149378,0.0,cross
v5d_strong_preexisting_aligned_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_002,True,False,,34.67910681072958,7.687820139004456,32.95227057984655,55.37741752968588,61.7946625531185,2.0,0.11254323930165853,138.45090407855884,1.1607570977471955,0.16071773747797446,[],0.9113,0.5228215767634855,0.0,aligned
v5d_strong_preexisting_aligned_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_002,True,False,,33.70441295733608,7.725325582406795,32.932439066584124,53.89953749306031,52.620185325732194,2.0,0.17036821371369643,138.0927767072434,1.1717396781559704,0.15962218184591084,[],0.9578,0.45643153526970953,0.0,aligned
v5d_strong_preexisting_opposed_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_002,True,False,,35.02973232158612,7.689763765221109,33.2726851572452,55.89852681172826,62.2828231789219,2.0,0.09917234055988478,138.4480609481202,1.1618640764918426,0.15882132637322643,[],1.0859,0.4066390041493776,0.0,opposed
v5d_strong_preexisting_opposed_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_002,True,False,,34.198521036662584,7.70074777528157,33.239834223451055,54.61688998572602,57.948912293007524,2.0,0.25,138.64946831829337,1.163457238019066,0.16415362785135265,[],0.9188,0.4066390041493776,0.004149377593360996,opposed
v5d_strong_preexisting_cross_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_002,True,False,,35.49280430785571,7.686883831877355,33.20715248049121,56.64213506331751,63.90152909010448,2.0,0.20389826193974447,138.51215560943112,1.147560143319365,0.15809251207928063,[],0.859,0.44813278008298757,0.0,cross
