time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x
5.385,0.0067227409672268755,0.013541095704059808,0.10534177725656638,0.008713099431904802,True,False,0.012745021657645517,-1.0702030713046704e-15,0.0007254253943090796,0.14826957623199827,1.0967579431991762e-16,3.200271288178126,0.36827867439411444,1.0656498184691665e-17,0.38986205721440537,0.375,0.0,0.38999999999999996,0.0,129.8941110098729,0.003892144779311228,0.0202,6.9237219656678756e-06
5.39,0.006654851488237454,0.013624878131434473,0.10284565326978222,0.008712963836996062,True,False,0.012745021657645517,-1.0702030713046704e-15,0.0007254253943090796,0.14823325887285047,1.0868809638828186e-16,3.2002611828312126,0.36834658845701906,9.95199864203115e-18,0.3898615688971932,0.375,0.0,0.38999999999999996,0.0,129.89411100350813,0.0036175376981140176,0.0202,6.576535973513904e-06
5.3950000000000005,0.006586548448610877,0.013706538774546265,0.100349717000915,0.008711788903485606,True,False,0.012745021657645517,-1.0702030713046704e-15,0.0007254253943090796,0.148197300066724,1.0770773148840382e-16,3.200251094613417,0.3684149162821547,9.260462558779608e-18,0.3898611011343912,0.375,0.0,0.38999999999999996,0.0,129.89411100293682,0.0033393193856741635,0.0202,6.231022433456736e-06
5.4,0.0065178425020173125,0.013786077602877297,0.09785426622323484,0.008709574553711,True,False,0.01317915396268822,-9.59522990026802e-16,0.0011836417531690797,0.14816170292070918,1.0673467712867527e-16,3.200241023519282,0.3684836472446614,8.581855724151832e-18,0.38986065277507354,0.375,0.0,0.38999999999999996,0.0,129.9001865348029,0.0023743248154789436,0.0192,5.887337486081302e-06
5.405,0.0064487441642080146,0.013863487134294162,0.09535960683145812,0.00870626347447565,True,False,0.01317915396268822,-9.59522990026802e-16,0.0011836417531690797,0.14812647051541822,1.0576896442197074e-16,3.200230975279966,0.3685527707356632,7.915961455374554e-18,0.3898602283702376,0.375,0.0,0.38999999999999996,0.0,129.9001865434409,0.0021139500641245965,0.0192,5.545672325250638e-06
5.41,0.00637926393662458,0.013938779078117327,0.0928660446496394,0.008701916080854398,True,False,0.01317915396268822,-9.59522990026802e-16,0.0011836417531690797,0.14809160587243841,1.0481062395359262e-16,3.2002209556271293,0.368622276155508,7.262562825926017e-18,0.3898598324698177,0.375,0.0,0.38999999999999996,0.0,129.90018655629876,0.001849850642926806,0.0192,5.206135743697495e-06
5.415,0.0063094124486197875,0.014011954179759166,0.09037387547267728,0.008696539401104073,True,False,0.01317915396268822,-9.59522990026802e-16,0.0011836417531690797,0.14805711191505155,1.0385963172216254e-16,3.2002109645569794,0.36869215289828394,6.621624609996327e-18,0.3898594639257319,0.375,0.0,0.38999999999999996,0.0,129.90018657335,0.0015822091778011063,0.0192,4.868874212059007e-06
5.42,0.006239200324856227,0.01408301344585687,0.08788339343049519,0.008690138476541246,True,False,0.01317915396268822,-9.59522990026802e-16,0.0011836417531690797,0.14802299150500384,1.0291596329297274e-16,3.200201002066315,0.36876239036419645,5.9931110857191275e-18,0.38985912159492414,0.375,0.0,0.38999999999999996,0.0,129.9001865945516,0.0013112043826316105,0.0192,4.534031759301241e-06
5.425,0.006168638184167939,0.014151958158478865,0.08539489138349146,0.008682716966473644,True,False,0.01317915396268822,-9.59522990026802e-16,0.0011836417531690797,0.14798924744217043,1.0197959379891367e-16,3.200191068152528,0.36883297796079284,5.376986036359258e-18,0.3898588043375032,0.375,0.0,0.38999999999999996,0.0,129.90018661984422,0.0010370113317520885,0.0192,4.201749907259401e-06
5.43,0.006097736638350658,0.014218789884602977,0.08290866130454097,0.008674277609535777,True,False,0.01317915396268822,-9.59522990026802e-16,0.0011836417531690797,0.14795588246420463,1.0105049794141578e-16,3.20018116281359,0.3689039051042541,4.773212751521931e-18,0.38985851101546565,0.375,0.0,0.38999999999999996,0.0,129.90018664915218,0.0007598016495824732,0.0192,3.872167616131496e-06
