method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,large_endpoint_failure_fraction
r1r2_full_lqr_012,native_full_lqr,48,0.3333333333333333,0.041666666666666664,32,16.342272883247123,24.383183629476306,30.088306259565947,2.1303098336781505,8.705976139071804,10.208075099444295,2.833103031033623,1.7042253965545324,4.467753163285331,3.7486396871150185,,11.15992920280065,19.0881405790404,27349.284193075324,0.0,0.0,678.1598977550531,0.003026516760149573,0.0007999999999999999,0.07649099999999996,17.5914,3.3386752136752137e-06,0.7291666666666666
r1r2_full_lqr_014,native_full_lqr,48,0.3125,0.020833333333333332,33,7.991805938971386,10.591356105243962,13.769978622792044,1.727952618587496,3.260968787840237,3.466087880616458,1.343616429018111,1.7461464997495895,4.84318671013935,3.879574578719767,,6.049308561422606,12.475096344635602,20860.816664822865,0.0,0.0,353.24941813432946,0.009102072048611111,0.061099999999999995,0.07448400000000002,9.005799999999999,0.0,0.8958333333333334
r1r2_full_lqr_020,native_full_lqr,48,0.2916666666666667,0.125,34,13.006351599262373,24.925088449441443,27.53979573248401,2.482379960769936,6.248964359230822,12.46452896518704,2.214074244709174,1.5849727212160527,6.429671788237939,2.2789055796904534,,7.470127107042144,17.9546407427914,18548.630114114694,0.0,0.0,257.89820958048904,0.00896610619212963,0.060803249999999955,0.07427341000000005,8.7112,2.8935185185185184e-06,0.7291666666666666
r1r2_full_lqr_005,native_full_lqr,48,0.2916666666666667,0.041666666666666664,34,11.609839272517057,19.66898733541965,21.36126573347393,1.7293061407867782,3.5299862998122826,3.9021342258754563,1.8858835467098103,1.6587515309748946,4.831535220756879,3.2260712667496567,,7.38248209259163,15.884040312651852,20400.194588365124,0.0,0.0,162.69052852565133,0.026368950260416663,0.06326174999999998,0.09642964999999958,11.5072,0.00034114583333333333,0.8125
r1r2_full_lqr_030,native_full_lqr,48,0.2916666666666667,0.020833333333333332,34,12.821023629830885,21.012467753929524,24.088174188816094,1.4761682163392138,4.813055280214875,5.2105604814202735,2.7010534134090833,1.3393437444680034,2.750458415557842,2.7941338666509883,,7.187468717101079,12.011559309107527,19550.981134795573,0.0,0.0,472.5770096618426,0.002630875734508547,0.0006,0.07354666999999998,7.3770999999999995,3.3386752136752137e-06,0.6875
r1r2_full_lqr_004,native_full_lqr,48,0.25,0.0,36,9.571234204580426,17.434479169032734,18.506960988094562,2.1353912941709807,6.482817082469885,9.96820026030747,1.8457633576530734,1.6674015032399232,5.294354367601637,3.83555325416861,,6.434801923077249,13.811315347176077,18526.907303689495,0.0,0.0,133.65343281507998,0.027943098263888893,0.06850324999999995,0.11103900000000007,15.068999999999999,0.00017013888888888886,0.7291666666666666
r1r2_full_lqr_010,native_full_lqr,48,0.22916666666666666,0.041666666666666664,37,13.469050274984971,22.64956870610179,25.411702639148366,3.3475601755908806,11.426432923493621,14.608022164451095,2.4406072177967566,2.237235224902553,8.18047549263832,3.6022714758153747,,7.719079051672422,13.428476241770909,20067.04024064634,0.0,0.0,202.62979064309192,0.028619587152777775,0.07716324999999995,0.2023104200000004,33.705799999999996,0.00017708333333333335,0.8125
r1r2_full_lqr_035,native_full_lqr,48,0.22916666666666666,0.0,37,11.907077661168278,18.157924113239467,23.94609466871412,2.5605411950156225,9.36137395731999,12.032412118914941,2.0621748604534496,1.786693669095719,6.483928186231025,2.5734500686444624,,7.094944139095778,15.329283715684802,19326.984469233677,0.0,0.0,145.62297645020416,0.025800382465277775,0.060265,0.0807775299999999,10.831199999999999,0.00019531250000000004,0.7708333333333334
r1r2_full_lqr_011,native_full_lqr,48,0.20833333333333334,0.020833333333333332,38,18.995394607022174,30.208163124059805,47.14188378903629,2.251802236600804,6.519071162039507,10.507273630983986,2.6710431302288047,1.9118336829238822,4.9630391252835215,3.8550486374286326,,9.040749169047906,18.312117675082877,27673.34619727927,0.0,0.0,227.6963943250279,0.029019164930555553,0.06909,0.16801111999999918,29.187099999999997,0.0006362847222222222,0.7916666666666666
r1r2_full_lqr_003,native_full_lqr,48,0.16666666666666666,0.020833333333333332,40,13.7399265328829,19.710563673258505,35.48172827774564,2.8139173362339442,7.782025998761787,12.985601454378745,2.8754183686640666,2.0979363417527552,7.136184165754432,4.272221321851547,,8.594681406752546,17.29042341719426,24830.366545172514,0.0,0.0,350.8371481418773,0.015901379464285714,0.066255,0.08280647000000001,9.382299999999999,7.4404761904761905e-06,0.8125
