method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,competence_pass
r1r2_full_lqr_012,native_full_lqr,200,0.32,0.055,136,16.527088641899855,31.076837387916157,38.22778618700009,2.253548415739076,8.248727882316,10.457976019415904,2.6351502645987734,1.845545956135,5.129259556074594,3.4119098162846964,,10.38767379895455,25.136647068387347,26769.363046290167,0.0,0.0,689.3971195823278,0.002616332051282051,0.0005,0.07340399999999998,0.5111,0.0,False
r1r2_full_lqr_020,native_full_lqr,200,0.3,0.07,140,11.153136635403792,22.12921493369763,24.25960053427167,2.406117532775078,8.581778870289378,9.814730542322891,1.9190118597139767,1.6335990946374601,6.119282722438475,2.6167119735309665,2.3600000000000003,7.798684567018674,18.299842975602246,18488.965224708863,0.0,0.0,263.29782336822615,0.009140178055555554,0.06230024999999999,0.0769,12.918899999999999,6.944444444444445e-07,False
r1r2_full_lqr_014,native_full_lqr,200,0.29,0.025,142,7.994067322668029,15.026578495848263,16.353626993974384,1.6901945685254935,3.624484132570423,5.821500428102735,1.1521650359273472,1.6959558549984288,4.392972597963165,3.5999987823613844,4.57,5.129634333821381,13.679935447917387,20440.21332489244,0.0,0.0,332.835315039788,0.009176398125,0.062099999999999995,0.07620299000000001,0.7641,0.0,False
r1r2_full_lqr_005,native_full_lqr,200,0.275,0.035,145,11.34943428274851,21.667260375301957,26.219533560543425,1.737261273122663,4.3832768442368115,5.478673322642137,1.840109477667457,1.7311856923081799,4.958938793455738,3.0023855728686732,4.640000000000001,6.636163651335545,16.697698965826014,20135.33011003787,0.0,0.0,151.57834877452905,0.024918579041666663,0.0603,0.08220100999999999,10.7989,1.4583333333333333e-06,False
r1r2_full_lqr_004,native_full_lqr,200,0.245,0.025,151,8.578443182877487,15.60283344065239,17.579624224098175,2.0398345529477306,6.550146309431881,9.134831902902722,1.7833137469354527,1.72245327982689,5.03390503965909,3.750911361024929,3.4749999999999996,5.482935881536379,12.987568331803669,18416.38484524481,0.0,0.0,138.4812994807968,0.025125359791666666,0.063005,0.09110698000000009,2.7283,4.1666666666666667e-07,False
r1r2_full_lqr_030,native_full_lqr,200,0.215,0.035,157,12.361154434526929,22.07342671961941,24.697740473623803,2.2115071701513678,6.907831052676986,10.075101756809724,2.74429116962282,1.7230226618303655,4.942255502076836,2.7071867998882317,2.15,7.6375116573504895,17.819416185054777,19488.449821607966,0.0,0.0,473.0860946461263,0.0025715451121794877,0.0005,0.072901,0.4992,0.0,False
