time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
6.565,0.0001409999917916238,0.0,0.00043149265955659007,0.0,0.0,-0.0019580006336096054,0.225,0.0,0.14014099999179158,0.225,0.0,0.13999999999999996,0.0,129.85847607161102,0.0,True,True,False
6.57,0.00014313298008161723,0.0,0.00042170265638853677,0.0,0.0,-0.0019580006336096054,0.225,0.0,0.14014313298008158,0.225,0.0,0.13999999999999996,0.0,129.85847607161102,0.0,True,True,False
6.575,0.00014521701835512602,0.0,0.00041191265322048346,0.0,0.0,-0.0019580006336096054,0.225,0.0,0.14014521701835508,0.225,0.0,0.13999999999999996,0.0,129.85847607161102,0.0,True,True,False
6.58,0.00014725210661392651,0.0,0.00040212265005243016,0.0,0.0,-0.0019580006336096054,0.225,0.0,0.14014725210661388,0.225,0.0,0.13999999999999996,0.0,129.85847607161102,0.0,True,True,False
6.585,0.00014923824485624237,0.0,0.00039233264688437686,0.0,0.0,-0.0019580006336096054,0.225,0.0,0.1401492382448562,0.225,0.0,0.13999999999999996,0.0,129.85847607161102,0.0,True,True,False
6.59,0.00015117543308296177,0.0,0.00038254264371632356,0.0,0.0,-0.0019580006336096054,0.225,0.0,0.14015117543308292,0.225,0.0,0.13999999999999996,0.0,129.85847607161102,0.0,True,True,False
6.595,0.00015306367129319653,0.0,0.00037275264054827025,0.0,0.0,-0.0019580006336096054,0.225,0.0,0.14015306367129315,0.225,0.0,0.13999999999999996,0.0,129.85847607161102,0.0,True,True,False
6.6000000000000005,0.00015490295948783483,0.0,0.00036296263738021695,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.1401549029594878,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.605,0.00015669481237079452,0.0,0.00035377851562831794,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.14015669481237075,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.61,0.0001584407446442171,0.0,0.00034459439387641894,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.14015844074464417,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.615,0.00016014075630899072,0.0,0.00033541027212451993,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.14016014075630895,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.62,0.0001617948473651154,0.0,0.0003262261503726209,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.14016179484736507,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.625,0.00016340301781259114,0.0,0.0003170420286207219,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.14016340301781255,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.63,0.00016496526765141795,0.0,0.0003078579068688229,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.14016496526765138,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.635,0.0001664815968815958,0.0,0.0002986737851169239,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.14016648159688155,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.640000000000001,0.00016795200550312472,0.0,0.0002894896633650249,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.14016795200550308,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.6450000000000005,0.00016937649351511652,0.0,0.0002803055416131259,0.0,0.0,-0.0018368243503775513,0.225,0.0,0.14016937649351507,0.225,0.0,0.13999999999999996,0.0,129.860080445601,0.0,True,True,False
6.65,0.00017075506091934756,0.0,0.0002711214198612269,0.0,0.0,-0.001702333915166488,0.225,0.0,0.1401707550609193,0.225,0.0,0.13999999999999996,0.0,129.8618610989632,0.0,True,True,False
6.655,0.0001720893888448316,0.0,0.00026260975028538663,0.0,0.0,-0.001702333915166488,0.225,0.0,0.1401720893888448,0.225,0.0,0.13999999999999996,0.0,129.8618610989632,0.0,True,True,False
6.66,0.0001733811584223588,0.0,0.0002540980807095464,0.0,0.0,-0.001702333915166488,0.225,0.0,0.14017338115842232,0.225,0.0,0.13999999999999996,0.0,129.8618610989632,0.0,True,True,False
