candidate_id,stage1_rank,sample_id,scenario,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,equivalent_swing_rms_deg,equivalent_swing_peak_deg,paper_swing_correction_ax_mean,paper_swing_correction_ax_rms,paper_swing_correction_ax_peak,nominal_pid_ax_rms,final_ax_rms,paper_swing_correction_saturation_count,total_acceleration_effort,limiter_mismatch_max,runtime_limits_pass
lv2026_000,1,calm__+x_r0.15,CALM_3D_SETPOINT,True,True,3.0300000000000002,0.08821834490239983,3.04813413394193,,,2.5819817347223464,9.136012913671172,-0.08171477735745006,1.0533394596645838,3.5297005136912483,0.6499933752307177,0.8234522529422407,221,8.36039173721244,4.51729972232758,True
lv2026_000,1,wind_1p5__+x_r0.15,WIND_3D_SETPOINT,True,True,2.4750000000000005,0.06386110946776952,1.4928653971333905,,,1.2399438187003864,5.160840182814564,-0.05141252754801742,0.6921316277049775,2.7846207453322953,0.47534497376805385,0.6421399702677686,81,5.037228226232691,3.533125254725729,True
lv2026_000,1,wind_3p0__+x_r0.15,WIND_3D_SETPOINT,True,True,1.0499999999999998,0.26907962575837396,3.71842117396178,,,3.3094137040604634,9.095418559597995,0.015582908550887236,1.3772633417594735,3.6201346759451347,0.839020380211346,0.9686860156246462,461,11.770494314719894,4.639935735384507,True
lv2026_000,1,calm__-x_r0.15,CALM_3D_SETPOINT,True,True,3.0300000000000002,0.0892180950035473,3.03161427082146,,,2.564886202719582,8.869326525135774,0.07915777346945295,1.0566608391767387,3.505063477295532,0.6354689746643011,0.8177394944996162,241,8.265230176685154,4.305292525171836,True
lv2026_000,1,wind_1p5__-x_r0.15,WIND_3D_SETPOINT,True,False,,0.11056682462047025,1.978384398607919,,,1.6700303396238962,7.8681946615391825,0.0898401155051039,0.8398376636752993,3.0859253693468625,0.5404521439558049,0.7316722274434524,160,6.525457154829772,3.6959988654843103,True
lv2026_000,1,wind_3p0__-x_r0.15,WIND_3D_SETPOINT,True,False,,0.3549511788241328,3.873740014459936,,,3.441391900642641,9.504882916529969,0.07619558928590114,1.3797427022279087,3.490588759558771,0.8316538656294943,0.989569201632187,451,12.250594826027873,4.4210097287183485,True
lv2026_000,1,calm__+y_r0.15,CALM_3D_SETPOINT,True,True,4.955,0.09327564472024619,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00401628670776459,0.0,True
lv2026_000,1,wind_1p5__+y_r0.15,WIND_3D_SETPOINT,True,False,,0.0988568999840398,1.1111684043697685,,,0.8999079054282046,4.09926422994023,-0.04932418969268241,0.548271861012318,2.2642101180386742,0.41934490611319225,0.585317421355159,60,4.165830020245476,2.932204865624347,True
lv2026_000,1,wind_3p0__+y_r0.15,WIND_3D_SETPOINT,True,False,,0.30523541116228337,3.6651493234855206,,,3.25890086846051,8.797852557378539,0.02579532483428995,1.3508012698996066,3.4304848512581283,0.8319906976602492,0.9647378626185119,451,11.66685809499786,4.413045009799587,True
lv2026_000,1,calm__-y_r0.15,CALM_3D_SETPOINT,True,True,4.955,0.09327564472024619,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00401628670776459,0.0,True
lv2026_000,1,wind_1p5__-y_r0.15,WIND_3D_SETPOINT,True,False,,0.0988568999840398,1.1111684043697685,,,0.8999079054282046,4.09926422994023,-0.04932418969268241,0.548271861012318,2.2642101180386742,0.41934490611319225,0.585317421355159,60,4.165830020245476,2.932204865624347,True
lv2026_000,1,wind_3p0__-y_r0.15,WIND_3D_SETPOINT,True,False,,0.30523541116228337,3.6651493234855206,,,3.25890086846051,8.797852557378539,0.02579532483428995,1.3508012698996066,3.4304848512581283,0.8319906976602492,0.9647378626185119,451,11.66685809499786,4.413045009799587,True
lv2026_000,1,calm__+z_r0.15,CALM_3D_SETPOINT,True,True,0.99,0.029780750412311516,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.11217005724800687,0.0,True
lv2026_000,1,wind_1p5__+z_r0.15,WIND_3D_SETPOINT,True,True,1.0,0.059635780356910396,1.1731280222181661,,,0.952758318241989,3.8967620334190256,-0.046234784430151034,0.5753482591178084,2.384954689498682,0.42500877167932266,0.5936933940122171,70,4.400695806228402,3.071355743596567,True
lv2026_000,1,wind_3p0__+z_r0.15,WIND_3D_SETPOINT,True,False,,0.3184520182957982,3.8337143834808804,,,3.4128085827467216,9.664296773645379,0.054206069833249604,1.3717412119052228,3.4975020999320097,0.8390441116074384,0.9803970765593959,451,12.162718626313696,4.633835733570541,True
lv2026_000,1,calm__-z_r0.15,CALM_3D_SETPOINT,True,True,0.99,0.029780750412311496,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.11217005724800738,0.0,True
lv2026_000,1,wind_1p5__-z_r0.15,WIND_3D_SETPOINT,True,True,1.0300000000000002,0.05879936999265865,1.0702467827670226,,,0.864664687050941,3.984565124556706,-0.04807390398355734,0.5281848592618366,2.1736133539677653,0.40731378097844695,0.5782617398028468,40,4.174389118893826,2.767190549739606,True
lv2026_000,1,wind_3p0__-z_r0.15,WIND_3D_SETPOINT,True,False,,0.2835079182904422,3.559223052221215,,,3.1784665958674205,9.029245262850067,0.008993741034639806,1.3312551226343337,3.5375100724025157,0.8201938523164286,0.9554115531911203,451,11.554528143786989,4.509436976879968,True
lv2026_000,1,calm__+x_r0.25,CALM_3D_SETPOINT,True,False,,0.164826718480506,4.013242027610676,,,3.4344874703504833,9.639799196348504,0.07756691220721652,1.4227938091258143,3.840705150211932,0.815354563395073,0.9516993059642102,461,11.362010789663975,4.835668360058758,True
lv2026_000,1,wind_1p5__+x_r0.25,WIND_3D_SETPOINT,True,True,3.0300000000000002,0.13095281103312628,2.527863885710811,,,2.1633127368939093,8.644673797789896,0.07463079817462867,0.8541529201122796,3.0705545605779614,0.5550763270386299,0.7499922249609201,151,6.925184298822527,3.90612841502187,True
lv2026_000,1,wind_3p0__+x_r0.25,WIND_3D_SETPOINT,True,False,,0.30803263077641047,3.7986454958933886,,,3.3787932449596827,9.588744316361641,0.027616612959791672,1.3850257826387682,3.620701586858288,0.8608144053959746,0.9748483596000216,471,11.928888713912933,4.5751417511185135,True
lv2026_000,1,calm__-x_r0.25,CALM_3D_SETPOINT,True,False,,0.15598993341301814,4.079469222781049,,,3.495408498059653,9.713277604511546,-0.08319970831438486,1.4382809211504979,3.9437702135779955,0.8102059982151065,0.9525812008504382,451,11.314174666030066,4.875171810274119,True
lv2026_000,1,wind_1p5__-x_r0.25,WIND_3D_SETPOINT,True,False,,0.15003186654185582,2.7060731490262664,,,2.2743533784920174,7.953826328607564,-0.052633274249461064,0.9658843699864078,3.196993119070716,0.6150883881554832,0.7968729914764144,211,7.807378062429234,4.077631485244429,True
lv2026_000,1,wind_3p0__-x_r0.25,WIND_3D_SETPOINT,True,False,,0.41419558106177445,3.9337456956659413,,,3.4847957720906955,10.035336820670043,0.10098530439727654,1.411462131191675,3.6315865907908154,0.8428827048584526,1.0050282056568758,470,12.580400234170597,4.524186664711014,True
lv2026_000,1,calm__+y_r0.25,CALM_3D_SETPOINT,True,True,5.34,0.15545997022509508,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0111572132455739,0.0,True
lv2026_000,1,wind_1p5__+y_r0.25,WIND_3D_SETPOINT,True,False,,0.15008331037807243,1.1110951455922322,,,0.8998470159120145,4.098910382384568,-0.04932056085322245,0.5482263066349687,2.2639067831279043,0.41931149492377817,0.5853143335312194,60,4.169947838552301,2.9316099351593774,True
lv2026_000,1,wind_3p0__+y_r0.25,WIND_3D_SETPOINT,True,False,,0.3254210479771184,3.6651933097411153,,,3.2589541211495776,8.796936956865876,0.025793514639869286,1.3508263639324143,3.4306189639952542,0.8319776272827605,0.9647352232343036,451,11.670851714894571,4.412602613125071,True
