time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,cutter_angular_speed_rad_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
6.3100000000000005,1.593680854306001e-05,0.0,6.503973018554622e-06,9.974124588496914e-16,2.1577247243828203e-17,8.190156214124447e-15,-0.00012223611151439596,0.225,-9.891076281300973e-15,0.640015936808543,0.225,0.0,0.6399999999999999,0.0,129.88278159388355,1.5839191303435782e-14,True,True,False
6.315,1.5967800456984094e-05,0.0,5.8927924609723395e-06,1.0018939178574481e-15,2.1577247243828203e-17,8.190156214124447e-15,-0.00012223611151439596,0.225,-9.94714438518913e-15,0.6400159678004569,0.225,0.0,0.6399999999999999,0.0,129.88278159388355,1.582846310096059e-14,True,True,False
6.32,1.599573646782204e-05,0.0,5.281611903390058e-06,1.006372719655463e-15,2.1577247243828203e-17,8.190156214124447e-15,-0.00012223611151439596,0.225,-1.00203758963138e-14,0.6400159957364677,0.225,0.0,0.6399999999999999,0.0,129.88278159388355,1.5754631128308417e-14,True,True,False
6.325,1.6020616576462032e-05,0.0,4.670431345807775e-06,1.0108305192499526e-15,2.1577247243828203e-17,8.190156214124447e-15,-0.00012223611151439596,0.225,-1.0093930509529639e-14,0.6400160206165764,0.225,0.0,0.6399999999999999,0.0,129.88278159388355,1.5680663843797216e-14,True,True,False
6.33,1.6042440782015888e-05,0.0,4.0592507882254955e-06,1.0152673856509918e-15,2.1577247243828203e-17,8.190156214124447e-15,-0.00012223611151439596,0.225,-1.0167806762238258e-14,0.6400160424407819,0.225,0.0,0.6399999999999999,0.0,129.88278159388355,1.5606562047513225e-14,True,True,False
6.335,1.6061209084483608e-05,0.0,3.4480702306432155e-06,1.019683286439524e-15,2.1577247243828203e-17,8.190156214124447e-15,-0.00012223611151439596,0.225,-1.024200318597065e-14,0.6400160612090844,0.225,0.0,0.6399999999999999,0.0,129.88278159388355,1.5532327018282917e-14,True,True,False
6.34,1.607692148475337e-05,0.0,2.8368896730609347e-06,1.0240781889476099e-15,2.1577247243828203e-17,8.190156214124447e-15,-0.00012223611151439596,0.225,-1.031651830641601e-14,0.6400160769214847,0.225,0.0,0.6399999999999999,0.0,129.88278159388355,1.5457960035211554e-14,True,True,False
6.345,1.6089577981936998e-05,0.0,2.2257091154786535e-06,1.0284520601685019e-15,2.1577247243828203e-17,8.190156214124447e-15,-0.00012223611151439596,0.225,-1.0391350643451398e-14,0.6400160895779818,0.225,0.0,0.6399999999999999,0.0,129.88278159388355,1.5383462377663783e-14,True,True,False
6.3500000000000005,1.609917857603449e-05,0.0,1.6145285578963712e-06,1.0328048667142325e-15,1.315100198043505e-17,8.577195409151413e-15,-0.00010224592140884424,0.225,-1.0466498711171453e-14,0.6400160991785759,0.225,0.0,0.6399999999999999,0.0,129.88304626400054,1.5722816691464742e-14,True,True,False
6.355,1.610597314449791e-05,0.0,1.1032989508393248e-06,1.0372537144844894e-15,1.315100198043505e-17,8.577195409151413e-15,-0.00010224592140884424,0.225,-1.0541961652755689e-14,0.6400161059731444,0.225,0.0,0.6399999999999999,0.0,129.88304626400054,1.564750532128936e-14,True,True,False
