candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,solve_time_p95_ms,parameters
paper_a_007,14,14,8,1.0,0.5714285714285714,2.3200000000000003,0.09695723050281808,0.6813750856555879,0.2945078382366939,0.14111129833323746,0.7336728244087157,0.0959,"{'candidate_id': 'paper_a_007', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.25, 'outer_velocity_gain': 1.0, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.0625, 'swing_correction_scale': 0.25, 'swing_correction_clip_m_s2': 0.5}"
paper_a_009,14,14,8,1.0,0.5714285714285714,2.3200000000000003,0.09705016702171425,0.6827767263137063,0.29454523343795047,0.14127700729678425,0.7312565135281112,0.0917,"{'candidate_id': 'paper_a_009', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.25, 'outer_velocity_gain': 1.0, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.125, 'swing_correction_scale': 0.25, 'swing_correction_clip_m_s2': 0.5}"
paper_a_013,14,14,8,1.0,0.5714285714285714,2.35,0.0973211594267164,0.663818965397072,0.30082575848589765,0.13868005898911834,0.721896418991989,0.0886,"{'candidate_id': 'paper_a_013', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.5, 'outer_velocity_gain': 0.5, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.0625, 'swing_correction_scale': 0.25, 'swing_correction_clip_m_s2': 0.5}"
paper_a_015,14,14,8,1.0,0.5714285714285714,2.355,0.09742462090019086,0.6654233764624251,0.3008640187285451,0.13879945264303248,0.7196444693268508,0.1261,"{'candidate_id': 'paper_a_015', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.5, 'outer_velocity_gain': 0.5, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.125, 'swing_correction_scale': 0.25, 'swing_correction_clip_m_s2': 0.5}"
paper_a_001,14,14,8,1.0,0.5714285714285714,2.345,0.09751529767377191,0.6492268654118065,0.30274641419230386,0.13988686841373413,0.7104503863731797,0.0992,"{'candidate_id': 'paper_a_001', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.25, 'outer_velocity_gain': 0.5, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.0625, 'swing_correction_scale': 0.25, 'swing_correction_clip_m_s2': 0.5}"
paper_a_003,14,14,8,1.0,0.5714285714285714,2.345,0.09761410058168678,0.6508168559872898,0.3027849433535987,0.14000327606092447,0.7082601560339057,0.0998,"{'candidate_id': 'paper_a_003', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.25, 'outer_velocity_gain': 0.5, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.125, 'swing_correction_scale': 0.25, 'swing_correction_clip_m_s2': 0.5}"
paper_a_017,14,14,8,1.0,0.5714285714285714,2.355,0.09786662297485368,0.6639552054692797,0.30363024233906144,0.13954118943280974,0.7158577128851524,0.0978,"{'candidate_id': 'paper_a_017', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.5, 'outer_velocity_gain': 0.5, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.25, 'swing_correction_scale': 0.25, 'swing_correction_clip_m_s2': 0.5}"
paper_a_005,14,14,8,1.0,0.5714285714285714,2.345,0.09804813013185602,0.6494542530615499,0.3055648269545193,0.14075950325167982,0.7045824897279847,0.0971,"{'candidate_id': 'paper_a_005', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.25, 'outer_velocity_gain': 0.5, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.25, 'swing_correction_scale': 0.25, 'swing_correction_clip_m_s2': 0.5}"
paper_a_006,14,14,8,1.0,0.5714285714285714,2.31,0.09891755362359068,0.6668680860196216,0.30228113258967304,0.147802981011317,0.7317069068642599,0.0917,"{'candidate_id': 'paper_a_006', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.25, 'outer_velocity_gain': 1.0, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.0625, 'swing_correction_scale': 0.1, 'swing_correction_clip_m_s2': 0.5}"
paper_a_008,14,14,8,1.0,0.5714285714285714,2.31,0.09895641904862039,0.6674271002259157,0.3022990743449197,0.14786839702113938,0.7307328022441073,0.0959,"{'candidate_id': 'paper_a_008', 'method': 'LV2026-SPACC-ADAPTED-3D', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'outer_position_gain': 0.25, 'outer_velocity_gain': 1.0, 'desired_tip_speed_limit_m_s': 0.5, 'swing_gain_scale_of_reported_3_2': 0.125, 'swing_correction_scale': 0.1, 'swing_correction_clip_m_s2': 0.5}"
