time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,uav_roll_deg,uav_pitch_deg,uav_yaw_deg,requested_thrust_N,applied_thrust_N,requested_Mx_Nm,requested_My_Nm,requested_Mz_Nm,applied_Mx_Nm,applied_My_Nm,applied_Mz_Nm,thrust_saturated,mx_saturated,my_saturated,mz_saturated,ax_cmd,ay_cmd,az_cmd,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
18.925,1.8848520581822432,16.590724307830623,6.484868039116891,2.124220808286217,16.35795646002269,3.6827055672645135,-1.17434824401918,3.6546933778651587,-0.5306574551858455,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.688832155845554,-1.554053980407984,-0.5918051440469405,153.53730819412323,153.53730819412323,1.4425229970947109,-0.11972003522190147,-0.05751657338769891,1.4425229970947109,-0.11972003522190147,-0.05751657338769891,False,False,False,False,0.21521206338364385,-2.0,2.0,True,0.012181666667328835,0.004882529746241163,0.004637511939749541,0.005788533099832211,0.007551302405863387,0.15307491616148325,0.01503003733981107,0.002208861255339161,-0.00018385159609636873,-0.00034960377112067944
18.93,1.8827160090943016,16.605550984522832,6.482857210782229,2.1183533926827827,16.376247369851768,3.6800776961393376,-1.17260438476043,3.6616582268990014,-0.5204895642193219,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.6193309078077185,-1.519957383411458,-0.5843815452027403,153.58905948971233,153.58905948971233,1.428350380416789,-0.12879309568683267,-0.058862834947704834,1.428350380416789,-0.12879309568683267,-0.058862834947704834,False,False,False,False,0.21521206338364385,-2.0,2.0,True,0.01294478214400584,0.0049571761527061765,0.00465062264083755,0.005787712134560507,0.0075495916822156915,0.152174684830123,0.014787289192392842,0.0030679734528063374,-0.0001468572677688455,-0.0003355515343201167
18.935,1.88058305774625,16.62040692052041,6.48088800166119,2.1124949004142364,16.39457289746241,3.6775007375774114,-1.1707789034283687,3.6685404601547407,-0.5102925042399805,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.54971590997615,-1.4858681987897373,-0.5769586112464296,153.64060347619957,153.64060347619957,1.4141731285596273,-0.1378018463078673,-0.06018120160498504,1.4141731285596273,-0.1378018463078673,-0.06018120160498504,False,False,False,False,0.21521206338364385,-2.0,2.0,True,0.013703631530560745,0.0050299308302423264,0.004668497492863267,0.005787046847498511,0.007547939515566918,0.1513660419415015,0.014280955186302699,0.004107193706273945,-0.00011993111803840875,-0.00032564356550222195
18.94,1.878453264347199,16.63529177132086,6.478960543240256,2.1066457397937755,16.41293262928852,3.674974836306443,-1.1688717134781956,3.675339886177365,-0.5000666827068393,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.479988305968906,-1.4517891343922331,-0.5695366912256545,153.69193786856752,153.69193786856752,1.399991569161614,-0.1467474595905943,-0.06147134134435349,1.399991569161614,-0.1467474595905943,-0.06147134134435349,False,False,False,False,0.21521206338364385,-2.0,2.0,True,0.014458632870360753,0.005099593782631264,0.004691927763367956,0.005786509235148593,0.007546332756610761,0.15063266354761204,0.013558813152133682,0.005282948615013733,-9.45935087643477e-05,-0.0003169491656160707
18.945,1.8763266896055693,16.650205191695303,6.4770749666198855,2.100806319639027,16.431326150854684,3.67250013555889,-1.1668827013827374,3.68205633175949,-0.4898122993119555,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.41014924814424,-1.4177228172203182,-0.5621161451118257,153.74306041710057,153.74306041710057,1.3858060310667193,-0.15563117698838397,-0.06273293537373034,1.3858060310667193,-0.15563117698838397,-0.06273293537373034,False,False,False,False,0.21521206338364385,-2.0,2.0,True,0.015210117790098343,0.005165211718636482,0.004721489069606827,0.005786107471339242,0.007544771462551683,0.14995643858807944,0.012671507921592728,0.006552603480031455,-6.474096527826438e-05,-0.00030711093663502955
18.95,1.8742033946876726,16.665146835692823,6.47523140249876,2.09497704938231,16.449753046854156,3.6700767779806793,-1.1648117363357247,3.6886896367752864,-0.47952939697783475,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.340199897540868,-1.383671792685697,-0.5546973431163069,153.79596455022556,153.79596455022556,1.3716613591875222,-0.17265714366087231,-0.0652617651784332,1.3716613591875222,-0.17265714366087231,-0.0652617651784332,False,False,False,False,0.2087552990949031,-2.0,2.0,True,0.01595832456045295,0.005226088375330903,0.004757547104334071,0.00578587551655806,0.007543266128602834,0.14931827042066792,0.011670925688546972,0.007874920956000354,-2.6085567794845366e-05,-0.00029430302017510225
18.955000000000002,1.8720834409794656,16.680116356757914,6.473429982933522,2.089158339120196,16.46821289869248,3.667704908668181,-1.162658684126972,3.695238648171464,-0.46921695733699614,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.2701414330912835,-1.3496446169591327,-0.5472809243556889,153.84660748702876,153.84660748702876,1.3574700224036989,-0.1811244662422653,-0.06644610225594669,1.3574700224036989,-0.1811244662422653,-0.06644610225594669,False,False,False,False,0.2087552990949031,-2.0,2.0,True,0.016703563604560275,0.005281709986438357,0.004800280959618974,0.005785864348830579,0.00754183488191825,0.14876601060418193,0.010578431865436638,0.009216251601444543,2.3993437917884164e-05,-0.00027727492656466965
18.96,1.8699668902271231,16.695113407613007,6.47167083948817,2.083350599666835,16.486705287121666,3.665384673249683,-1.1604233944899156,3.7017042519495753,-0.45887579582086124,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.19997504371135,-1.3156495418151222,-0.5398675601541822,153.8970306595044,153.8970306595044,1.3432756383248918,-0.1895412153480321,-0.06760023044757218,1.3432756383248918,-0.1895412153480321,-0.06760023044757218,False,False,False,False,0.2087552990949031,-2.0,2.0,True,0.017446038883613995,0.005331829490126757,0.004849672374403723,0.005786137197469723,0.007540501781082938,0.1482097595465555,0.009478113045394268,0.010532123139284966,8.770708896010464e-05,-0.00025492798198598033
18.965,1.8678538047226079,16.71013764015214,6.469954101457598,2.0775542425473694,16.505229794745066,3.663116215781269,-1.1581057339979008,3.7080863047143575,-0.44850573053405657,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.129701918015359,-1.281688436898248,-0.532457682275456,153.94723206650875,153.94723206650875,1.329078546041495,-0.19790829362701803,-0.06872402002740101,1.329078546041495,-0.19790829362701803,-0.06872402002740101,False,False,False,False,0.2087552990949031,-2.0,2.0,True,0.01818568552899869,0.005376525194863492,0.004905509827488693,0.0057867643384900734,0.007539294878848263,0.14763183335130023,0.008416183811357728,0.0117895109339146,0.00016575712824071204,-0.0002267379184819418
18.97,1.8657442471210572,16.725188705564907,6.46827989768514,2.0717696799211334,16.523786003448613,3.660899681249233,-1.1557055834595957,3.714384662525799,-0.4381065760419512,1.6882800094755543,1.7,4.911282519284924,4.330127018922193,2.5,0.0,-4.059323252992011,-1.2477631164601986,-0.5250517253645085,153.99720973439352,153.99720973439352,1.314879086524915,-0.20622641162990174,-0.06981737601901558,1.314879086524915,-0.20622641162990174,-0.06981737601901558,False,False,False,False,0.2087552990949031,-2.0,2.0,True,0.01892235495758436,0.005416094065543566,0.004967427149211501,0.005787817600120372,0.0075382440062140895,0.1470165227618285,0.007433688496831909,0.01295967933684592,0.00025808773645774824,-0.00019250934899835338
