sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign
v7d_strong_after_aligned_00,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,3.5071252528288737,23.824372623129932,5.803706527748828,4.440163918016703,87.21990622986208,2.0,0.25,156.69376215299482,34.84705530861026,8.308313122568666,"['attitude', 'joint_angle', 'uav_height']",0.2398,0.7510373443983402,0.34439834024896265,aligned,1
v7d_strong_after_aligned_01,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,3.4545334494849405,28.998029155802897,6.0779261054967755,4.0756064872357305,86.12180605384393,2.0,0.25,156.1863907632576,36.675271992696736,7.46507502699978,"['attitude', 'joint_angle', 'tip_height', 'uav_height']",0.2499,0.7510373443983402,0.3775933609958506,aligned,-1
v7d_strong_after_aligned_02,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,3.9177057219293787,32.996325783382886,6.506401811372522,5.04039443325344,85.76002838400628,2.0,0.25,156.59526505441096,38.82144821894065,8.040031791886717,"['attitude', 'tip_height', 'uav_height']",0.2299,0.7510373443983402,0.4024896265560166,aligned,1
v7d_strong_after_aligned_03,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,3.937734018051642,42.04640775705544,4.538952017277602,5.430762105268302,81.63039832894358,2.0,0.2500000000000001,158.56945897275196,30.319199348969832,8.091535311608355,"['attitude', 'joint_angle', 'tip_height', 'uav_height']",0.2296,0.7468879668049793,0.42323651452282157,aligned,-1
v7d_strong_after_aligned_04,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,3.8367484069890505,38.09685509067121,6.622442215916418,4.785913990645533,86.56792618263523,2.0,0.25,156.77903318847376,26.00023341711288,7.9943486966016515,"['attitude', 'joint_angle', 'uav_height']",0.2264,0.7510373443983402,0.36929460580912865,aligned,1
v7d_strong_after_aligned_05,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,3.7593332751766075,25.864868659194798,6.258687593047696,4.746755917965609,87.32093835913653,2.0,0.25,155.96624064853103,49.48226508853629,8.187296626266443,"['attitude', 'joint_angle', 'uav_height']",0.2437,0.7510373443983402,0.34439834024896265,aligned,-1
v7d_strong_after_aligned_06,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,3.5412307321264507,33.74941639436923,5.785300684191271,4.544088311446162,87.05647461723342,2.0,0.25,156.6941169479413,38.1245465839189,7.633258465162992,"['attitude', 'joint_angle', 'uav_height']",0.2266,0.7510373443983402,0.34854771784232363,aligned,1
v7d_strong_after_aligned_07,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,3.2939996559044795,38.0607721893542,6.203404950489313,3.531960323684194,82.6182686595867,2.0,0.25,156.27755890521132,38.83439408681293,7.240132981255533,"['attitude', 'joint_angle', 'tip_height', 'uav_height']",0.2259,0.7510373443983402,0.44813278008298757,aligned,-1
v7d_strong_after_opposed_00,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,4.321696265980917,57.62950300842927,7.472208613946106,6.17927707031994,86.79772517366251,2.0,0.25,158.9395948950057,23.813991852335885,11.418121354978815,"['attitude', 'joint_angle', 'uav_height']",0.2257,0.7510373443983402,0.34439834024896265,opposed,1
v7d_strong_after_opposed_01,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,4.842493465045461,41.81013792786276,7.647200999180701,7.222814426668836,81.51937162193411,2.0,0.25,154.75163223765816,34.40657659939594,8.733545270964939,"['attitude', 'joint_angle', 'uav_height']",0.2281,0.7510373443983402,0.44813278008298757,opposed,-1
v7d_strong_after_opposed_02,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,4.802603260777536,39.90148871054073,7.7684138839697985,7.118098218727427,81.97368411851716,2.0,0.25,156.08433579353456,26.068240004138538,15.48875321071485,"['attitude', 'joint_angle', 'tip_height', 'uav_height']",0.2247,0.7510373443983402,0.45643153526970953,opposed,1
v7d_strong_after_opposed_03,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,4.845868191862697,39.88365464573787,7.650535759565745,7.245626864495592,80.2884061918342,2.0,0.25,154.72270897152126,25.826762230128203,16.105884672625372,"['attitude', 'joint_angle', 'uav_height']",0.2238,0.7510373443983402,0.46473029045643155,opposed,-1
v7d_strong_after_opposed_04,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,4.592695008822416,36.69239013693651,7.843340873677602,6.686667292934825,83.99182937137093,2.0,0.25,155.20950209983883,26.14267096295534,8.90000072189193,"['attitude', 'joint_angle', 'uav_height']",0.2273,0.7510373443983402,0.45643153526970953,opposed,1
v7d_strong_after_opposed_05,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,4.469293949716098,27.13618291207204,7.340632106460937,6.505125631640435,81.6974436078367,2.0,0.25,154.65711378321373,40.13173195848887,6.737394652505001,"['attitude', 'joint_angle', 'uav_height']",0.2362,0.7510373443983402,0.44398340248962653,opposed,-1
v7d_strong_after_opposed_06,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,4.319165337386718,64.69446705539373,7.540727319016506,6.156660389285459,80.0519085061616,2.0,0.25,157.37995227557244,22.998003605747787,13.933686356891721,"['attitude', 'joint_angle', 'uav_height']",0.2245,0.7510373443983402,0.46473029045643155,opposed,1
v7d_strong_after_opposed_07,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,4.4377519592870875,25.631469296038883,7.208550964327498,6.484261837734334,84.75836592496283,2.0,0.25,154.0497276811552,32.802254152200575,7.428319758520211,"['attitude', 'joint_angle', 'uav_height']",0.2201,0.7510373443983402,0.3775933609958506,opposed,-1
v7d_strong_after_cross_00,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,4.8058798639353455,47.67402064120981,7.748801075524373,7.226834568560295,83.0576836928706,2.0,0.25,157.8633013955367,20.33513016569321,9.498431556586073,"['attitude', 'joint_angle', 'tip_height', 'uav_height']",0.2356,0.7510373443983402,0.43983402489626555,cross,1
v7d_strong_after_cross_01,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,5.123616350305622,60.91854653226794,7.767733441674508,7.811807579072514,82.16026590414882,2.0,0.25,157.21895673168484,21.719998932257155,13.0829773291967,"['attitude', 'joint_angle', 'uav_height']",0.2238,0.7510373443983402,0.4896265560165975,cross,-1
v7d_strong_after_cross_02,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,5.531860330126838,70.4974327193336,8.955056826441176,8.373843592453566,82.77326484645505,2.0,0.25,157.43515287639303,25.760307871350133,9.87357793252736,"['attitude', 'joint_angle', 'uav_height']",0.2203,0.7510373443983402,0.3775933609958506,cross,1
v7d_strong_after_cross_03,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,11.111566852388039,49.01850311037037,10.420128810025425,18.565998392112057,73.71783047047012,2.0,0.25,152.0276219795559,43.86362133568446,15.505204148438892,"['attitude', 'joint_angle', 'uav_height']",0.2254,0.7510373443983402,0.5518672199170125,cross,-1
v7d_strong_after_cross_04,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,6.266118034702093,82.08279115291451,6.748422759280855,10.383488961190443,82.4963204592809,2.0,0.25,157.48555404634834,25.250481303358992,8.598570020933526,"['attitude', 'joint_angle', 'uav_height']",0.2328,0.7510373443983402,0.42323651452282157,cross,1
v7d_strong_after_cross_05,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,True,False,,4.029105317802811,19.028212202272453,4.8595198691301285,6.172155743619936,80.556761961809,2.0,0.25,158.8526962497353,5.308624454065606,6.144559308022401,[],0.2218,0.7302904564315352,0.5103734439834025,cross,-1
v7d_strong_after_cross_06,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,False,False,,6.3702235765715285,89.56614632484752,7.140197892735667,10.556102614691332,86.10011125491724,2.0,0.25,157.58351118174775,20.46189592055786,15.08565472913651,"['attitude', 'joint_angle', 'uav_height']",0.2238,0.7510373443983402,0.3651452282157676,cross,1
v7d_strong_after_cross_07,STRONG_NEAR_SIMULTANEOUS,xu2025,xu_v8_115,True,False,,5.168486343351719,20.970499510421938,5.433582773365584,8.085104526606944,78.82800819147523,2.0,0.25,158.6386999906885,5.384583727393828,6.81740428258627,[],0.2226,0.7510373443983402,0.5352697095435685,cross,-1
v7d_stochastic_8000,NORMAL_STOCHASTIC,xu2025,xu_v8_115,False,False,,5.745626270679641,71.88727538470837,7.874195837758883,8.047129976077533,100.84181044266884,2.0,0.25,159.26541551780036,46.95617905820132,7.370734809098991,"['attitude', 'joint_angle', 'tip_height', 'uav_height']",0.2243,0.8879668049792531,0.5394190871369294,aligned,1
v7d_stochastic_8001,NORMAL_STOCHASTIC,xu2025,xu_v8_115,False,False,,6.988605187792447,103.62741922834402,10.227228236987107,10.25447144325495,93.17465550241793,2.0,0.25,157.97822399491386,21.444068380533107,8.382121581924752,"['attitude', 'joint_angle', 'uav_height']",0.2379,0.8547717842323651,0.35684647302904565,opposed,-1
v7d_stochastic_8002,NORMAL_STOCHASTIC,xu2025,xu_v8_115,False,False,,5.101198162384467,19.670940620083165,6.8671626173007505,6.867679424682446,105.6377459518769,2.0,0.25,157.36720169645127,24.247766817381375,6.590196671504753,"['attitude', 'joint_angle', 'uav_height']",0.2246,0.8879668049792531,0.3775933609958506,opposed,1
v7d_stochastic_8003,NORMAL_STOCHASTIC,xu2025,xu_v8_115,False,False,,6.555294333202069,51.85978516578788,10.082914603199566,9.983437220270027,100.59210969978277,2.0,0.25,156.99674113828502,21.464511249227577,10.373208623230903,"['attitude', 'joint_angle', 'uav_height']",0.2229,0.8547717842323651,0.34439834024896265,cross,-1
v7d_stochastic_8004,NORMAL_STOCHASTIC,xu2025,xu_v8_115,False,False,,9.423088978645074,79.89240112580862,14.099646827103788,14.760150547310436,105.85629222083185,2.0,0.25,159.33337608898057,24.764517965439286,11.560585672274044,"['attitude', 'joint_angle', 'uav_height']",0.2256,0.9294605809128631,0.3278008298755187,cross,1
v7d_stochastic_8005,NORMAL_STOCHASTIC,xu2025,xu_v8_115,False,False,,3.5260458735182714,50.652977480000565,7.449523263910577,3.1750494042942288,93.22584286294095,2.0,0.25,158.65297363237073,53.453899519391555,8.447131019308122,"['attitude', 'joint_angle', 'tip_height', 'uav_height']",0.2266,0.8755186721991701,0.4190871369294606,opposed,-1
