time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
3.505,0.06789396672159356,0.5011662741258043,0.037657250035691245,0.025006701256147054,0.0,1.2318547425813013e-05,0.14286772931074757,0.0,0.38811266447181436,0.07500000000000001,0.0,0.38999999999999996,0.0,129.88498357735043,0.04876220028374847,True,True,False
3.5100000000000002,0.06770694590257201,0.5021874921771972,0.03723059590753813,0.025006701256147054,0.0,1.2318547425813013e-05,0.14268054060814142,0.0,0.3881092471225635,0.07500000000000001,0.0,0.38999999999999996,0.0,129.88498284960045,0.04875634198794091,True,True,False
3.515,0.06752205255373367,0.5031612589709671,0.03680327848103675,0.025006701256147054,0.0,1.2318547425813013e-05,0.14249548404405823,0.0,0.38810600561578085,0.07500000000000001,0.0,0.38999999999999996,0.0,129.88498198964598,0.04874481397813886,True,True,False
3.52,0.06733929010835296,0.5040885486942925,0.0363753303009439,0.025006701256147054,0.0,1.2318547425813013e-05,0.14231256302290507,0.0,0.38810293606213264,0.07500000000000001,0.0,0.38999999999999996,0.0,129.88498100224237,0.0487277620587845,True,True,False
3.525,0.06715866183320139,0.5049703233034324,0.03594678368219728,0.025006701256147054,0.0,1.2318547425813013e-05,0.1421317807807424,0.0,0.3881000346233029,0.07500000000000001,0.0,0.38999999999999996,0.0,129.8849798920853,0.048705310469242716,True,True,False
3.5300000000000002,0.06698017083082693,0.5058075346175016,0.03551767044449323,0.025006701256147054,0.0,1.2318547425813013e-05,0.14195314038741622,0.0,0.3880972975036293,0.07500000000000001,0.0,0.38999999999999996,0.0,129.8849786638097,0.048677563155016194,True,True,False
3.535,0.06680382004297344,0.5066011259731459,0.03508802168215963,0.025006701256147054,0.0,1.2318547425813013e-05,0.14177664474987306,0.0,0.38809472094347475,0.07500000000000001,0.0,0.38999999999999996,0.0,129.88497732198883,0.048644605015955036,True,True,False
3.54,0.06662961225493476,0.5073520332860965,0.03465786757207979,0.025006701256147054,0.0,1.2318547425813013e-05,0.141602296616471,0.0,0.3880923012149269,0.07500000000000001,0.0,0.38999999999999996,0.0,129.8849758711339,0.04860650315730306,True,True,False
3.545,0.06645755010065582,0.508061185477979,0.03422723721968174,0.025006701256147054,0.0,1.2318547425813013e-05,0.1414300985821067,0.0,0.38809003462000885,0.07500000000000001,0.0,0.38999999999999996,0.0,129.8849743156938,0.0485633081562015,True,True,False
3.5500000000000003,0.06628763606840136,0.5087295042751162,0.033796158541426057,0.02377674337456534,0.0,-9.733513316770373e-06,0.14126005309397963,0.0,0.38808791749136495,0.07500000000000001,0.0,0.38999999999999996,0.0,129.884632057802,0.05045386687746015,True,True,False
