time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
7.1450000000000005,8.210851230805449e-05,0.0,0.00015529594133946266,-1.729286856904193e-17,2.524108276411994e-14,0.0001637703882318979,0.22499999999999998,-1.2827366292124297e-14,0.5399178914876919,0.225,0.0,0.5399999999999999,0.0,129.88656831994018,1.5645829190105067e-14,True,True,False
7.15,8.132998547216719e-05,0.0,0.00015611479328060836,-4.024067573235107e-18,2.550738539569255e-14,9.769292963082428e-05,0.22499999999999998,-1.2897971137372997e-14,0.5399186700145278,0.225,0.0,0.5399999999999999,0.0,129.8856934543883,1.5811646476426288e-14,True,True,False
7.155,8.054819034308824e-05,0.0,0.00015660325792874851,-4.024067573235107e-18,2.550738539569255e-14,9.769292963082428e-05,0.22499999999999998,-1.2968567283861428e-14,0.5399194518096568,0.225,0.0,0.5399999999999999,0.0,129.8856934543883,1.5692611365209303e-14,True,True,False
7.16,7.97639528929972e-05,0.0,0.0001570917225768886,-4.024067573235107e-18,2.550738539569255e-14,9.769292963082428e-05,0.22499999999999998,-1.303914948260765e-14,0.5399202360471069,0.225,0.0,0.5399999999999999,0.0,129.8856934543883,1.5573341517384997e-14,True,True,False
7.165,7.897727311834135e-05,0.0,0.00015758018722502869,-4.024067573235107e-18,2.550738539569255e-14,9.769292963082428e-05,0.22499999999999998,-1.3109717733611663e-14,0.5399210227268816,0.225,0.0,0.5399999999999999,0.0,129.8856934543883,1.5453836932953352e-14,True,True,False
7.17,7.818815102000887e-05,0.0,0.0001580686518731688,-4.024067573235107e-18,2.550738539569255e-14,9.769292963082428e-05,0.22499999999999998,-1.3180272036873467e-14,0.5399218118489799,0.225,0.0,0.5399999999999999,0.0,129.8856934543883,1.533409761191439e-14,True,True,False
7.175,7.739658659977611e-05,0.0,0.00015855711652130897,-4.024067573235107e-18,2.550738539569255e-14,9.769292963082428e-05,0.22499999999999998,-1.3250812392393062e-14,0.5399226034134001,0.225,0.0,0.5399999999999999,0.0,129.8856934543883,1.5214123554268094e-14,True,True,False
7.18,7.660257985497854e-05,0.0,0.00015904558116944904,-4.024067573235107e-18,2.550738539569255e-14,9.769292963082428e-05,0.22499999999999998,-1.3321334019203594e-14,0.539923397420145,0.225,0.0,0.5399999999999999,0.0,129.8856934543883,1.5094583138315432e-14,True,True,False
7.1850000000000005,7.580613078739251e-05,0.0,0.0001595340458175891,-4.024067573235107e-18,2.550738539569255e-14,9.769292963082428e-05,0.22499999999999998,-1.3391828090904725e-14,0.5399241938692125,0.225,0.0,0.5399999999999999,0.0,129.8856934543883,1.4974949798812036e-14,True,True,False
7.19,7.500723939701803e-05,0.0,0.00016002251046572924,-4.024067573235107e-18,2.550738539569255e-14,9.769292963082428e-05,0.22499999999999998,-1.346229442361311e-14,0.5399249927606029,0.225,0.0,0.5399999999999999,0.0,129.8856934543883,1.4855090593409616e-14,True,True,False
