method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate
satc_native_004,satc_native,32,1.0,0.15625,0,1.1595168448022408,1.7861298644049899,1.9576301977088058,0.5772637539763296,1.1826495889176503,1.3276042391012886,0.04393248835017859,0.34190797556576946,0.9047092863998043,0.6713590808856231,3.415,1.0732458344981581,1.634539687772685,16881.80628716749,0.0,0.0,2.6073468951688774,0.09596635329861111,0.147305,0.2994813500000008,16.5079,9.114583333333332e-05
satc_native_012,satc_native,32,1.0,0.15625,0,1.1595168448022408,1.7861298644049899,1.9576301977088058,0.5772637539763296,1.1826495889176503,1.3276042391012886,0.04393248835017859,0.34190797556576946,0.9047092863998043,0.6713590808856231,3.415,1.0732458344981581,1.634539687772685,16881.80628716749,0.0,0.0,2.6073468951688774,0.08973628255208332,0.13627999999999998,0.174408,16.868199999999998,9.114583333333332e-05
satc_native_005,satc_native,32,1.0,0.15625,0,1.2463777108290228,1.7558737450332584,1.9515142719342167,0.5679436721459289,1.1081535075476032,1.266480829100551,0.05163335797743315,0.36229204982363555,0.9245079002470169,0.7298697655881334,3.19,1.0807558305167666,1.6224040445300658,16883.212011580676,0.0,0.0,2.997787286913727,0.09520432291666667,0.14504999999999998,0.19031969000000018,15.621699999999999,8.680555555555555e-05
satc_native_013,satc_native,32,1.0,0.15625,0,1.2463777108290228,1.7558737450332584,1.9515142719342167,0.5679436721459289,1.1081535075476032,1.266480829100551,0.05163335797743315,0.36229204982363555,0.9245079002470169,0.7298697655881334,3.19,1.0807558305167666,1.6224040445300658,16883.212011580676,0.0,0.0,2.997787286913727,0.09367825043402778,0.14596449999999994,0.19210524000000007,22.1982,8.680555555555555e-05
satc_native_000,satc_native,32,1.0,0.15625,0,1.232128314782257,1.9159913505129256,2.084837013322837,0.6054050119566554,1.273632741599514,1.413121404980014,0.04313365526680625,0.3295916109459891,0.883042478264379,0.6699328308315255,3.31,1.1370429989834616,1.7667921866852914,16880.79916867296,0.0,0.0,2.300242657055549,0.09817367708333333,0.14611999999999992,0.1867198300000001,17.7713,9.114583333333332e-05
satc_native_008,satc_native,32,1.0,0.15625,0,1.232128314782257,1.9159913505129256,2.084837013322837,0.6054050119566554,1.273632741599514,1.413121404980014,0.04313365526680625,0.3295916109459891,0.883042478264379,0.6699328308315255,3.31,1.1370429989834616,1.7667921866852914,16880.79916867296,0.0,0.0,2.300242657055549,0.09143229947916666,0.14067,0.1784850000000001,16.6653,9.114583333333332e-05
satc_native_001,satc_native,32,1.0,0.125,0,1.337158362606413,1.8512598830121436,2.083765628127617,0.5917095777935398,1.1890886488640544,1.3421821799925886,0.050865872228327724,0.3490354978341542,0.8866038088034573,0.7357219859562226,3.16,1.1473790884772315,1.6987185909627986,16883.70527108502,0.0,0.0,2.9162642214837327,0.09374852864583333,0.14753999999999992,0.1921648300000001,18.5164,9.114583333333332e-05
satc_native_009,satc_native,32,1.0,0.125,0,1.337158362606413,1.8512598830121436,2.083765628127617,0.5917095777935398,1.1890886488640544,1.3421821799925886,0.050865872228327724,0.3490354978341542,0.8866038088034573,0.7357219859562226,3.16,1.1473790884772315,1.6987185909627986,16883.70527108502,0.0,0.0,2.9162642214837327,0.09132070008680555,0.14661999999999992,0.19146627000000022,21.2589,9.54861111111111e-05
satc_native_002,satc_native,32,0.96875,0.125,1,1.462697937084913,1.974731823366096,2.111348292535208,0.5818038654054247,1.11326907013544,1.2808753132991604,0.0601092774168565,0.37051157067967305,0.9030852117740511,0.8027411649601367,3.3150000000000004,1.1718860098845696,1.7335803472524172,16883.460585869394,0.0,0.0,4.031442308041528,0.09589648133680556,0.14809999999999998,0.19299669000000005,19.488699999999998,0.0001171875
satc_native_010,satc_native,32,0.96875,0.125,1,1.462697937084913,1.974731823366096,2.111348292535208,0.5818038654054247,1.11326907013544,1.2808753132991604,0.0601092774168565,0.37051157067967305,0.9030852117740511,0.8027411649601367,3.3150000000000004,1.1718860098845696,1.7335803472524172,16883.460585869394,0.0,0.0,4.031442308041528,0.09026463715277777,0.13429999999999992,0.17114031000000005,16.0822,9.114583333333332e-05
