sample_id,scenario,wind_kind,wind_speed_m_s,seed,sample_count,safe,safe_sample_count,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_ax_m_s2,max_abs_ay_m_s2,max_abs_az_m_s2,max_ax_step_m_s2,max_ay_step_m_s2,max_az_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,solve_time_mean_ms,solve_time_p95_ms,safety_failure_reasons,controller,candidate_id,method,stage2_rank
calm_axis_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.0300000000000002,0.050267826150542906,0.4249091399521896,0.1388747646862444,7.552783292812721e-05,0.8763345135520504,1.1379075449627085,2.3153560343440583e-14,0.14567294262335373,0.25,2.279780065355233e-14,0.06068577707634549,131.3700004163061,1.2137165091929718,0.17177187928463034,0.025439941690962097,0.0404,[],task_lqr,task_lqr_025,task_lqr,1
calm_axis_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.02,0.05024289373098304,0.42090230572305615,0.1385847667217412,6.255513786868156e-05,0.8844340371951306,1.130870431895629,2.2438855240361678e-14,0.14615416301200782,0.25,2.279461493024993e-14,0.060685777076345475,131.73830999427807,1.2248843716274458,0.17124933531074574,0.027286130778842146,0.0414,[],task_lqr,task_lqr_025,task_lqr,1
calm_axis_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,1.9700000000000002,0.05583893313355384,5.031338329705589e-05,0.15679603076733512,3.8959020660583495e-06,0.9946923507127076,0.00013060195788396767,1.3962168012962615,0.014517165209223136,4.756036784674761e-05,0.2500000000000001,0.0030242256344247473,129.95633445028184,1.618326962858669,0.020974154802741632,0.03025564348188255,0.0396,[],task_lqr,task_lqr_025,task_lqr,1
calm_axis_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,1.9700000000000002,0.05583893313355383,5.031338329705589e-05,0.1567960307673351,3.8959020660583495e-06,0.9946923507127058,0.00013060195788556616,1.3962168012962586,0.014517165209226007,4.756036784669478e-05,0.25,0.0030242256344248826,129.95633445028187,1.6183269628586663,0.020974154802741608,0.02967122032486464,0.0403,[],task_lqr,task_lqr_025,task_lqr,1
calm_axis_04,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.75,0.02861957048426612,0.00365320365760082,0.02761210538119261,2.0219795137710503e-08,0.21624543867904786,0.04264705585091771,4.580743420640047e-15,1.0000000000000009,0.04264705585091768,4.9365031105282985e-15,0.25,143.12435399950377,0.0655576973890459,0.0016168001038231418,0.024484839650145772,0.0364,[],task_lqr,task_lqr_025,task_lqr,1
calm_axis_05,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.75,0.02861867910241167,0.0032975113940400787,0.027606118659505397,1.7487969998865798e-08,0.21620802793831306,0.04264705585091778,5.29544852371897e-15,0.9999999999999991,0.042647055850917805,4.939688833830719e-15,0.25,137.35911546268923,0.0689863807158719,0.0015865702812098345,0.028952852977925863,0.0394,[],task_lqr,task_lqr_025,task_lqr,1
calm_face_diagonal_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.12,0.07086846307369361,0.39495424882130037,0.1962376791921007,9.393203590795113e-05,1.2858822115799284,1.0660091491981891,1.2500000000000004,0.12858298269529395,0.25,0.2500000000000001,0.057215099323004746,131.11230672621483,1.3285678296903904,0.16799239132032004,0.026752977925864226,0.038,[],task_lqr,task_lqr_025,task_lqr,1
calm_face_diagonal_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.115,0.07071169992777826,0.3916896741574209,0.19573871966388126,9.747358735056934e-05,1.2911191101594477,1.0284836604861491,1.2499999999999996,0.14826891335231915,0.25,0.25,0.057215099323004726,131.62689876300783,1.3107064113562625,0.16582998199056043,0.02737488546438984,0.039,[],task_lqr,task_lqr_025,task_lqr,1
calm_face_diagonal_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.12,0.07086846307369378,0.39495424882128966,0.1962376791921006,9.39320359079356e-05,1.285882211579868,1.0660091491981945,1.2499999999999996,0.12858298269529192,0.25,0.25,0.05721509932301935,131.1123067262148,1.3285678296904189,0.16799239132032037,0.02694643898375677,0.0394,[],task_lqr,task_lqr_025,task_lqr,1
calm_face_diagonal_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.115,0.07071169992777844,0.3916896741574205,0.19573871966388123,9.747358735055335e-05,1.2911191101593795,1.0284836604861485,1.2500000000000004,0.14826891335231557,0.25,0.2500000000000001,0.05721509932301933,131.62689876300777,1.3107064113562916,0.16582998199056032,0.0284402332361516,0.0407,[],task_lqr,task_lqr_025,task_lqr,1
