sample_id,scenario,wind_kind,wind_speed_m_s,seed,sample_count,safe,safe_sample_count,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_ax_m_s2,max_abs_ay_m_s2,max_abs_az_m_s2,max_ax_step_m_s2,max_ay_step_m_s2,max_az_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,solve_time_mean_ms,solve_time_p95_ms,safety_failure_reasons,controller,candidate_id,method,stage2_rank
calm_axis_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.145,0.06597152288798473,0.9259234139260137,0.13939132639111534,0.0293275249341404,0.20471309152777506,1.0,9.167522122162989e-15,0.012112357891773815,0.25,9.167522122162927e-15,0.005068796924186632,130.0292768890202,0.9750661407416588,0.13670575000958246,0.02591970012494794,0.0417,[],full_lqr,full_lqr_032,full_lqr,1
calm_axis_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.145,0.06596040043260613,0.9259234139260186,0.1392136975438774,0.02932501229095828,0.20471309152777514,1.0,9.167522122162856e-15,0.01211235789179949,0.25,9.167522122162918e-15,0.005068796924189732,130.0292768890205,0.9750661407416595,0.13670575000958254,0.028443023740108285,0.0386,[],full_lqr,full_lqr_032,full_lqr,1
calm_axis_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.39,0.05771633959210706,0.0,0.15830846805873974,0.001343815883519068,0.5673968332694412,6.238749978931973e-15,1.2111921212628516,0.007613100405264423,6.23874997893197e-15,0.25,0.0009272574465869852,129.92720267192504,1.24514156412089,0.017574916721548227,0.02475930862140775,0.0381,[],full_lqr,full_lqr_032,full_lqr,1
calm_axis_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.39,0.057716339592107056,0.0,0.15830846805873974,0.0013438158835190686,0.5673968332694408,6.23874997893197e-15,1.2111921212628514,0.007613100405265337,6.238749978931973e-15,0.25,0.0009272574465860562,129.92720267192504,1.24514156412089,0.017574916721548227,0.027762598917117864,0.0361,[],full_lqr,full_lqr_032,full_lqr,1
calm_axis_04,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.8700000000000001,0.02781384882526069,0.0,0.01139376502822076,2.2263686795816293e-11,0.21617449326943966,2.37576847908594e-14,3.321593531706037e-14,1.000000000000001,2.3757684790859404e-14,8.106063509004805e-15,0.25,143.1244,3.65209994985978e-14,1.922850314370146e-15,0.022175052061640985,0.0342,[],full_lqr,full_lqr_032,full_lqr,1
calm_axis_05,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.8700000000000001,0.027813848825260817,0.0,0.011393765028221675,2.2263738274095358e-11,0.2161744932694403,2.375768479085948e-14,3.513341404032223e-14,0.9999999999999989,2.3757684790859476e-14,8.19319340097449e-15,0.25,134.33616390994254,3.8431093614633356e-14,1.9093275765805667e-15,0.029182673885880882,0.0357,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.045,0.0825757328754955,0.8734771641437693,0.1985383280174473,0.027777235258780984,0.6946994286629069,1.0,1.1154649597911435,0.011596471285669615,0.25,0.25,0.004757079566317697,130.00530995332687,1.1439672131301002,0.13210660864806203,0.025731195335276968,0.0365,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.045,0.08251081571924343,0.8734771641437689,0.19822413266701094,0.027774890404073525,0.6946994286629085,1.0,1.1154649597911421,0.011596471285692234,0.25,0.25,0.004757079566327837,130.0053099533266,1.1439672131301015,0.13210660864806267,0.023925531028738026,0.034,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.045,0.08257573287549559,0.8734771641437727,0.1985383280174474,0.02777723525878117,0.6946994286629017,1.0,1.1154649597911295,0.01159647128567515,0.25,0.25,0.004757079566317493,130.00530995332682,1.1439672131300862,0.13210660864806284,0.027267263640149943,0.0366,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.045,0.08251081571924351,0.8734771641437712,0.19822413266701105,0.02777489040407366,0.6946994286629037,1.0,1.1154649597911286,0.011596471285691298,0.25,0.25,0.004757079566327531,130.00530995332662,1.1439672131300869,0.13210660864806276,0.028728404831320282,0.0364,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_04,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.045,0.0673104449835727,0.8628453480150039,0.1325636759014087,0.0272259069559042,0.3696360502592451,1.0,1.1846232265850402e-14,1.000000000000001,0.25,1.184623226585034e-14,0.25,143.23691159748176,0.8892946138756765,0.12007557913708654,0.024263098708871306,0.0332,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_05,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.055,0.06782182441612408,0.8954458649293405,0.13095170053143748,0.028515010493309647,0.40567462450121033,1.0,1.1846232265850279e-14,0.9999999999999989,0.25,1.184623226585034e-14,0.25,134.17258741937633,1.076207427330436,0.14700372153793564,0.027506413994169098,0.0337,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_06,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.055,0.06772262985232606,0.895445864929341,0.12996103183301402,0.028517404820198808,0.4056746245011948,1.0,5.440213225507301e-15,0.9999999999999989,0.25,5.44021322550724e-15,0.25,134.17258741937596,1.076207427330436,0.1470037215379353,0.025025655976676386,0.0347,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_07,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.040000000000001,0.06719903297028626,0.8628453480150078,0.13136095778582968,0.027223761824996442,0.3696360502592438,1.0,5.440213225507177e-15,1.000000000000001,0.25,5.440213225507238e-15,0.25,143.23691159748176,0.8892946138756694,0.12007557913709009,0.026860016659725112,0.0345,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_08,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.345,0.060514464034812386,0.0,0.14988558317499776,0.0012528726939941962,0.6879313822484276,1.6517010139571917e-14,1.1470444384111342,1.000000000000001,1.651701013957192e-14,0.25,0.25,143.13091034749806,1.091456886478026,0.016215230877674416,0.024220907955018744,0.0323,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_09,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.3200000000000003,0.06007453106123573,0.0,0.14895877118641862,0.0012741847669228126,0.704226257850549,1.651701013957199e-14,1.0717405174099486,0.9999999999999989,1.6517010139571987e-14,0.25,0.25,133.980723069718,1.1936016943913668,0.016978991417081563,0.025184673052894627,0.0336,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_10,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.3200000000000003,0.06007453106123574,0.0,0.14895877118641868,0.0012741847669227977,0.7042262578505463,2.828090991618593e-14,1.071740517409944,0.9999999999999989,2.8280909916185928e-14,0.25,0.25,133.98072306971798,1.1936016943913605,0.016978991417081576,0.02413677634319034,0.0355,[],full_lqr,full_lqr_032,full_lqr,1
calm_face_diagonal_11,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.345,0.0605144640348124,0.0,0.1498855831749978,0.0012528726939941958,0.6879313822484241,2.8280909916185858e-14,1.1470444384111294,1.000000000000001,2.828090991618586e-14,0.25,0.25,143.13091034749806,1.0914568864780219,0.01621523087767441,0.02131411911703457,0.0314,[],full_lqr,full_lqr_032,full_lqr,1
constant_1.5_axis_00,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,7.120000000000001,0.06873792208300433,0.9346543665865735,0.14039245729378827,0.04197428146222577,0.23690492045773207,0.9562973750432786,9.019320345231943e-15,0.01054495712932303,0.25,9.172033186160592e-15,0.004039679371023064,130.01457732548852,0.9856041182340256,0.13277687411364777,0.02511924198250729,0.0339,[],full_lqr,full_lqr_032,full_lqr,1
constant_1.5_axis_01,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,5.395,0.07367353356555985,0.7306992174018523,0.18609774141960614,0.03777897299026664,0.2268663807419208,1.0437026249567214,9.315723899093902e-15,0.01339103872410313,0.25000000000000006,9.163011058165253e-15,0.006063596156467205,130.04432954589691,0.9633729371260584,0.13151433292030487,0.02373752603082049,0.0338,[],full_lqr,full_lqr_032,full_lqr,1
constant_1.5_axis_02,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,3.4299999999999997,0.06761457252494509,0.20156485974953903,0.1651821121870655,0.03587669346125668,0.6006994665893703,0.09748325254185644,1.2112613006621835,0.007565546415701853,0.029409781231508926,0.25,0.0009169431788765368,129.92889379654193,1.2451876584381003,0.02185841341980423,0.026568263223656814,0.0345,[],full_lqr,full_lqr_032,full_lqr,1
constant_1.5_axis_03,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,3.4299999999999997,0.06761457252494503,0.2015648597495368,0.16518211218706538,0.03587669346125664,0.6006994665893705,0.09748325254185644,1.211261300662183,0.007565546415699025,0.029409781231508926,0.25000000000000006,0.0009169431788767345,129.92889379654193,1.2451876584381,0.02185841341980423,0.022942274052478135,0.0324,[],full_lqr,full_lqr_032,full_lqr,1
constant_1.5_axis_04,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,0.8700000000000001,0.044915436257939735,0.20377279044166718,0.15392736300981896,0.035477003608846515,0.24961877829147425,0.09748325254185644,3.249102850946582e-15,1.0002100024123612,0.029409781231508926,3.4018156918752317e-15,0.25,143.12805377957426,0.07126682425957427,0.02185841341980423,0.0287932944606414,0.0342,[],full_lqr,full_lqr_032,full_lqr,1
