candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,parameters
pid_y_01,4,4,0,1.0,0.0,,2.4055384965980005,0.21811502179734124,4.781822450596289,7.081177371227687,0.008676829790920262,"{'candidate_id': 'pid_y_01', 'kp': [0.0, 0.05, 0.0], 'kd': [0.0, 0.25, 0.0], 'ki': [0.0, 0.05, 0.0], 'screen_axis': 'y'}"
pid_y_02,4,4,0,1.0,0.0,,2.327649863107252,0.21811512327565857,4.78271716665912,7.077902656458452,0.0005008643075902588,"{'candidate_id': 'pid_y_02', 'kp': [0.0, 0.05, 0.0], 'kd': [0.0, 0.5, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'y'}"
pid_y_03,4,4,2,1.0,0.5,4.84,2.3542283397474337,0.21811514377716504,4.781850775885306,7.079154245885642,0.0027760291465949005,"{'candidate_id': 'pid_y_03', 'kp': [0.0, 0.05, 0.0], 'kd': [0.0, 0.5, 0.0], 'ki': [0.0, 0.05, 0.0], 'screen_axis': 'y'}"
pid_y_04,4,4,0,1.0,0.0,,2.337184207051661,0.21811511572993975,4.782834921356453,7.078455726976783,0.005558687036015191,"{'candidate_id': 'pid_y_04', 'kp': [0.0, 0.05, 0.0], 'kd': [0.0, 1.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'y'}"
pid_y_05,4,4,2,1.0,0.5,4.9350000000000005,2.319196055083525,0.21811527417674498,4.781920395709119,7.077628410737221,0.012065284468522708,"{'candidate_id': 'pid_y_05', 'kp': [0.0, 0.05, 0.0], 'kd': [0.0, 1.0, 0.0], 'ki': [0.0, 0.05, 0.0], 'screen_axis': 'y'}"
pid_y_06,4,4,2,1.0,0.5,4.875,2.323085430080849,0.218115125087317,4.781888508747201,7.077851643207032,0.0015355252914632453,"{'candidate_id': 'pid_y_06', 'kp': [0.0, 0.1, 0.0], 'kd': [0.0, 0.25, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'y'}"
pid_y_07,4,4,0,1.0,0.0,,2.4071234743241243,0.2181148690994008,4.781744204488256,7.083732641304284,0.01749939354463348,"{'candidate_id': 'pid_y_07', 'kp': [0.0, 0.1, 0.0], 'kd': [0.0, 0.25, 0.0], 'ki': [0.0, 0.05, 0.0], 'screen_axis': 'y'}"
pid_y_08,4,4,2,1.0,0.5,4.955,2.321768649508365,0.21811517622547444,4.781938403307904,7.077563302448625,0.0031751876103985836,"{'candidate_id': 'pid_y_08', 'kp': [0.0, 0.1, 0.0], 'kd': [0.0, 0.5, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'y'}"
pid_y_09,4,4,0,1.0,0.0,,2.352123792024591,0.21811521039139242,4.781721839283084,7.080206361666382,0.008123149832910743,"{'candidate_id': 'pid_y_09', 'kp': [0.0, 0.1, 0.0], 'kd': [0.0, 0.5, 0.0], 'ki': [0.0, 0.05, 0.0], 'screen_axis': 'y'}"
pid_y_10,4,4,2,1.0,0.5,5.28,2.3341628984645237,0.21811505090104863,4.782062328351733,7.078175562298739,0.02853499652054209,"{'candidate_id': 'pid_y_10', 'kp': [0.0, 0.1, 0.0], 'kd': [0.0, 1.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'y'}"
