candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,parameters
cascaded_relative_pid_000,13,11,3,0.8461538461538461,0.23076923076923078,2.355,0.6343199761085828,0.7457800473282111,0.6818760514050044,2.488986914594863,9.41020333999953,"{'candidate_id': 'cascaded_relative_pid_000', 'uav_kp': [0.7483239888387798, 0.7150398159605748, 1.0676621534044333], 'uav_kd': [2.452387671440202, 5.996697368063697, 3.5674520128844005], 'uav_ki': [0.21915303715804343, 0.21113526072188005, 0.09056774051178555], 'tip_kp': [0.7650076823037186, 0.4241943901328365, 0.40441440414796836], 'tip_kd': [0.36045789176416987, 0.6309954874169992, 0.15385726053552315], 'correction_limit_m': [0.033148100150878775, 0.09266846346446019, 0.05899786131263279], 'correction_slew_m_per_update': 0.0463673704547239, 'integral_limit': 0.18393531700664098, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_001,13,10,5,0.7692307692307693,0.38461538461538464,1.2349999999999999,1.0758146787608625,0.9151967593346775,2.004639850478967,6.03856075462569,11.816150534054337,"{'candidate_id': 'cascaded_relative_pid_001', 'uav_kp': [0.8774549940633416, 1.100275022419066, 2.0972392247812897], 'uav_kd': [3.3133789605881665, 4.169576806987397, 2.1489892596606466], 'uav_ki': [0.0856198468226079, 0.19105410566240136, 0.21240520249438988], 'tip_kp': [0.4116834944094572, 0.5913485984065538, 0.6017901754045727], 'tip_kd': [0.058157744099933205, 0.3682690185212049, 0.26252515106839697], 'correction_limit_m': [0.08974882382114473, 0.13860095625357652, 0.07156245453000562], 'correction_slew_m_per_update': 0.0737332034260315, 'integral_limit': 0.3350013330723156, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_002,13,13,5,1.0,0.38461538461538464,1.0499999999999998,0.3016042914829048,0.8608711644459182,0.5165488082743087,1.086397077022992,6.1461397219747855,"{'candidate_id': 'cascaded_relative_pid_002', 'uav_kp': [0.64042307622286, 0.5970320259848855, 4.637341150105404], 'uav_kd': [4.064256576555634, 4.035886198031137, 2.377308874099486], 'uav_ki': [0.09962010063285603, 0.12340546329515995, 0.15266708370903434], 'tip_kp': [0.7366933637899066, 0.08701603302947296, 0.5381043925431767], 'tip_kd': [0.26068030377988, 0.41786747145051306, 0.3139113955766885], 'correction_limit_m': [0.11517435370260358, 0.025407360685970482, 0.11492022895385255], 'correction_slew_m_per_update': 0.018097962387909075, 'integral_limit': 0.2789878538343099, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_003,13,13,5,1.0,0.38461538461538464,1.645,0.8579457112816549,0.5631561190783443,0.910115604073191,4.078555614602829,9.858064916751962,"{'candidate_id': 'cascaded_relative_pid_003', 'uav_kp': [0.4045677571266912, 0.8214744049188478, 2.295230237135888], 'uav_kd': [1.5853526929715245, 5.9543990622537954, 5.094535960552912], 'uav_ki': [0.2934739888371617, 0.28061964113150273, 0.032980988727299675], 'tip_kp': [0.14623732957137597, 0.7828599060014847, 0.6129024594577122], 'tip_kd': [0.384420050448763, 0.026425244385578164, 0.276793359270237], 'correction_limit_m': [0.10501988431641798, 0.08719938830402561, 0.046510519930084565], 'correction_slew_m_per_update': 0.07560825441971607, 'integral_limit': 0.38880444840529493, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_004,13,13,3,1.0,0.23076923076923078,0.97,0.7276326424836572,1.4344646421677727,1.7080722299395066,3.647163289272761,9.03302064364766,"{'candidate_id': 'cascaded_relative_pid_004', 'uav_kp': [1.3318845615936967, 0.9293586923919124, 3.8282698293942143], 'uav_kd': [1.5357428682109548, 2.8366166596549984, 4.402467230190215], 'uav_ki': [0.07161087816112907, 0.27147000768984975, 0.04795852006855547], 'tip_kp': [0.548535728503252, 0.5750786924860248, 0.39164964382370504], 'tip_kd': [0.34170671247744505, 0.38724869477199736, 0.22418836510174597], 'correction_limit_m': [0.04892402223827623, 0.061230504341870454, 0.10448557045162353], 'correction_slew_m_per_update': 0.0639309942524313, 'integral_limit': 0.48082353824220225, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_005,13,13,5,1.0,0.38461538461538464,0.9299999999999999,0.2168492518101461,0.6536054212473832,0.39193021814063256,0.723474213847684,3.634255866309388,"{'candidate_id': 'cascaded_relative_pid_005', 'uav_kp': [0.5681184582535042, 0.2380004374168046, 4.845992541080388], 'uav_kd': [4.394579675372797, 3.261690560598767, 4.654771856538007], 'uav_ki': [0.16219720610346175, 0.13903072746114403, 0.28050990871977494], 'tip_kp': [0.16541028044000633, 0.5178091276304444, 0.5153822782246632], 'tip_kd': [0.17390564281917725, 0.6822342289329605, 0.0886779334020777], 'correction_limit_m': [0.08872557530298661, 0.10670549106867135, 0.08038259265100631], 'correction_slew_m_per_update': 0.043411753673009784, 'integral_limit': 0.3966433989131616, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_006,13,13,5,1.0,0.38461538461538464,2.005,0.7611671744786622,0.8551202480638096,1.6923462297530183,4.0413050276486135,8.93041720140071,"{'candidate_id': 'cascaded_relative_pid_006', 'uav_kp': [0.5869381674662417, 1.000779449557912, 1.946327732768344], 'uav_kd': [1.8806758300640598, 3.210503860153718, 4.303328196705726], 'uav_ki': [0.15779673138670416, 0.28441054897800067, 0.19126024794339], 'tip_kp': [0.18747574857714222, 0.16954059598526183, 0.0676337211217137], 'tip_kd': [0.5635102709192834, 0.6527312873545472, 0.018109718264417797], 'correction_limit_m': [0.10683897922672939, 0.11949364047192002, 0.032230409245037964], 'correction_slew_m_per_update': 0.07739717117552812, 'integral_limit': 0.25555835391205967, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_007,13,13,7,1.0,0.5384615384615384,3.09,0.4013540628260742,0.6412132091871973,0.4337049481771983,1.6596967330693166,6.748941685851606,"{'candidate_id': 'cascaded_relative_pid_007', 'uav_kp': [0.48867289851180795, 0.5274468914348825, 2.6337323750795765], 'uav_kd': [2.22217353760614, 6.99638760169997, 3.824911498356344], 'uav_ki': [0.23661659265799365, 0.21706509734685092, 0.19883893370556166], 'tip_kp': [0.35025352831652395, 0.04826873755995449, 0.22224589774922432], 'tip_kd': [0.014200466963988934, 0.15717863519746822, 0.18132327099714712], 'correction_limit_m': [0.11025026326783037, 0.030390348674764523, 0.035216582603129314], 'correction_slew_m_per_update': 0.04037111026333381, 'integral_limit': 0.24488745234477247, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_008,13,13,5,1.0,0.38461538461538464,1.02,0.2749517279907316,2.067176829883929,0.5422975687039873,0.6931631584894381,5.19974761620423,"{'candidate_id': 'cascaded_relative_pid_008', 'uav_kp': [1.1236845602729895, 0.4203138504051597, 3.3742249533423614], 'uav_kd': [1.782317322271905, 3.6911531330020404, 3.0921920027355343], 'uav_ki': [0.2051724031987982, 0.06902059749383488, 0.17600971136247986], 'tip_kp': [0.6378088158862812, 0.21966908244217467, 0.15562331079109765], 'tip_kd': [0.20649860262423117, 0.5008775982869998, 0.01597377115866037], 'correction_limit_m': [0.11259547624145791, 0.04293903887353556, 0.07808042424625948], 'correction_slew_m_per_update': 0.06607122633230049, 'integral_limit': 0.47244171202860685, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_009,13,13,3,1.0,0.23076923076923078,0.9850000000000001,0.6515726072481433,2.12137017169372,1.4170991962505828,3.3609587966303622,8.569296575143621,"{'candidate_id': 'cascaded_relative_pid_009', 'uav_kp': [1.2529269818767754, 0.7691959184935987, 4.68525332151365], 'uav_kd': [3.031500174412102, 2.734630321640658, 4.173334034242241], 'uav_ki': [0.05651275138921997, 0.26550461970792966, 0.18312123556996013], 'tip_kp': [0.6662265956543111, 0.4349404220561899, 0.6844828728391216], 'tip_kd': [0.04561702815833126, 0.19721566077291125, 0.02964616689957089], 'correction_limit_m': [0.14998668151852992, 0.09007366402823, 0.05982753482487771], 'correction_slew_m_per_update': 0.049482581876325205, 'integral_limit': 0.14716753417412864, 'tip_velocity_mode': 'relative_to_uav'}"
