candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,parameters,calm_axis_acquired_count,competence_pass
hybrid_x007_y041_z007,75,75,40,1.0,0.5333333333333333,3.5725000000000002,0.24113822851762715,0.5675645669437066,0.433730937342436,0.7388944637382439,5.278335804540923,"{'candidate_id': 'hybrid_x007_y041_z007', 'uav_kp': [0.48867289851180795, 0.37128866118501314, 2.6337323750795765], 'uav_kd': [2.22217353760614, 4.4776894974449775, 3.824911498356344], 'uav_ki': [0.23661659265799365, 0.2297287253389862, 0.19883893370556166], 'tip_kp': [0.35025352831652395, 0.10878004321285528, 0.22224589774922432], 'tip_kd': [0.014200466963988934, 0.0808420650785526, 0.18132327099714712], 'correction_limit_m': [0.11025026326783037, 0.036683753488332485, 0.035216582603129314], 'correction_slew_m_per_update': 0.03747988835971377, 'integral_limit': 0.31152580022085513, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '007', 'y': '041', 'z': '007'}}",6,True
hybrid_x007_y041_z041,75,75,40,1.0,0.5333333333333333,3.58,0.23238635694954796,0.5546705195073431,0.4337399307846601,0.7190388513613158,5.16355838774362,"{'candidate_id': 'hybrid_x007_y041_z041', 'uav_kp': [0.48867289851180795, 0.37128866118501314, 3.431062154413886], 'uav_kd': [2.22217353760614, 4.4776894974449775, 2.7041925588228946], 'uav_ki': [0.23661659265799365, 0.2297287253389862, 0.14051984560559472], 'tip_kp': [0.35025352831652395, 0.10878004321285528, 0.10826243541616985], 'tip_kd': [0.014200466963988934, 0.0808420650785526, 0.20759230115721328], 'correction_limit_m': [0.11025026326783037, 0.036683753488332485, 0.03442936630634569], 'correction_slew_m_per_update': 0.034588666456093715, 'integral_limit': 0.37816414809693777, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '007', 'y': '041', 'z': '041'}}",6,True
hybrid_x007_y041_z035,75,75,35,1.0,0.4666666666666667,3.585,0.24013681860082584,0.5619081513564413,0.43374788601706493,0.7313477766756012,5.212926549998834,"{'candidate_id': 'hybrid_x007_y041_z035', 'uav_kp': [0.48867289851180795, 0.37128866118501314, 1.3475010985257891], 'uav_kd': [2.22217353760614, 4.4776894974449775, 5.2034873750874056], 'uav_ki': [0.23661659265799365, 0.2297287253389862, 0.26341935625254526], 'tip_kp': [0.35025352831652395, 0.10878004321285528, 0.6309147764987721], 'tip_kd': [0.014200466963988934, 0.0808420650785526, 0.2138641941790978], 'correction_limit_m': [0.11025026326783037, 0.036683753488332485, 0.06864548948787028], 'correction_slew_m_per_update': 0.027961429870842474, 'integral_limit': 0.3369759186291243, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '007', 'y': '041', 'z': '035'}}",6,False
hybrid_x007_y035_z007,75,75,36,1.0,0.48,3.5625000000000004,0.1632710632194719,0.5747995666646121,0.4337003050659993,0.4026731583289594,0.6601610354127699,"{'candidate_id': 'hybrid_x007_y035_z007', 'uav_kp': [0.48867289851180795, 0.15095240841659383, 2.6337323750795765], 'uav_kd': [2.22217353760614, 2.276395041497853, 3.824911498356344], 'uav_ki': [0.23661659265799365, 0.11788438043079684, 0.19883893370556166], 'tip_kp': [0.35025352831652395, 0.46809615345576927, 0.22224589774922432], 'tip_kd': [0.014200466963988934, 0.3545002336652548, 0.18132327099714712], 'correction_limit_m': [0.11025026326783037, 0.10170741226737189, 0.035216582603129314], 'correction_slew_m_per_update': 0.030852651774462513, 'integral_limit': 0.27033757075304166, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '007', 'y': '035', 'z': '007'}}",6,False
hybrid_x007_y035_z041,75,75,30,1.0,0.4,3.225,0.16145465887249802,0.5618660051703894,0.43371547221024326,0.41279234913602264,0.7102463752252789,"{'candidate_id': 'hybrid_x007_y035_z041', 'uav_kp': [0.48867289851180795, 0.15095240841659383, 3.431062154413886], 'uav_kd': [2.22217353760614, 2.276395041497853, 2.7041925588228946], 'uav_ki': [0.23661659265799365, 0.11788438043079684, 0.14051984560559472], 'tip_kp': [0.35025352831652395, 0.46809615345576927, 0.10826243541616985], 'tip_kd': [0.014200466963988934, 0.3545002336652548, 0.20759230115721328], 'correction_limit_m': [0.11025026326783037, 0.10170741226737189, 0.03442936630634569], 'correction_slew_m_per_update': 0.027961429870842474, 'integral_limit': 0.3369759186291243, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '007', 'y': '035', 'z': '041'}}",4,False
hybrid_x007_y035_z035,75,75,35,1.0,0.4666666666666667,3.5549999999999997,0.16507378901601696,0.5701416123495271,0.4337151014787532,0.40643204995117027,0.662536208999426,"{'candidate_id': 'hybrid_x007_y035_z035', 'uav_kp': [0.48867289851180795, 0.15095240841659383, 1.3475010985257891], 'uav_kd': [2.22217353760614, 2.276395041497853, 5.2034873750874056], 'uav_ki': [0.23661659265799365, 0.11788438043079684, 0.26341935625254526], 'tip_kp': [0.35025352831652395, 0.46809615345576927, 0.6309147764987721], 'tip_kd': [0.014200466963988934, 0.3545002336652548, 0.2138641941790978], 'correction_limit_m': [0.11025026326783037, 0.10170741226737189, 0.06864548948787028], 'correction_slew_m_per_update': 0.021334193285591222, 'integral_limit': 0.2957876891613108, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '007', 'y': '035', 'z': '035'}}",6,False
hybrid_x041_y041_z007,75,75,29,1.0,0.38666666666666666,2.355,0.22926224911990278,1.1488260044086207,0.36370225285733204,0.7182466118354599,5.20967174613914,"{'candidate_id': 'hybrid_x041_y041_z007', 'uav_kp': [1.0486139875967, 0.37128866118501314, 2.6337323750795765], 'uav_kd': [3.7632900654762675, 4.4776894974449775, 3.824911498356344], 'uav_ki': [0.22327528135855074, 0.2297287253389862, 0.19883893370556166], 'tip_kp': [0.04104047811923111, 0.10878004321285528, 0.22224589774922432], 'tip_kd': [0.5323732799758863, 0.0808420650785526, 0.18132327099714712], 'correction_limit_m': [0.05925706626958517, 0.036683753488332485, 0.035216582603129314], 'correction_slew_m_per_update': 0.034588666456093715, 'integral_limit': 0.37816414809693777, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '041', 'y': '041', 'z': '007'}}",6,False
hybrid_x041_y041_z041,75,75,29,1.0,0.38666666666666666,2.355,0.22539406069132412,1.1537216348789792,0.3633118196438657,0.7007189007118441,5.11346197795435,"{'candidate_id': 'hybrid_x041_y041_z041', 'uav_kp': [1.0486139875967, 0.37128866118501314, 3.431062154413886], 'uav_kd': [3.7632900654762675, 4.4776894974449775, 2.7041925588228946], 'uav_ki': [0.22327528135855074, 0.2297287253389862, 0.14051984560559472], 'tip_kp': [0.04104047811923111, 0.10878004321285528, 0.10826243541616985], 'tip_kd': [0.5323732799758863, 0.0808420650785526, 0.20759230115721328], 'correction_limit_m': [0.05925706626958517, 0.036683753488332485, 0.03442936630634569], 'correction_slew_m_per_update': 0.031697444552473676, 'integral_limit': 0.4448024959730204, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '041', 'y': '041', 'z': '041'}}",6,False
hybrid_x041_y041_z035,75,75,29,1.0,0.38666666666666666,2.41,0.22944349929346525,1.1496104418167643,0.36336780236588584,0.7093808029033619,5.125221609282087,"{'candidate_id': 'hybrid_x041_y041_z035', 'uav_kp': [1.0486139875967, 0.37128866118501314, 1.3475010985257891], 'uav_kd': [3.7632900654762675, 4.4776894974449775, 5.2034873750874056], 'uav_ki': [0.22327528135855074, 0.2297287253389862, 0.26341935625254526], 'tip_kp': [0.04104047811923111, 0.10878004321285528, 0.6309147764987721], 'tip_kd': [0.5323732799758863, 0.0808420650785526, 0.2138641941790978], 'correction_limit_m': [0.05925706626958517, 0.036683753488332485, 0.06864548948787028], 'correction_slew_m_per_update': 0.025070207967222428, 'integral_limit': 0.40361426650520693, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '041', 'y': '041', 'z': '035'}}",6,False
hybrid_x041_y035_z007,75,75,26,1.0,0.3466666666666667,2.35,0.15714552761808098,1.1484654587174936,0.36631715247078644,0.41544949005694204,0.7721703392937311,"{'candidate_id': 'hybrid_x041_y035_z007', 'uav_kp': [1.0486139875967, 0.15095240841659383, 2.6337323750795765], 'uav_kd': [3.7632900654762675, 2.276395041497853, 3.824911498356344], 'uav_ki': [0.22327528135855074, 0.11788438043079684, 0.19883893370556166], 'tip_kp': [0.04104047811923111, 0.46809615345576927, 0.22224589774922432], 'tip_kd': [0.5323732799758863, 0.3545002336652548, 0.18132327099714712], 'correction_limit_m': [0.05925706626958517, 0.10170741226737189, 0.035216582603129314], 'correction_slew_m_per_update': 0.027961429870842474, 'integral_limit': 0.3369759186291243, 'tip_velocity_mode': 'relative_to_uav', 'axis_donors': {'x': '041', 'y': '035', 'z': '007'}}",4,False
