round,candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,parameters,calm_axis_acquired_count,competence_pass
R1R1-A,cascaded_pid_010,13,13,3,1.0,0.23076923076923078,0.8900000000000001,1.9108252904472747,8.278473684714752,7.2829970776594255,6.2979798075077085,23.0315074167518,"{'candidate_id': 'cascaded_pid_010', 'uav_kp': [3.211937125294534, 3.211937125294534, 3.9933769167255226], 'uav_kd': [2.3333514043789907, 2.3333514043789907, 3.433046494482738], 'uav_ki': [0.048777109858140356, 0.048777109858140356, 0.18642631984266755], 'tip_kp': [0.10441673003457622, 0.10441673003457622, 0.7921028331017086], 'tip_kd': [0.3702077429676846, 0.3702077429676846, 0.39093934631196786], 'correction_limit_m': [0.16240107939032153, 0.16240107939032153, 0.09908928734910616], 'correction_slew_m_per_update': 0.042919461887401984, 'integral_limit': 0.0705284738492851}",,
R1R1-A,cascaded_pid_011,13,7,3,0.5384615384615384,0.23076923076923078,0.8,3.027007433366959,7.939244372230571,8.337786316896047,11.590191665810359,26.88934135630099,"{'candidate_id': 'cascaded_pid_011', 'uav_kp': [3.673619179380482, 3.673619179380482, 7.820875705708714], 'uav_kd': [1.519665840434865, 1.519665840434865, 5.19519649916405], 'uav_ki': [0.0315407287190969, 0.0315407287190969, 0.3422284802707196], 'tip_kp': [0.11756195683285206, 0.11756195683285206, 0.9214233740249368], 'tip_kd': [0.1034941460194657, 0.1034941460194657, 0.1486495450292436], 'correction_limit_m': [0.15506388302994437, 0.15506388302994437, 0.08952684806030238], 'correction_slew_m_per_update': 0.06511966820283895, 'integral_limit': 0.20003818899335674}",,
R1R1-A,cascaded_pid_012,13,13,3,1.0,0.23076923076923078,0.9199999999999999,1.3914965418849055,6.463563366153072,4.832308469308808,5.345050178024112,18.807482398503453,"{'candidate_id': 'cascaded_pid_012', 'uav_kp': [1.6512356836606172, 1.6512356836606172, 4.705367538939156], 'uav_kd': [2.4052443520412394, 2.4052443520412394, 3.54309148317111], 'uav_ki': [0.10162561623290835, 0.10162561623290835, 0.3287049639171832], 'tip_kp': [0.5776940289187482, 0.5776940289187482, 0.24762509338042996], 'tip_kd': [0.6934259445893681, 0.6934259445893681, 0.23718441509136176], 'correction_limit_m': [0.279149628186799, 0.279149628186799, 0.04390388393186519], 'correction_slew_m_per_update': 0.04593730487879896, 'integral_limit': 0.3767221310207468}",,
R1R1-A,cascaded_pid_013,13,11,3,0.8461538461538461,0.23076923076923078,1.0150000000000001,2.401159446830877,8.526572642291756,9.217968897406822,7.949965888307163,26.60781607979395,"{'candidate_id': 'cascaded_pid_013', 'uav_kp': [2.985551700807403, 2.985551700807403, 7.740367249373412], 'uav_kd': [4.408949398237903, 4.408949398237903, 4.474305985300608], 'uav_ki': [0.20986662584272808, 0.20986662584272808, 0.06495000585858242], 'tip_kp': [1.0420977531670688, 1.0420977531670688, 0.22833272926000314], 'tip_kd': [0.5584452994690888, 0.5584452994690888, 0.5135404308975162], 'correction_limit_m': [0.23286565301429113, 0.23286565301429113, 0.19785127291500398], 'correction_slew_m_per_update': 0.08880209609397556, 'integral_limit': 0.14936416336218372}",,
R1R1-A,cascaded_pid_014,13,7,3,0.5384615384615384,0.23076923076923078,1.8000000000000003,3.381214829222365,10.250114700155553,9.888980236175808,12.972923712327718,34.95627204175352,"{'candidate_id': 'cascaded_pid_014', 'uav_kp': [3.417528989303688, 3.417528989303688, 6.935359280719169], 'uav_kd': [3.155513250049945, 3.155513250049945, 1.7048305291263153], 'uav_ki': [0.25896204459506866, 0.25896204459506866, 0.24508103649166865], 'tip_kp': [0.8794145160014083, 0.8794145160014083, 0.5084568230096912], 'tip_kd': [0.5983546206216872, 0.5983546206216872, 0.023225200923676945], 'correction_limit_m': [0.2728116301351444, 0.2728116301351444, 0.13294612051523422], 'correction_slew_m_per_update': 0.027396417622061617, 'integral_limit': 0.4172638427872163}",,
R1R1-A,cascaded_pid_015,13,13,3,1.0,0.23076923076923078,1.65,1.9101678030616251,9.23885508320965,6.405644455828383,5.9973258225578165,26.022550058024475,"{'candidate_id': 'cascaded_pid_015', 'uav_kp': [2.284182119409861, 2.284182119409861, 2.4650355270507855], 'uav_kd': [1.2581279028178889, 1.2581279028178889, 5.648512062959284], 'uav_ki': [0.006875405770842862, 0.006875405770842862, 0.20515764014676774], 'tip_kp': [0.2656748969565306, 0.2656748969565306, 0.8605576683552897], 'tip_kd': [0.7398959743047873, 0.7398959743047873, 0.5559530037136406], 'correction_limit_m': [0.2604950018633423, 0.2604950018633423, 0.05765034744119814], 'correction_slew_m_per_update': 0.05152970455784636, 'integral_limit': 0.12012541477936428}",,
R1R1-A,cascaded_pid_016,13,13,5,1.0,0.38461538461538464,0.8049999999999999,0.33427914916962137,0.734274345569376,0.5018304901795813,1.1202110957757514,6.544957348025426,"{'candidate_id': 'cascaded_pid_016', 'uav_kp': [0.4793788377974422, 0.4793788377974422, 6.671322269307579], 'uav_kd': [4.489293077043132, 4.489293077043132, 5.954965162529304], 'uav_ki': [0.16918622090788954, 0.16918622090788954, 0.3730143538798787], 'tip_kp': [0.3269470346143512, 0.3269470346143512, 0.6014584463173618], 'tip_kd': [0.6388722396129969, 0.6388722396129969, 0.20610125194868414], 'correction_limit_m': [0.09247736306790313, 0.09247736306790313, 0.06300183823080273], 'correction_slew_m_per_update': 0.02395136304468952, 'integral_limit': 0.18234243113616294}",,
R1R1-A,cascaded_pid_017,13,8,3,0.6153846153846154,0.23076923076923078,1.0150000000000001,3.6962755534029528,9.518068840284549,9.285125721089015,14.953250499693727,30.37394355222341,"{'candidate_id': 'cascaded_pid_017', 'uav_kp': [3.6290013309521414, 3.6290013309521414, 3.184198985636618], 'uav_kd': [2.9763512043717126, 2.9763512043717126, 2.741965334143749], 'uav_ki': [0.19541824798799565, 0.19541824798799565, 0.3608265489723468], 'tip_kp': [0.9879087886236462, 0.9879087886236462, 0.41795756444920396], 'tip_kd': [0.5868011742040722, 0.5868011742040722, 0.40275535783323535], 'correction_limit_m': [0.2855724640157882, 0.2855724640157882, 0.09070535751595361], 'correction_slew_m_per_update': 0.012509849783099426, 'integral_limit': 0.059869530296688886}",,
R1R1-A,cascaded_pid_018,13,8,3,0.6153846153846154,0.23076923076923078,1.02,4.731484035755431,13.494312631112326,9.281068081765268,17.92763878027049,38.32429075728102,"{'candidate_id': 'cascaded_pid_018', 'uav_kp': [3.906352070437483, 3.906352070437483, 4.744653006205075], 'uav_kd': [2.227660342173415, 2.227660342173415, 2.0686516138182416], 'uav_ki': [0.24071323253495197, 0.24071323253495197, 0.07386115821522075], 'tip_kp': [0.8479055536078699, 0.8479055536078699, 0.3237675362864732], 'tip_kd': [0.32845086927006634, 0.32845086927006634, 0.21497429107658847], 'correction_limit_m': [0.2696960806186983, 0.2696960806186983, 0.05052932108463682], 'correction_slew_m_per_update': 0.02645600392572573, 'integral_limit': 0.261628295452644}",,
R1R1-A,cascaded_pid_019,13,13,3,1.0,0.23076923076923078,0.915,1.1345266546092967,3.7000933328329335,3.091310234700784,3.9440326597592836,11.932905407927233,"{'candidate_id': 'cascaded_pid_019', 'uav_kp': [1.0009471386373883, 1.0009471386373883, 5.368326407070048], 'uav_kd': [1.427878701515779, 1.427878701515779, 5.908747346202046], 'uav_ki': [0.2653162717178314, 0.2653162717178314, 0.3043462300354153], 'tip_kp': [0.9323749839311725, 0.9323749839311725, 0.7157843084807402], 'tip_kd': [0.31089521800734643, 0.31089521800734643, 0.2760053217810158], 'correction_limit_m': [0.2652388662321331, 0.2652388662321331, 0.18380558115825452], 'correction_slew_m_per_update': 0.09780757655193748, 'integral_limit': 0.1421089072658504}",,
