diagnostic_id,source_sample_id,controller,regime,wind_kind,wind_speed_m_s,wind_onset_time_s,target_issue_time_s,safe,task_success,acquisition_time_s,position_rmse_3d_m,position_peak_m,position_steady_mean_m,orientation_rmse_deg,orientation_peak_deg,cutter_angular_speed_peak_rad_s,joint_angle_peak_deg,command_effort,command_norm_peak,raw_command_norm_peak,physical_saturation_fraction,slew_active_fraction,wind_force_peak_N,d_raw_norm_mean,d_raw_norm_max,d_hat_norm_mean,d_hat_norm_max,d_projected_norm_mean,d_projected_norm_max,d_rejected_norm_mean,d_rejected_norm_max,steady_input_norm_mean,steady_input_norm_max,steady_input_max_abs_mean,steady_input_max_abs_max,unscaled_steady_input_max_abs_mean,unscaled_steady_input_max_abs_max,steady_scale_mean,steady_scale_max,steady_state_residual_mean,steady_state_residual_max,steady_task_residual_mean,steady_task_residual_max,backbone_norm_mean,backbone_norm_max,qp_correction_norm_mean,qp_correction_norm_max,limiter_mismatch_mean,limiter_mismatch_max,qp_iterations_mean,qp_iterations_max,raw_clip_update_fraction,raw_clip_component_fraction,steady_input_infeasible_fraction,steady_scaling_active_fraction,qp_solved_fraction,raw_clip_state_00_fraction,raw_clip_state_01_fraction,raw_clip_state_02_fraction,raw_clip_state_03_fraction,raw_clip_state_04_fraction,raw_clip_state_05_fraction,raw_clip_state_06_fraction,raw_clip_state_07_fraction,raw_clip_state_08_fraction,raw_clip_state_09_fraction,raw_clip_state_10_fraction,raw_clip_state_11_fraction,raw_clip_state_12_fraction,raw_clip_state_13_fraction,raw_clip_state_14_fraction,raw_clip_state_15_fraction,raw_clip_state_16_fraction,raw_clip_state_17_fraction,raw_clip_state_18_fraction,raw_clip_state_19_fraction,pre_target_d_hat_p95,reference_step_d_raw_peak,post_target_1s_d_raw_mean,post_target_1s_state_norm_peak
replay_holdout_constant_3p5_spherical_00,holdout_constant_3p5_spherical_00,full_lqr_048,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.21554065619723844,0.34253271751253467,0.20213247889346372,0.950556312419896,2.529873279239506,0.13284987030249895,1.167088908317725,1.681742095274405,1.3305810022466666,2.170181008065009,0.0,0.02074688796680498,4.47452552494418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3167926686194584
replay_holdout_constant_3p5_spherical_00,holdout_constant_3p5_spherical_00,self_a_034,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.7096975048609242,1.2730670615878932,0.6376506218700179,10.237362676434843,17.398620414743668,0.7639389503289593,16.918952210247348,27.393364327241216,2.151778222186315,2.151778222186315,0.27800829875518673,0.6390041493775933,5.521251720602423,0.42854940583058265,0.8352112874142712,0.26233751021088825,0.40047756707491633,0.2622782649489889,0.4004367787163975,0.004923269471286823,0.010065669500272845,1.5551987208697646,1.9132430911760474,1.5485655547068697,1.9000000000000001,5.179757263371692,11.223247532960592,0.5510551173511772,1.0,2.7918743944382996e-16,4.2070289391245425e-16,5.361078073108056e-08,8.075453519599816e-08,21.666405705991902,38.45679383260767,19.196993593553795,36.058581558396035,3.2696633113695433e-06,4.10550142060373e-05,99.1701244813278,375.0,0.6970954356846473,0.07385892116182573,0.0,0.6929460580912863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12033195020746888,0.0,0.0,0.0,0.0,0.0,0.6970954356846473,0.3900414937759336,0.2697095435684647,0.0,0.0,0.327822608753659,0.6130089782927529,0.4103424990259222,1.1839774383423762
replay_holdout_constant_3p5_spherical_01,holdout_constant_3p5_spherical_01,full_lqr_048,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.21305567912616047,0.34228289666727785,0.20197670402277323,0.9508436233916246,2.529873279239506,0.13284987030249895,1.2149181912690394,1.550308744888587,1.4566767447479712,2.1224591121594,0.0,0.016597510373443983,4.481309692747265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3263434976329883
replay_holdout_constant_3p5_spherical_01,holdout_constant_3p5_spherical_01,self_a_034,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.758207287394317,1.289417795603269,0.7039034471916158,10.399669646574289,17.319615549846546,0.7676354212893993,16.87527493424382,27.13353320853182,2.1511520742886203,2.1511521016455215,0.3070539419087137,0.6431535269709544,5.511072996682675,0.4324266688073066,0.8356586339093307,0.2636221677989215,0.4003678479638748,0.2635628223181934,0.40032744111330204,0.004946650670415979,0.010065669500272845,1.5608210262823097,1.9115084079498472,1.5545885475401968,1.9000000000000001,5.235772757979757,11.144469352975351,0.5468974099508025,1.0,2.814197315925128e-16,4.246336675255262e-16,5.378432647642982e-08,8.186219081705453e-08,21.750801337098128,38.45679383260767,19.281199529733577,36.058581558396035,3.2329148707701126e-06,4.098333082147576e-05,92.73858921161826,350.0,0.7012448132780082,0.07385892116182573,0.0,0.6970954356846473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11618257261410789,0.0,0.0,0.0,0.0,0.0,0.7012448132780082,0.3941908713692946,0.26556016597510373,0.0,0.0,0.327822608753659,0.6130089782927529,0.4310547618136898,1.2262314848989666
replay_holdout_constant_3p5_spherical_02,holdout_constant_3p5_spherical_02,full_lqr_048,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.21359066228219886,0.34061958131062353,0.20214729744331425,0.9501988165922517,2.529873279239506,0.13284987030249895,1.167088908317725,1.5880504414711396,1.462830177034944,2.1394476577550963,0.0,0.016597510373443983,4.4669142960285155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32144284661896316
replay_holdout_constant_3p5_spherical_02,holdout_constant_3p5_spherical_02,self_a_034,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.7296794675370177,1.2653205283124545,0.7235240657243283,10.353980282293351,17.793153921394335,0.7689636155195542,17.060022307499555,27.413863146886726,2.161496138682135,2.1614970391720822,0.24066390041493776,0.6016597510373444,5.546078836673326,0.43028625088639283,0.8441305471527415,0.26316845002917344,0.40081145402946694,0.26310919197505916,0.4007681047698264,0.004938019869943653,0.010065669500272845,1.5572833969079316,1.912065062249429,1.5502454455384418,1.9000000000000001,5.200226317418237,11.236441265108093,0.5489532179598174,1.0,2.7783561036589336e-16,4.2922792518775807e-16,5.356723191322986e-08,8.060503800111937e-08,21.813629058312134,38.45679383260767,19.367801792171207,36.058581558396035,3.860422083428729e-06,7.251041718348006e-05,100.51867219917013,450.0,0.6970954356846473,0.07406639004149378,0.0,0.6887966804979253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11618257261410789,0.0,0.0,0.0,0.0,0.0,0.6970954356846473,0.3941908713692946,0.27385892116182575,0.0,0.0,0.327822608753659,0.6130089782927529,0.40562416616695635,1.1714290372243756
replay_holdout_constant_3p5_spherical_03,holdout_constant_3p5_spherical_03,full_lqr_048,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.19999610680821645,0.3185266096566334,0.20490509162241022,1.4175603242886698,3.0621230463459295,0.13284987030249895,1.5892366529010915,1.4649753609772929,1.052866763799565,1.7916425074165303,0.0,0.03734439834024896,4.383916485067425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2244842519792515
replay_holdout_constant_3p5_spherical_03,holdout_constant_3p5_spherical_03,self_a_034,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.69980790554375,1.150800929513261,0.7709146158934467,10.362451455030907,17.306470546793552,0.761279699464528,16.88413957500181,27.31254580904569,2.1559101760067727,2.1559101760067727,0.21991701244813278,0.6141078838174274,5.397606629662671,0.43090278372858487,0.8339079268419556,0.2632602449346923,0.40043736591305185,0.26320076266231623,0.4004113343373637,0.004944884588405553,0.010065669500272845,1.5586870671043531,1.9111294335560014,1.5521745791030601,1.9000000000000001,5.206620124673392,11.304133674946765,0.5494062176801001,1.0,2.8057976651320424e-16,4.716227365918482e-16,5.3642251932492486e-08,8.129061699608367e-08,21.816759883294317,38.45679383260767,19.353203595576677,36.058581558396035,3.997926356052948e-06,7.15992310986735e-05,102.28215767634855,450.0,0.6970954356846473,0.07323651452282158,0.0,0.6970954356846473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12033195020746888,0.0,0.0,0.0,0.0,0.0,0.6970954356846473,0.38589211618257263,0.26141078838174275,0.0,0.0,0.327822608753659,0.6130089782927529,0.39953795575597056,1.0531840702479243
replay_holdout_constant_3p5_spherical_04,holdout_constant_3p5_spherical_04,full_lqr_048,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.20699388936731378,0.28997289220043804,0.20393246720601585,1.1504321313622594,2.529873279239506,0.13284987030249895,1.167088908317725,1.809912163710952,1.2712448022506506,1.9880936311240325,0.0,0.029045643153526972,4.343568276411581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21539786532570374
replay_holdout_constant_3p5_spherical_04,holdout_constant_3p5_spherical_04,self_a_034,V3_CONSTANT_3P5_REPLAY,constant,3.5,0.0,3.0,True,False,,0.6634511665315024,1.1418076436903382,0.6530116258954669,10.185589030344566,17.163000469232745,0.7565417826039915,16.732514023437172,27.291415510650275,2.1519040073399394,2.151904621624401,0.3070539419087137,0.6473029045643154,5.455198890968404,0.42728423670802385,0.8288411349381251,0.2618660940032965,0.40040988099885483,0.26180715681298605,0.40037120286214495,0.00490025812931302,0.010065669500272845,1.5553931283016178,1.912484608464723,1.5491095363322542,1.9000000000000001,5.172553887539294,11.223385115433182,0.5513689383856953,1.0,2.8082831103268137e-16,4.350657853565461e-16,5.3644475503792125e-08,8.174944701132169e-08,21.612536737905895,38.45679383260767,19.128768158973166,36.058581558396035,3.957030972932928e-06,0.00011409358716463203,99.1701244813278,400.0,0.6929460580912863,0.07365145228215768,0.0,0.6846473029045643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12033195020746888,0.0,0.0,0.0,0.0,0.0,0.6929460580912863,0.3941908713692946,0.26556016597510373,0.0,0.0,0.327822608753659,0.6130089782927529,0.4228346665661363,1.1269144285805464
