sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign
v6d_calm_00,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,2.17,0.07356365559307843,0.355341664095674,0.18,0.07636715724809595,0.24183604744997922,0.49749215518955126,0.25,131.49379979738717,0.36201762174417296,0.026709370111986926,[],0.1362,0.0,0.004149377593360996,not_applicable,0
v6d_moderate_00,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,True,4.335,0.09014792505816539,0.7494274859034105,0.15127062473312397,0.07960652752982582,0.37977455500085455,0.4948392035224042,0.25,131.46446559948768,0.36199570136157844,0.04624495458697152,[],0.0906,0.0,0.004149377593360996,aligned,1
v6d_calm_01,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,4.16,0.1608136925658702,0.6736555323727378,0.22999999999999998,0.18634579263441745,2.2744081624455883,1.3254846805262592,0.25,134.23470508134827,1.2646515112423355,0.08526780109103568,[],0.0975,0.0,0.004149377593360996,not_applicable,0
v6d_moderate_01,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.19193694070877465,0.41174526493666613,0.3472120920762449,0.18285213443222928,2.39206823205237,1.3258583002743318,0.25,134.2625397783511,1.2651774258575483,0.08367345484655894,[],0.0962,0.0,0.004149377593360996,opposed,-1
v6d_calm_02,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,2.13,0.06891716003321162,0.3363360836461527,0.18,0.06892346670991768,0.19708209990086728,0.49999999999999883,0.25,131.55292840738377,0.310226991345152,0.023895541014180822,[],0.0962,0.0,0.008298755186721992,not_applicable,0
v6d_moderate_02,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,True,4.315,0.08723974672368003,0.734008290873612,0.15127062473312397,0.07243596015495085,0.33477654121618283,0.4971658800831787,0.25,131.5236889383015,0.31021128262132414,0.04624495458697152,[],0.0838,0.0,0.008298755186721992,aligned,1
v6d_calm_03,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,False,,0.2007650106429517,0.5735633557366038,0.23000000000000004,0.241071901915777,4.47571207942783,1.8641605998668878,0.25,135.15973141747787,1.7652495233196608,0.11783035889738123,[],0.089,0.0,0.004149377593360996,not_applicable,0
v6d_moderate_03,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.2246682060064747,0.4002294913591201,0.3387765255885186,0.239879632339549,4.599155029343264,1.8645378301426034,0.25,135.18498311674583,1.7657799769480698,0.11700873768457908,[],0.0859,0.0,0.004149377593360996,opposed,-1
v6d_calm_04,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,4.285,0.15666108338598317,0.5067067321475922,0.17999999999999997,0.18936423542396325,2.426627363571386,1.3795204069182738,0.15293240684594178,131.90940158729452,1.3156698432322071,0.08789758000462557,[],0.0995,0.0,0.0,not_applicable,0
v6d_moderate_04,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.16285396546792513,0.8632899071206662,0.15127062473312397,0.19434165866350278,2.56701210914506,1.3795456392686418,0.1527484911014894,131.92672349651943,1.3155272841474308,0.08729742908689725,[],0.1191,0.0,0.0,aligned,1
