controller,stage2_rank,sample_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,control_effort,x_control_effort,total_acceleration_effort,max_abs_ax_m_s2,max_ax_step_m_s2,max_abs_ay_m_s2,max_ay_step_m_s2,max_abs_az_m_s2,max_az_step_m_s2,max_cutter_angular_speed_rad_s,max_thrust_N,max_abs_torque_Nm
pid,1,calm__+x_r0.15,True,True,4.92,0.06780809463469342,0.3918018465380496,,,0.01121082414177068,0.01121082414177068,0.01182555454765876,0.1210464274629088,0.12075,0.0,0.0,0.01359517980334299,0.0020536817730746303,0.0237433515134235,130.06172083742072,0.19033635772543597
pid,1,wind_1p5__+x_r0.15,True,True,2.0200000000000005,0.05732676367127991,0.5454887195221272,,,0.05138965807267336,0.05138965807267336,0.052651628641313356,0.11922742330408892,0.12027924026934629,0.0,0.0,0.018823452112766585,0.009314788800468661,0.03292086841034742,130.13472869063412,0.18186544814121638
pid,1,wind_3p0__+x_r0.15,True,False,,0.16563294664746198,1.279696169506727,,,0.6369098156262742,0.6369098156262742,0.6476534781056501,0.3851947526128708,0.11831053799973487,0.0,0.0,0.07528810868013902,0.04263443656845487,0.10069606360324712,130.75674525126715,0.22481692767835443
pid,1,calm__-x_r0.15,True,True,4.92,0.06781464103531855,0.3922876387840932,,,0.011214116597271126,0.011214116597271126,0.011826392361887103,0.1210464274629088,0.12075,0.0,0.0,0.015064953956557325,0.002276557466285194,0.02379143243861719,130.08395630110945,0.19033635772543597
pid,1,wind_1p5__-x_r0.15,True,True,6.255000000000001,0.09994692090796292,0.30762966095094724,,,0.043168114343791295,0.043168114343791295,0.043687298856266606,0.15313765116510947,0.12122075973065367,0.0,0.0,0.015284003628576934,0.009314788800468661,0.02188533904824003,130.0866843030374,0.1988376977868278
pid,1,wind_3p0__-x_r0.15,True,False,,0.24559969240905244,1.0253901291687155,,,0.6179375101709661,0.6179375101709661,0.6254264591205526,0.3851947526128708,0.12318946200026518,0.0,0.0,0.07528810868013902,0.04263443656845487,0.10069606360324712,130.75674525126715,0.2023171216537354
pid,1,calm__+y_r0.15,True,True,4.955,0.09327564472024619,0.0,,,0.0,0.0,0.00401628670776459,0.0,0.0,0.03608193131196891,0.015,0.00040492998603170767,2.9042799648643482e-05,0.004141093032798707,129.88735865990498,0.06928912224660387
pid,1,wind_1p5__+y_r0.15,True,True,6.675000000000001,0.09745498268436768,0.3410327505472874,,,0.03809919592128323,0.03809919592128323,0.04091742282969911,0.09694949216628358,0.011561724445946595,0.034417132981948755,0.015,0.015264765741152963,0.009314788800468661,0.02188533904824003,130.0866843030374,0.06439854810810698
pid,1,wind_3p0__+y_r0.15,True,False,,0.21295747550368638,1.1328014568566578,,,0.6194132551593645,0.6194132551593645,0.6304479060788132,0.3851947526128708,0.04641120910009086,0.03444242114949132,0.015,0.07528810868013902,0.04263443656845487,0.10069606360324712,130.75674525126715,0.20207462197143172
pid,1,calm__-y_r0.15,True,True,4.955,0.09327564472024619,0.0,,,0.0,0.0,0.00401628670776459,0.0,0.0,0.03608193131196891,0.015,0.00040492998603170767,2.9042799648643482e-05,0.004141093032798707,129.88735865990498,0.06928912224660387
