candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,task_success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,control_effort,x_control_effort,total_acceleration_effort,ramp_peak_position_error_m,ramp_steady_state_position_error_m,gain_norm
task_lqr_000,8,8,4,1.0,0.5,2.3375000000000004,0.16341965875316927,0.5452902650536593,0.40092840667059704,0.40092840667059704,0.4043912926344017,0.0,0.0,60.49249761602753
task_lqr_001,8,8,5,1.0,0.625,2.15,0.177776343918643,0.5109869237571687,0.3385997184388718,0.3385997184388718,0.3406534412837853,0.0,0.0,47.47633487879517
task_lqr_002,8,8,4,1.0,0.5,2.4800000000000004,0.19427448786919588,0.49144477452512525,0.3173559109397498,0.3173559109397498,0.31898917035019203,0.0,0.0,37.27753736860973
task_lqr_003,8,8,4,1.0,0.5,2.34,0.16770819042379473,0.5318137796172172,0.3914514092146646,0.3914514092146646,0.3946593446616291,0.0,0.0,62.15709072052274
task_lqr_004,8,8,4,1.0,0.5,2.4025,0.18097595304326416,0.5030702976883448,0.33625728351974027,0.33625728351974027,0.3382325684739193,0.0,0.0,48.52581172222025
task_lqr_005,8,8,4,1.0,0.5,2.49,0.19670835610009546,0.48611048296475645,0.31637882054024524,0.31637882054024524,0.3179765632194705,0.0,0.0,37.932915644026345
task_lqr_006,8,8,4,1.0,0.5,2.3675,0.1818605545884563,0.4960145101346076,0.36415098691334846,0.36415098691334846,0.366644228323539,0.0,0.0,67.47438337408185
task_lqr_007,8,8,4,1.0,0.5,2.4450000000000003,0.19220181976065892,0.48012963372568507,0.3294434252982456,0.3294434252982456,0.33120108086938116,0.0,0.0,52.10809160101671
task_lqr_008,8,8,4,1.0,0.5,2.5250000000000004,0.2055678746695444,0.4694476274324862,0.313068895175305,0.313068895175305,0.3145586098319534,0.0,0.0,40.27358304089632
task_lqr_009,8,8,2,1.0,0.25,1.995,0.14970263811239676,1.551259920581694,4.866940964917397,4.866940964917397,5.028210099579617,0.0,0.0,96.8324151843432
task_lqr_010,8,8,4,1.0,0.5,2.255,0.15424241954534404,0.5707156660007731,0.4635839322346663,0.4635839322346663,0.4685235056088751,0.0,0.0,75.99126389725991
task_lqr_011,8,8,4,1.0,0.5,2.3225,0.1672637323700253,0.527629678029979,0.3830173605163252,0.3830173605163252,0.3860471084028351,0.0,0.0,59.59429896738375
task_lqr_012,8,8,2,1.0,0.25,2.0100000000000002,0.15229531559515375,1.5403663831797731,4.976452422729151,4.976452422729151,5.137115081423559,0.0,0.0,97.95880687855588
task_lqr_013,8,8,4,1.0,0.5,2.2600000000000002,0.15591264066712562,0.5623246369407648,0.45328419605377,0.45328419605377,0.45797342205985464,0.0,0.0,76.69884444283278
task_lqr_014,8,8,4,1.0,0.5,2.3225000000000002,0.16846104330329936,0.5241226255197059,0.3804976068443119,0.3804976068443119,0.38346105522056695,0.0,0.0,60.03202060380224
task_lqr_015,8,8,2,1.0,0.25,2.02,0.1576760567254134,1.3598897744076042,4.556839455151892,4.556839455151892,4.684302540466624,0.0,0.0,101.72145987983752
task_lqr_016,8,8,4,1.0,0.5,2.2725,0.1619757079713555,0.5367520410881269,0.4218837867466536,0.4218837867466536,0.42577884887614403,0.0,0.0,79.22464553776231
task_lqr_017,8,8,4,1.0,0.5,2.3200000000000003,0.17297057056175547,0.5118151046996608,0.3718853208470646,0.3718853208470646,0.3746191708547188,0.0,0.0,61.66063067722883
task_lqr_018,8,8,0,1.0,0.0,,0.6663050516744023,18.509493977257463,24.26190406171955,24.26190406171955,32.05135660700206,0.0,0.0,156.8732517663971
task_lqr_019,8,8,2,1.0,0.25,1.9625000000000001,0.29285653408438617,7.261241954116345,11.602868028107077,11.602868028107077,14.34506959377862,0.0,0.0,123.00209007818349
task_lqr_020,8,8,2,1.0,0.25,1.995,0.15311239475463673,1.7368497142089678,5.0952089225489,5.0952089225489,5.292466860380836,0.0,0.0,96.51355311585593
task_lqr_021,8,8,0,1.0,0.0,,0.6322989977150643,17.32671561504847,23.953061868201132,23.953061868201132,31.412342240234274,0.0,0.0,157.58266516436927
task_lqr_022,8,8,2,1.0,0.25,1.9375,0.27433213831396874,6.466562341676495,11.260315109408152,11.260315109408152,13.63563348105431,0.0,0.0,123.47452452475542
task_lqr_023,8,8,2,1.0,0.25,2.0,0.15194314242536675,1.6482624528590357,5.281381270192578,5.281381270192578,5.457877174721465,0.0,0.0,96.80976070755361
task_lqr_024,8,8,0,1.0,0.0,,0.5666521896677439,17.449407379938947,23.45890554713076,23.45890554713076,30.4950135474864,0.0,0.0,159.99704913094084
task_lqr_025,8,8,2,1.0,0.25,1.955,0.24207428650803905,5.390708066584201,10.603907684408407,10.603907684408407,12.5410291680211,0.0,0.0,125.19243704739335
task_lqr_026,8,8,2,1.0,0.25,2.0100000000000002,0.15282628890160643,1.5037948293593077,4.616866518243589,4.616866518243589,4.771021389651826,0.0,0.0,97.93089525896393
