candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,task_success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,control_effort,x_control_effort,total_acceleration_effort,ramp_peak_position_error_m,ramp_steady_state_position_error_m,gain_norm
lqr_000,8,8,4,1.0,0.5,5.2,0.14445889001068113,0.8203056263931647,0.3913447135603755,0.3913447135603755,0.3955619550785409,0.0,0.0,34.57428779035359
lqr_001,8,8,4,1.0,0.5,5.015000000000001,0.14504411517402896,0.7856220992081346,0.38592240943108846,0.38592240943108846,0.3900029392050562,0.0,0.0,35.804561999063395
lqr_002,8,8,2,1.0,0.25,4.9975000000000005,0.13385089705436365,1.0144121701518096,0.4903337970100423,0.4903337970100423,0.4981317779541987,0.0,0.0,38.91588907159814
lqr_003,8,8,5,1.0,0.625,4.91,0.13350586700816852,0.9839520894683648,0.48357089424613725,0.48357089424613725,0.4911432973407342,0.0,0.0,39.744267554507374
lqr_004,8,8,2,1.0,0.25,8.0875,0.12976821804596433,1.3242135415401313,0.7200062947919343,0.7200062947919343,0.7354128988786814,0.0,0.0,43.77953198277392
lqr_005,8,8,2,1.0,0.25,7.9925,0.12910600992510643,1.29912169408585,0.7050345361326364,0.7050345361326364,0.7200557832347446,0.0,0.0,44.32434201239207
lqr_006,8,8,0,1.0,0.0,,0.13408774240570076,1.872217402684659,1.8870503368271996,1.8870503368271996,1.9352433638828148,0.0,0.0,49.18467208964664
lqr_007,8,8,0,1.0,0.0,,0.1378515357796618,2.0519530949437734,3.466191986012065,3.466191986012065,3.561861116927964,0.0,0.0,49.563534799090114
lqr_008,8,8,5,1.0,0.625,3.49,0.15692646834226992,0.7348257553472076,0.3507990719431595,0.3507990719431595,0.3536726216727054,0.0,0.0,29.049661878763906
lqr_009,8,8,5,1.0,0.625,3.2350000000000003,0.15807377593984817,0.7039400745538166,0.3462098210872139,0.3462098210872139,0.34898723780110935,0.0,0.0,30.11803964942467
lqr_010,8,8,4,1.0,0.5,6.085,0.14276096897738533,0.8687240260194433,0.39875585608111896,0.39875585608111896,0.4032813334790998,0.0,0.0,33.07575939279619
lqr_011,8,8,4,1.0,0.5,5.9225,0.14282377478164404,0.8440510714979569,0.39633344985106583,0.39633344985106583,0.4007864724452094,0.0,0.0,33.79781499603813
lqr_012,8,8,2,1.0,0.25,6.602500000000001,0.13348997975995325,1.0721262016448865,0.5130356512279959,0.5130356512279959,0.5216622781119595,0.0,0.0,37.636114095616875
lqr_013,8,8,2,1.0,0.25,6.4925,0.13312103537520925,1.0522645956542083,0.508581738476543,0.508581738476543,0.5170510918546095,0.0,0.0,38.09520169669411
lqr_014,8,8,2,1.0,0.25,8.1875,0.13100858117754344,1.4101388671719337,0.7841722579045894,0.7841722579045894,0.8017082931877195,0.0,0.0,42.62740251794527
lqr_015,8,8,2,1.0,0.25,8.15,0.1300813885237439,1.383795894924063,0.7821499740947846,0.7821499740947846,0.7992051123380095,0.0,0.0,42.91789536422121
lqr_016,8,8,4,1.0,0.5,5.1875,0.14930303769897987,0.7819954434868394,0.37281053698323285,0.37281053698323285,0.3764512057350299,0.0,0.0,35.90494031849763
lqr_017,8,8,4,1.0,0.5,4.265000000000001,0.15007099663016638,0.7500421868039955,0.36787853199083775,0.36787853199083775,0.37140527418755453,0.0,0.0,37.141668658049205
lqr_018,8,8,5,1.0,0.625,5.0,0.13690077743345974,0.947435933894515,0.44366617417507037,0.44366617417507037,0.4499780971451241,0.0,0.0,40.42705188798997
lqr_019,8,8,5,1.0,0.625,4.89,0.13672984191182233,0.9201780435156772,0.4383046536990094,0.4383046536990094,0.4444435485614344,0.0,0.0,41.25907948911881
lqr_020,8,8,2,1.0,0.25,6.555,0.1300802091326958,1.2030330712585626,0.5994763786225481,0.5994763786225481,0.6116107439714834,0.0,0.0,45.495276454712105
lqr_021,8,8,2,1.0,0.25,6.5,0.1295234385824401,1.1801580484675909,0.5936887530623927,0.5936887530623927,0.6055836380310033,0.0,0.0,46.03463225355576
lqr_022,8,8,0,1.0,0.0,,0.13017543018594008,1.5982746631467446,1.0046088452546904,1.0046088452546904,1.029584491479785,0.0,0.0,51.075195132863996
lqr_023,8,8,0,1.0,0.0,,0.12962704938225372,1.5833158562912817,1.0038618234635592,1.0038618234635592,1.0286613016246986,0.0,0.0,51.437794636345416
lqr_024,8,8,5,1.0,0.625,3.5,0.16030338459954152,0.7165847998593378,0.3455090430622084,0.3455090430622084,0.3482038962627858,0.0,0.0,29.758022480425485
lqr_025,8,8,5,1.0,0.625,2.5,0.16155756784666542,0.6874907906183048,0.34122542072658874,0.34122542072658874,0.3438369366980948,0.0,0.0,30.82094100287692
lqr_026,8,8,4,1.0,0.5,6.065,0.14526355268005225,0.8442423248518214,0.3902270978811504,0.3902270978811504,0.39444715555859977,0.0,0.0,33.86195647785186
lqr_027,8,8,4,1.0,0.5,5.217499999999999,0.14541237614719377,0.8203545770230358,0.38651307110363475,0.38651307110363475,0.3906373011122109,0.0,0.0,34.58328104845904
