evidence_split,method,class,status,safety_rate,success_rate,position_rmse_m,vs_full_lqr_position_improvement,acquisition_median_s,orientation_rmse_deg,strong_position_mean_m,strong_position_p90_m,effort_mean,solve_p95_ms
V6 Development,corrected 3D PID,Traditional,frozen V6 comparator,1.0,0.20833333333333334,0.2690431508132895,-0.9363399694923192,3.545,0.8715958014589682,0.3538930808082562,0.42732582260197,4.27950207129864,0.1362
V6 Development,Full-State LQR,Traditional,frozen V6 comparator,1.0,0.23333333333333334,0.1389441704722073,0.0,3.615,0.9525259899615903,0.19462860866881898,0.21776216628447345,1.0754871465009659,0.0539
V6 Development,Task-Weighted LQR,Traditional,frozen V6 comparator,1.0,0.2833333333333333,0.17405254269485193,-0.252679706556435,2.1075000000000004,0.7278312709704162,0.26214403596025637,0.30253712669356153,1.7861474789860137,0.0561
V6 Development,SATC-OFMPC,Self,frozen Self reference; no V6 tuning,1.0,0.9,0.09687473218275416,0.30277944117035266,3.7225,0.7333995828416328,0.12778405821509717,0.15233618125442078,0.9649844773829573,4.0365
V6 Development,YU2026-FT-CFO-ADAPTED-5LINK,Recent Paper adaptation,Development ineligible; Holdout not run,0.4083333333333333,0.0,5.650857418934332,-39.66998564768617,,39.79603560944129,5.764705317273324,7.9153887842762325,76.94923007482114,0.0643
V6 Development,SEP2026-PASSIVITY-NMPC-ADAPTED-5LINK,Recent Paper adaptation,Development ineligible; Holdout not run,1.0,0.016666666666666666,0.45640884685753996,-2.284836242545594,2.1675,1.7270078321677418,0.60612081768234,0.7476496415316284,2.105071236057074,1.0502
