method_id,family,case_count,all_safety_rate,all_catastrophic_count,all_deadline_miss_rate,overall_success_rate,nominal_case_count,nominal_success_rate,nominal_setpoint_success_rate,nominal_trajectory_success_rate,nominal_setpoint_rmse_m,nominal_trajectory_rmse_m,nominal_endpoint_position_error_m,nominal_endpoint_velocity_error_m_s,challenge_case_count,challenge_success_rate,challenge_setpoint_rmse_m,challenge_trajectory_rmse_m,challenge_rmse_m,challenge_endpoint_position_error_m,challenge_endpoint_velocity_error_m_s,strong_mean_m,strong_p90_m,orientation_rmse_rad,acquisition_time_s,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,nominal_calm_success_rate,nominal_moderate_success_rate,nominal_stochastic_success_rate
r1r3_pid_local_008,native_pid,42,1.0,0,9.259259259259259e-05,0.40476190476190477,36,0.4444444444444444,0.3888888888888889,0.5,0.7636645791747756,0.3427985728312659,0.6078506659579009,0.3054898510514132,6,0.16666666666666666,1.5423289886462046,0.8379699683786255,1.1901494785124151,2.067566550837975,0.3204747294638167,1.0949881209396501,1.8626322309042886,0.02052955254987579,3.9300000000000006,16872.391735225443,0.0,0.0,1.173777449855303,0.09138773578042328,0.1427549999999999,0.18591882000000012,18.1387,0.6666666666666666,0.08333333333333333,0.5833333333333334
r1r3_pid_local_000,native_pid,42,1.0,0,8.597883597883597e-05,0.40476190476190477,36,0.4444444444444444,0.3888888888888889,0.5,0.7494538610147461,0.35337752204537026,0.6444326759917297,0.30221847174271815,6,0.16666666666666666,1.5661353586464586,0.8727181120038804,1.2194267353251695,2.1900609515330784,0.28534585539961427,1.110727186790915,1.8718553882262472,0.02033763685767483,3.92,16874.22861038117,0.0,0.0,1.3399610503205583,0.09658099570105819,0.15389974999999992,0.21783195000000005,21.8116,0.75,0.08333333333333333,0.5
r1r3_pid_local_004,native_pid,42,1.0,0,8.928571428571429e-05,0.35714285714285715,36,0.3888888888888889,0.3333333333333333,0.4444444444444444,0.7469654681213308,0.3327514000590457,0.5759522124928531,0.39254003971296997,6,0.16666666666666666,1.481237640726808,0.7991740002460764,1.1402058204864423,1.903296825411265,0.4439999388527361,1.0283519371501981,1.7052541267524406,0.022185632214174363,3.8600000000000003,16874.328295033774,0.0,0.0,1.3548425472027699,0.09538535780423278,0.14638974999999993,0.19519900000000007,20.8727,0.6666666666666666,0.08333333333333333,0.4166666666666667
r1r3_pid_local_012,native_pid,42,1.0,0,8.597883597883597e-05,0.3333333333333333,36,0.3611111111111111,0.2777777777777778,0.4444444444444444,0.7630433500341631,0.3413047123043672,0.4835669886126362,0.5927789723526968,6,0.16666666666666666,1.4050133535014735,0.815727002960824,1.1103701782311488,1.7228272731310412,0.6315519448811708,0.9951672230924349,1.5547827895056654,0.026041284081759226,3.5600000000000005,16875.191430948365,0.0,0.0,1.6692581760235403,0.09105039517195766,0.14398974999999992,0.18831128000000005,17.845,0.5833333333333334,0.16666666666666666,0.3333333333333333
r1r3_pid_local_001,native_pid,42,1.0,0,9.259259259259259e-05,0.3333333333333333,36,0.3611111111111111,0.2222222222222222,0.5,0.7667863134628868,0.3515982529685802,0.6623257094133397,0.30168128993558135,6,0.16666666666666666,1.5779045593844927,0.8614336028901951,1.2196690811373438,2.163408538462802,0.2910452624339029,1.1173771662723115,1.8891345826043033,0.021215274172948575,3.6100000000000003,16873.270304878406,0.0,0.0,1.3422582677712214,0.09606717361111111,0.14827025,0.20714599999999997,18.8736,0.5,0.08333333333333333,0.5
r1r3_pid_local_010,native_pid,42,1.0,0,8.928571428571429e-05,0.3333333333333333,36,0.3611111111111111,0.2222222222222222,0.5,0.7722351774165818,0.35130551804080534,0.6740232433098892,0.3099574610023114,6,0.16666666666666666,1.580490963589857,0.8573486812773181,1.2189198224335878,2.1558987680898167,0.30165878644661087,1.115394866572344,1.8804672857677656,0.021659494063836875,3.58,16873.244156081237,0.0,0.0,1.3731681610262916,0.09211224735449734,0.146085,0.19581382000000003,17.6205,0.5,0.08333333333333333,0.5
r1r3_pid_local_005,native_pid,42,1.0,0,8.597883597883597e-05,0.30952380952380953,36,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.7379592821408741,0.31963942140167356,0.4954513368685598,0.46298516178015603,6,0.16666666666666666,1.3973667123509361,0.7450407701196674,1.0712037412353017,1.675229427951577,0.5931021331900133,0.9545035357122355,1.5513041513600532,0.023090466987263445,4.025,16875.196082743947,0.0,0.0,1.3706541019547882,0.09507743187830686,0.14698024999999998,0.19828623,20.2536,0.5833333333333334,0.08333333333333333,0.3333333333333333
r1r3_pid_local_013,native_pid,42,1.0,0,8.597883597883597e-05,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.7583925924912109,0.3308073473413075,0.5812121651984115,0.7976399845843489,6,0.16666666666666666,1.255104712569983,0.7626964518266416,1.0089005821983121,1.5120755730314894,0.8972859654506166,0.9015356383142477,1.337651306524479,0.02946365098436849,3.59,16878.657348008634,0.0,0.0,2.071248237774976,0.09006674966931216,0.14137,0.1843802300000001,19.4032,0.4166666666666667,0.16666666666666666,0.3333333333333333
r1r3_pid_local_016,native_pid,42,1.0,0,0.00011574074074074072,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.7560720470470456,0.3254204593524821,0.6587788350723769,0.7274522617185055,6,0.16666666666666666,1.2061334975214972,0.7432180766796138,0.9746757871005555,1.522927427889676,0.8576747876504563,0.8673954214978657,1.270059988820722,0.027528377063243625,3.83,16880.869670640954,0.0,0.0,1.8461632987423775,0.09228616633597883,0.14779024999999998,0.19994318000000005,34.509,0.4166666666666667,0.16666666666666666,0.3333333333333333
r1r3_pid_local_007,native_pid,42,1.0,0,0.0001058201058201058,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.8085545594007608,0.32899956912437955,0.6639078611636501,0.5239832175490162,6,0.16666666666666666,1.5072947680014623,0.7622987926293776,1.1347967803154198,1.7925448541361109,0.584676335557635,1.014707581962563,1.6186299518072271,0.027237305294623294,3.3,16875.43198920962,0.0,0.0,1.709314768929122,0.09375377116402116,0.15112499999999998,0.21920292000000008,17.6934,0.4166666666666667,0.16666666666666666,0.3333333333333333
