method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate
native_pid_001,native_pid,32,1.0,0.25,0,1.1681861584330102,2.0874683825514735,2.1666400545516757,0.6905859440720505,1.5210867499636898,1.6180992921017558,0.029927714347424535,0.2889668764729864,1.044706551832063,0.5027128214202667,4.13,1.2493187462195612,2.0776255120514415,16877.76253274537,0.0,0.0,1.7013979145706348,0.08605139279513889,0.1325,0.16922045000000013,16.229,0.00010416666666666666
native_pid_002,native_pid,32,1.0,0.21875,0,1.173750000882186,2.0213285100534613,2.132847763113326,0.6476587155109088,1.4302484596583755,1.5445638735847782,0.03530886658349079,0.3039948713174262,0.9322585772352151,0.5735834083619008,3.74,1.183908615051237,1.9253157920677406,16878.874587701495,0.0,0.0,1.9912916865261292,0.08538577300347222,0.13119,0.16440962000000006,16.3375,0.00010416666666666666
native_pid_000,native_pid,32,1.0,0.21875,0,1.223278924085286,2.2563303121264937,2.4371609797133456,0.7637974990667628,1.6713587234707763,1.7516398632358072,0.02594432814356916,0.279807984117677,1.3054245547407324,0.42232388736262827,4.535,1.3728100491629587,2.345129567928528,16877.073838194858,0.0,0.0,1.5029994235911301,0.08627469097222222,0.13277224999999995,0.17145907000000005,16.7884,0.00010416666666666666
native_pid_003,native_pid,32,1.0,0.1875,0,1.1843368722650793,1.8723542333434708,2.045340693364227,0.5979060703184509,1.2591588074561475,1.3941611070402204,0.042102747239097085,0.3287641396289135,0.9017708336125447,0.6478885011605471,3.4299999999999997,1.1115594130420927,1.713813528788641,16881.31298325583,0.0,0.0,2.3019746743607348,0.08620275,0.13161999999999993,0.17445607000000005,16.1353,0.00010416666666666666
native_pid_011,native_pid,32,1.0,0.125,0,1.0750632131263707,1.6886553885624755,1.8078925840149944,0.5509296337170528,1.1060316558872973,1.2665832249476217,0.042776922982482486,0.3526907018150124,0.9417107158703841,0.6339037678760733,3.6100000000000003,1.0088271668831819,1.5659286940900146,16883.754403012324,0.0,0.0,2.406365393690781,0.09087062239583332,0.144205,0.36457245000000016,23.725199999999997,0.00010850694444444444
native_pid_004,native_pid,32,1.0,0.125,0,1.1825198621965662,1.74460590905297,1.9211662074018223,0.5670147569295403,1.128118307046197,1.2816711119809603,0.04768014479758015,0.3528262371974704,0.9272809806397746,0.6840449217102971,3.325,1.0606068958663124,1.6076711941590829,16883.389432277196,0.0,0.0,2.791451893634343,0.0853273984375,0.13203499999999999,0.16711607000000003,15.7722,0.00010416666666666666
native_pid_005,native_pid,32,0.96875,0.09375,1,1.2103773646366367,1.6506016357199214,1.8166455386055926,0.5485261794431033,1.017200456950702,1.197774632757171,0.05513127235081422,0.3820517483600585,0.9934761021830951,0.7089322140164462,3.1500000000000004,1.0327954782486026,1.5521967594121944,16884.418789062387,0.0,0.0,3.9595661637359685,0.08288771050347221,0.13133774999999995,0.16527438000000003,15.3874,0.00010416666666666666
native_pid_006,native_pid,32,0.96875,0.09375,1,1.3910102857189894,1.8832081251197792,2.0225967106199665,0.57166290721768,1.0844512288640695,1.2537053670171647,0.05904910894236078,0.37130554506958413,0.9373355487139821,0.7648324764559564,3.1550000000000002,1.1302698885479059,1.6827438563743549,16881.980256084997,0.0,0.0,4.005168098601245,0.08424411328125,0.13415,0.1706777600000001,17.9863,0.00010416666666666666
native_pid_007,native_pid,32,0.90625,0.09375,3,1.5182955818828852,1.9260391767835368,2.3779364167456283,0.5581012222524806,0.9666949324096494,1.1660184393153177,0.07205966813585067,0.4077414552213716,1.030519234718379,0.808423681822939,3.245,1.1262320622165285,1.699209614519245,16857.525031766905,0.0,0.0,6.204270537055901,0.08650659982638889,0.13650449999999992,0.32237307000000015,18.034599999999998,0.00010416666666666666
native_pid_008,native_pid,32,0.8125,0.09375,6,1.6277030399328787,1.9630670516261386,2.7340145705484646,0.5570431660882182,0.8943192373960887,1.1235916432098336,0.1264254577893288,0.4400185085381463,1.1558588503780558,0.8185928087399852,3.22,1.1238074261379738,1.7042825580477898,16712.315882081202,0.0044062500000000004,0.0,11.463285219340225,0.08822453732638888,0.14020724999999995,0.37155641000000017,27.360899999999997,0.00010416666666666666
native_pid_009,native_pid,32,0.6875,0.09375,10,1.6230777406273011,1.950152932467848,2.750608586153503,0.5609033749279,0.8626528558278737,1.1189901804437166,0.16080074018037233,0.4592489257659671,1.253135933619916,0.6929720077609265,3.185,1.1090316393128326,1.6793396249184722,16610.77966335052,0.007666666666666667,0.0005885416666666667,14.107678769593484,0.08854355338541667,0.14592499999999992,0.3495346900000005,20.9267,0.00010416666666666666
native_pid_010,native_pid,32,0.59375,0.09375,13,1.788058988371719,2.886372218591389,3.40668523039522,0.5748259460826322,0.8657420334721537,1.121140209678114,0.20150541824780824,0.480398907586603,1.3162888453825914,0.7921289266578733,3.245,1.2822689415174915,1.7757552432396073,16442.685877785425,0.013234375,0.0018489583333333333,18.715161760713592,0.08815359852430554,0.14057774999999986,0.3644855300000008,16.7924,0.00010416666666666666
