method_id,family,sample_id,task_family,wind_kind,wind_direction,safe,catastrophic,success,position_rmse_m,position_p90_m,position_p95_m,velocity_rmse_m_s,orientation_rmse_rad,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,execution_authority,semantic_fingerprint
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_000,setpoint,calm,aligned,True,False,False,2.3357113864553543,4.942146377840871,5.392590912095895,1.8398133802220176,0.16797914493639904,0.6127528702759263,6.310718554681212,2.07,17247.30482827281,0.0,0.0,41.123941512597995,0.0931505303030303,0.14162999999999984,0.17307100000000014,0.3363,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,eb63ab2ba6666f084b87236745052898eefe1ddb46c7768f4ddb45e3cdc963f8
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_001,smooth_trajectory,calm,aligned,True,False,False,0.9831559289418209,2.3316724676638017,2.6698235552992107,0.6796652473148256,0.0861552053002793,2.360058536620928,1.681372170291758,0.0,16905.13179134109,0.0,0.0,11.509376076758718,0.09733750000000001,0.13320999999999994,0.18252000000000024,11.3566,0.0003787878787878788,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,3dc8727c81932274b8d8a8835a5e2a95c0907f59410d0895974f9320da2465e6
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_002,setpoint,moderate,aligned,False,True,False,4.592813705474572,10.179612964837926,10.861879893694645,2.3204852728793863,0.19550986494816025,10.427749403347802,2.4241699885416708,3.69,17346.208392828205,0.0,0.0,37.66234962656082,0.09459056818181819,0.14080999999999994,0.16710500000000006,0.3423,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,50738138e1e3a07e5758e55066f10dbc62204e3a7ff50d1b1d60fa1efd55b256
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_003,smooth_trajectory,moderate,aligned,True,False,False,0.9405134329717828,1.5340641868670928,2.7681443744517087,0.8437952645130032,0.06084056552159736,3.6891320920795256,1.0903046225801383,0.0,16940.695801306472,0.0,0.0,10.10882655671951,0.09266818181818182,0.13319999999999999,0.1602270000000001,0.308,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,00e6577b0d776a487291ee800d6324ee96ff9882654f17f6b1a9289a6ba3c709
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_004,setpoint,strong_sustained,aligned,False,True,False,3.56228954445278,7.29876473465897,7.720495300175352,1.7159052861120232,0.17205599097267207,5.570923222513567,3.6256688050903065,3.5,17235.802282544017,0.0,0.0,21.119851122920146,0.09418833333333333,0.14010999999999996,0.16494900000000012,0.5973999999999999,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,074ae4c13925783c3f9018fb55cb85ed85957d9e8b61d12442b5fa0c5b6f7a28
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_005,smooth_trajectory,strong_sustained,aligned,False,True,False,4.259155768331679,7.7842284630612255,12.055422426133907,3.1992502961041556,0.1684342653667998,16.371547614950995,7.247014874090386,0.0,17289.387495474304,0.0,0.0,36.986120425483385,0.09439575757575756,0.1335,0.1623490000000001,0.3105,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,f3b2b0516acb54a26e8651c5cf6d40a430cbc4cb47d2c19a180225486afbe1e7
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_006,setpoint,strong_transient,aligned,False,True,False,4.868548082090309,10.731792856218375,12.125587415147603,2.4028060621257152,0.20178049424708902,12.157824039499948,1.440725353814308,3.4299999999999997,17295.89197214565,0.0,0.0,33.10841198650024,0.09103939393939393,0.12229499999999947,0.16733200000000015,0.31529999999999997,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,ba1b5663ca9a3ff4d2ba937f3a451139c57b15dcbb3be501d25089a8f79bd87a
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_007,smooth_trajectory,strong_transient,aligned,True,False,False,0.7867635589228508,1.1736101292825902,2.2982141234108724,0.7650843403469747,0.057655222709034594,3.175255918116509,1.1056433412114302,0.0,16931.31710846461,0.0,0.0,9.01232854871747,0.09261556818181818,0.12945999999999913,0.16830500000000004,0.3962,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,0d443b0b0ab1a0727f02054c63bdf430338afc1c23d1e6352eadf4966328b727
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_008,setpoint,stochastic,aligned,False,True,False,3.222657207207842,6.896358681775921,7.418245353529802,1.8571092499070216,0.1917314564305101,6.248858902565118,3.6738455397908254,3.22,17213.525554122,0.0,0.0,49.94354441262888,0.11532215909090911,0.15439999999999998,0.19113700000000022,0.4345,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,6ab0fde1e2e4678dc1ade130fd32cf6c8929210350f60c1f34c18b6b2f3f69a2
corrected_pid+LegacyTaskLevelAdapter,incumbent,native_development_009,smooth_trajectory,stochastic,aligned,True,False,False,0.3003886776734937,0.54629082675395,0.8931894519979261,0.2825927025970125,0.04126881236980859,0.8779077999953487,0.5784907505998163,1.1102230246251565e-16,16864.826462952842,0.0,0.0,6.988564123026519,0.10883962121212121,0.14850499999999997,0.1670880000000001,8.654399999999999,0.0003787878787878788,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,39b7acab078376914ac5ae3456d966192a62679e2c3ebeac73cb02a15996e544
