method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate
native_pid_001,native_pid,200,1.0,0.275,0,1.0846591578542455,2.082872614329798,2.262642244251475,0.7795461521223135,1.8896902929486965,2.094956746488225,0.028924256881964885,0.3217435554127947,1.301935108862898,0.5114532273145729,3.92,1.2658562660051964,2.3441921991046426,16878.1329039962,0.0,0.0,1.6763957756316428,0.09174691319444443,0.1409297499999999,0.3464290699999999,18.7803,9.583333333333332e-05
native_pid_002,native_pid,200,1.0,0.22,0,1.08538271272137,1.9399263795925819,2.1063776373414473,0.7401326645526883,1.7957188176146301,1.9448681077702061,0.03380396696350239,0.3370439099061527,1.1955854208588639,0.5872796110832735,3.59,1.2002091121668277,2.187556577108855,16879.230123622998,0.0,0.0,1.9567319025511976,0.09095195819444445,0.1448049999999999,0.21972793000000018,20.4605,0.0001
corrected_pid+LegacyTaskLevelAdapter,incumbent,200,0.695,0.025,61,2.559975094784179,4.318605673867206,4.762220927389192,1.6234885121296947,4.136123156809222,4.295760003545811,0.1510724608676154,1.2337053583362763,4.284739569032487,1.872437436744551,2.9299999999999997,2.315042148803361,4.27015423749344,17076.302723684334,0.0009479166666666667,0.000775,30.294000398056234,0.11970080625,0.16061924999999994,0.2061133400000001,18.4823,7.007575757575757e-05
