time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x
5.6450000000000005,0.0370223162942993,0.024702502636827193,0.15163001782743138,0.001729128004372099,True,False,-0.08543560258321581,1.3177913569298423e-18,-6.105682393889635e-05,0.02052319351068419,6.100695333886442e-18,3.200003992039865,0.2620165356934484,2.9467025396973688e-18,0.39065420872112794,0.225,0.0,0.38999999999999996,1.8225000000000002,129.8884673923616,0.019057712626065954,0.0194,1.0872758621420668
5.65,0.03714589963252292,0.024730768246957257,0.15212485695908243,0.0017261949055225063,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.020596025913712183,6.148503199385333e-18,3.200004008834883,0.26214009777599934,2.986613538611544e-18,0.3906565033881679,0.225,0.0,0.38999999999999996,1.8250000000000002,129.88867488804746,0.015863257057285453,0.02,1.0902937907325687
5.655,0.0372696242309764,0.02475900431473216,0.15261884212720073,0.0017232047514744468,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.02066898287455962,6.1965748640188416e-18,3.200004025649865,0.2622638011786347,3.0268414848740737e-18,0.39065879589962904,0.225,0.0,0.38999999999999996,1.8275000000000001,129.8886781452268,0.016320873473545616,0.02,1.093315886088017
5.66,0.03739348994994726,0.02478721497445028,0.15311193411334417,0.0017199552748827767,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.02074206417901369,6.2449106793666506e-18,3.200004042636808,0.26238764576164847,3.0673881619001234e-18,0.3906610862563212,0.225,0.0,0.38999999999999996,1.83,129.8886813394439,0.016764231083227894,0.02,1.0963423493680473
5.665,0.03751749666732373,0.024815402191510814,0.15360405433943974,0.00171641668548796,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.020815269758494036,6.293511314517838e-18,3.200004059754498,0.26251163140900635,3.1082542881372057e-18,0.39066337411578667,0.225,0.0,0.38999999999999996,1.8325,129.88868446871106,0.017193690864832693,0.02,1.099373170326679
5.67,0.03764164427083666,0.02484356793438915,0.15409511616926086,0.001712563213348292,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.020888599541853493,6.342377433984846e-18,3.200004076961482,0.2626357580150876,3.1494405763571756e-18,0.3906656591034309,0.225,0.0,0.38999999999999996,1.835,129.88868753121983,0.017609605412197936,0.02,1.1024083379506704
5.675,0.03776593265800322,0.024871714160377964,0.15458502630413898,0.0017083741381369623,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.02096205345777286,6.391509697699736e-18,3.200004094216075,0.26276002548453303,3.1909477336624787e-18,0.3906679408179252,0.225,0.0,0.38999999999999996,1.8375,129.8886905253333,0.01801232003674607,0.02,1.1054478406003192
5.68,0.03789036173604457,0.02489984281064958,0.15507368628254384,0.0017038342357216475,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.021035631437308733,6.440908761010473e-18,3.2000041114763693,0.2628844337320569,3.2327764614931764e-18,0.39067021883717273,0.225,0.0,0.38999999999999996,1.8399999999999999,129.88869344958056,0.018402173535950604,0.02,1.108491666118576
5.6850000000000005,0.03801493142179334,0.024927955810567205,0.15556099409071106,0.001698933864130878,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.02110933341650306,6.490575274677278e-18,3.2000041287002494,0.26300898268224293,3.274927455634407e-18,0.39067249272457627,0.225,0.0,0.38999999999999996,1.8425000000000002,129.88869630265054,0.018779498738480054,0.02,1.1115398019180063
5.69,0.03813964164161112,0.024956055072685033,0.15604684572789201,0.0016936688310110275,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.021183159339008745,6.5405098848690624e-18,3.2000041458454005,0.26313367226935125,3.3174014062239706e-18,0.3906747620352604,0.225,0.0,0.38999999999999996,1.8450000000000002,129.88869908338563,0.019144622898273338,0.02,1.1145922350517936
5.695,0.03826449233132685,0.02498414250085137,0.15653113675304092,0.0016880401329758422,True,False,-0.0876790659453312,6.563559343365299e-19,-6.320864587195993e-05,0.02125710915870095,6.5907132331599274e-18,3.2000041628693263,0.26325850243714993,3.3601989977597654e-18,0.3906770263220619,0.225,0.0,0.38999999999999996,1.8475000000000001,129.88870179077617,0.019497867984553795,0.02,1.1176489522728925
5.7,0.03838948343619658,0.02501221999445441,0.15701376370450615,0.0016820536239227748,True,False,-0.08995227583435013,3.459812602747452e-20,-6.508313239026044e-05,0.021331182842253233,6.641185956525748e-18,3.2000041797293637,0.26338347313877364,3.403320909106983e-18,0.39067928514119943,0.225,0.0,0.38999999999999996,1.85,129.88892316137705,0.016256299077062684,0.0192,1.120709940084037
5.705,0.03851461489537297,0.02504028252723978,0.1574946784613778,0.0016761273040294612,True,False,-0.08995227583435013,3.459812602747452e-20,-6.508313239026044e-05,0.02140538021079518,6.69192838501702e-18,3.2000041965890684,0.26350858431383095,3.446768807491607e-18,0.39068153846806974,0.225,0.0,0.38999999999999996,1.8525,129.88892643717105,0.016715329634065943,0.0192,1.1237750918810137
5.71,0.03863988664305943,0.025068334790680265,0.15797387632811022,0.0016700647419843283,True,False,-0.08995227583435013,3.459812602747452e-20,-6.508313239026044e-05,0.02147970106985435,6.742940844371294e-18,3.2000042136117783,0.26363383589393163,3.490544354074033e-18,0.39068378645002855,0.225,0.0,0.38999999999999996,1.855,129.8889296483232,0.0171600348616808,0.0192,1.1268446157483003
5.715,0.03876529863358425,0.02509637925027506,0.15845131510366073,0.0016638439549849253,True,False,-0.08995227583435013,3.459812602747452e-20,-6.508313239026044e-05,0.021554145374050242,6.794223958222174e-18,3.200004230754563,0.2637592278369835,3.5346482097026396e-18,0.39068602888552234,0.225,0.0,0.38999999999999996,1.8575,129.888932792859,0.017590780815378,0.0192,1.1299185017588547
5.72,0.03889085083354628,0.025124418349940458,0.1589269467208937,0.0016574465091639301,True,False,-0.08995227583435013,3.459812602747452e-20,-6.508313239026044e-05,0.02162871307674474,6.8457783453697124e-18,3.2000042479742823,0.26388476011358164,3.5790810292733984e-18,0.39068826554930347,0.225,0.0,0.38999999999999996,1.8599999999999999,129.88893586898413,0.01800792491095499,0.0192,1.132996739191402
5.7250000000000005,0.03901654322163724,0.0251524544958427,0.1594007184677081,0.0016508585450486033,True,False,-0.08995227583435013,3.459812602747452e-20,-6.508313239026044e-05,0.02170340413240553,6.897604619777681e-18,3.2000042652275944,0.26401043270674446,3.623843461737068e-18,0.3906904961972734,0.225,0.0,0.38999999999999996,1.8625000000000003,129.88893887507783,0.018411817038019633,0.0192,1.1360793166721617
