time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x
6.42,0.00624229253705513,0.13005819762382081,0.17688388310920414,0.04113894993266264,True,False,0.036602294506707655,-6.558806445534772e-16,0.0017310187920540308,0.14986533915072156,-9.744189556325596e-17,3.199942502681551,0.3688021485379156,-1.354546226659722e-16,0.3892564588968238,0.375,0.0,0.38999999999999996,-0.031390371679675066,129.9063661309451,0.010906688072677195,0.0183,0.00027408073588195076
6.425,0.006891531386107713,0.12991940295391566,0.18866376069657614,0.041105729455584154,True,False,0.036602294506707655,-6.558806445534772e-16,0.0017310187920540308,0.1498179277581761,-9.691189724771889e-17,3.199941611941561,0.3681538055608382,-1.3465853599714806e-16,0.38921080639454064,0.375,0.0,0.38999999999999996,0.11791531882304915,129.90641277694274,0.012943942772893818,0.0183,0.007915624462344034
6.43,0.007540163603297557,0.12976799918540238,0.20044201803056136,0.04112711328415019,True,False,0.036602294506707655,-6.558806445534772e-16,0.0017310187920540308,0.14976979495856863,-9.637929549401424e-17,3.1999407329228564,0.3675061794692239,-1.3385682326781422e-16,0.3891653018407758,0.375,0.0,0.38999999999999996,0.16814658539271554,129.90645930431614,0.014960740602204911,0.0183,0.013733930549254926
6.4350000000000005,0.008188102726862169,0.12960507613386016,0.2122324504634604,0.04119027614157472,True,False,0.036602294506707655,-6.558806445534772e-16,0.0017310187920540308,0.14972095409468741,-9.584411193023271e-17,3.199939866034302,0.3668593345967808,-1.3304951500513203e-16,0.3891198903145191,0.375,0.0,0.38999999999999996,0.1186013877737791,129.9065056794434,0.016957061230609513,0.0183,0.007991478514884152
6.44,0.008835278160248282,0.12943313914385665,0.2240429629541942,0.04126676382385783,True,False,0.036602294506707655,-6.558806445534772e-16,0.0017310187920540308,0.14967140922354968,-9.530636843831508e-17,3.1999390116980804,0.3662133246413325,-1.322366417039248e-16,0.38907453994665053,0.375,0.0,0.38999999999999996,0.16617556423954288,129.90655187012126,0.018935686276471214,0.0183,0.013484685491899424
6.445,0.00948162464709765,0.1292497486075917,0.2358805245115826,0.04137879283108735,True,False,0.036602294506707655,-6.558806445534772e-16,0.0017310187920540308,0.14962116437844558,-9.476608715299773e-17,3.1999381703459004,0.36556820287475245,-1.3141823408735646e-16,0.38902922250921146,0.375,0.0,0.38999999999999996,0.13941931245889377,129.9065978449717,0.020894027040407118,0.0183,0.010216079238818912
6.45,0.010127079146276703,0.12905677525336284,0.24775226472723097,0.04150496190154816,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14957022580881918,-9.422329046110306e-17,3.199937342418257,0.3649240240493549,-1.3059432316270455e-16,0.3889839091197267,0.375,0.0,0.38999999999999996,0.1620753826766016,129.90586988723854,0.013898430260801689,0.019,0.012959967395586486
6.455,0.010771582484955314,0.1288529419988485,0.259663909734738,0.041657169769480536,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14951859823958963,-9.36779977231395e-17,3.1999365276676803,0.36428084110839665,-1.29764950352954e-16,0.38893857553883615,0.375,0.0,0.38999999999999996,0.1625227168372463,129.9059207853721,0.016139658553505923,0.019,0.013020203266775096
6.46,0.01141507550215542,0.12863877520809225,0.27162175558572066,0.04182715778373929,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14946628940967852,-9.313022855333428e-17,3.1999357258623085,0.3636387090521045,-1.2893015740895182e-16,0.3888931952669163,0.375,0.0,0.38999999999999996,0.19045823043664561,129.90597157555376,0.018353460930702115,0.019,0.01687891290040787
6.465,0.012057499617096786,0.12841347438509038,0.28363175090686027,0.042020952260960184,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14941330795171112,-9.25800060958167e-17,3.1999349374800734,0.36299768342882266,-1.280899761444921e-16,0.3888477439774377,0.375,0.0,0.38999999999999996,0.18182079678079338,129.9060222154505,0.0205390086361711,0.019,0.015632925586790095
