candidate_id,stage1_rank,sample_id,safe,solver_success,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms,limiter_mismatch_max
of_ts_rmpc_001,1,wind_3p0__-z_r0.25,True,True,False,,0.2773460729291598,0.6084829585620827,,,0.8459882687913471,0.9858,0.0
of_ts_rmpc_001,1,stochastic_dev_0000,True,True,True,2.1950000000000003,0.06227333107303834,0.3042189905462216,,,0.05449451140952393,0.9766,1.3877787807814457e-17
of_ts_rmpc_001,1,stochastic_dev_0001,True,True,True,3.135,0.049807997055207505,0.42068908721903364,,,0.057545877279401865,0.9753,1.3877787807814457e-17
of_ts_rmpc_001,1,stochastic_dev_0002,True,True,True,6.140000000000001,0.09201829415139397,0.22580362687444558,,,0.016630640003135924,0.9514,8.673617379884035e-19
of_ts_rmpc_001,1,stochastic_dev_0003,True,True,True,5.040000000000001,0.08735414532740701,0.17330607886695898,,,0.010433275710932312,0.9465,1.734723475976807e-18
of_ts_rmpc_001,1,stochastic_dev_0004,True,True,True,1.005,0.03630965264697306,0.20977345029964445,,,0.12363474872888923,1.0355,4.336808689942018e-19
of_ts_rmpc_001,1,stochastic_dev_0005,True,True,True,0.9849999999999999,0.03552496184749162,0.1336681239504052,,,0.11809715658680381,0.977,8.673617379884035e-19
of_ts_rmpc_001,1,stochastic_dev_0006,True,True,True,2.66,0.09776531571677845,0.4777800477910859,,,0.12192310171985879,0.9655,5.011731903925565e-07
of_ts_rmpc_001,1,stochastic_dev_0007,True,True,True,2.0,0.0558361362097747,0.2589191176955236,,,0.10931051063742579,0.9541,4.6491402683201954e-07
of_ts_rmpc_001,1,stochastic_dev_0008,True,True,True,5.555,0.14331559886450784,0.14416177553260986,,,0.021198536243314005,0.9471,3.469446951953614e-18
of_ts_rmpc_001,1,stochastic_dev_0009,True,True,True,5.385,0.14133956013094004,0.06788189766770293,,,0.008221887361962924,0.9584,8.673617379884035e-19
of_ts_rmpc_001,1,stochastic_dev_0010,True,True,True,1.25,0.06631013326772191,0.3490326960986763,,,0.30284059456653417,0.9525,6.938893903907228e-18
of_ts_rmpc_001,1,stochastic_dev_0011,True,True,True,1.25,0.052245575945163186,0.07117415464775409,,,0.280776403082977,0.9769,4.336808689942018e-19
of_ts_rmpc_001,1,stochastic_dev_0012,True,True,True,2.0549999999999997,0.05153278956761459,0.23226839957933804,,,0.04684080406830067,0.9462,1.129221712248274e-07
of_ts_rmpc_001,1,stochastic_dev_0013,True,True,True,2.295,0.058770789221514456,0.28865259207342703,,,0.05429509805997657,0.9032,2.8196528556456713e-08
of_ts_rmpc_001,1,stochastic_dev_0014,True,True,True,4.965,0.0874681360276774,0.19016060075151137,,,0.014024495949931002,0.9892,3.469446951953614e-18
of_ts_rmpc_001,1,stochastic_dev_0015,True,True,True,5.120000000000001,0.08681760045650241,0.10992041907250498,,,0.00959477889346707,0.9868,8.673617379884035e-19
of_ts_rmpc_001,1,stochastic_dev_0016,True,True,True,0.9950000000000001,0.03306787894057139,0.15303915872738724,,,0.11818895012051964,0.9483,1.734723475976807e-18
of_ts_rmpc_001,1,stochastic_dev_0017,True,True,True,1.0,0.0403672228468894,0.15917978333045676,,,0.13145319434379532,0.9265,3.469446951953614e-18
of_ts_rmpc_001,1,stochastic_dev_0018,True,True,True,2.9299999999999997,0.09821671591998869,0.3995384448767578,,,0.109247727067559,0.9386,4.618492056573942e-07
of_ts_rmpc_001,1,stochastic_dev_0019,True,True,True,3.1550000000000002,0.08653200619537424,0.500777472208398,,,0.11592674926831016,0.9575,4.377254684273524e-07
of_ts_rmpc_001,1,ramp_dev_0_to_3p0,True,True,True,0.0,0.163028016495992,0.34889053934449143,0.17604842601064835,0.2688307728585782,0.25022833167764436,0.9249,0.0
of_ts_rmpc_013,2,calm__+x_r0.15,True,True,True,2.08,0.05385902508559177,0.2492999046869514,,,0.04491005458234258,0.9276,0.0
of_ts_rmpc_013,2,wind_1p5__+x_r0.15,True,True,False,,0.06403888666429987,0.29161378866221127,,,0.07500634500757875,0.9543,0.0
of_ts_rmpc_013,2,wind_3p0__+x_r0.15,True,True,False,,0.25096987685430694,0.6643278879162001,,,0.5978016591976361,0.9645,1.3877787807814457e-17
of_ts_rmpc_013,2,calm__-x_r0.15,True,True,True,2.08,0.05385607017770754,0.2493326017129911,,,0.044916558259610606,0.9544,0.0
of_ts_rmpc_013,2,wind_1p5__-x_r0.15,True,True,False,,0.10364057010216012,0.27070751743812366,,,0.07926762243579324,0.9871,6.938893903907228e-18
of_ts_rmpc_013,2,wind_3p0__-x_r0.15,True,True,False,,0.3023689918425498,0.6354126055732743,,,0.6244096849945925,0.9174,0.0
of_ts_rmpc_013,2,calm__+y_r0.15,True,True,True,4.955,0.09327564472024619,0.0,,,0.004016286707764588,0.9269,2.465190328815662e-32
of_ts_rmpc_013,2,wind_1p5__+y_r0.15,True,True,False,,0.10789502335868494,0.15268590271856913,,,0.03522145732125935,0.9798,0.0
of_ts_rmpc_013,2,wind_3p0__+y_r0.15,True,True,False,,0.28520382686976475,0.6107325644680275,,,0.5698024059126022,0.9758,0.0
of_ts_rmpc_013,2,calm__-y_r0.15,True,True,True,4.955,0.09327564472024619,0.0,,,0.004016286707764588,0.9866,2.465190328815662e-32
of_ts_rmpc_013,2,wind_1p5__-y_r0.15,True,True,False,,0.10789502335868494,0.15268590271856913,,,0.03522145732125935,1.0205,0.0
of_ts_rmpc_013,2,wind_3p0__-y_r0.15,True,True,False,,0.28520382686976475,0.6107325644680275,,,0.5698024059126022,1.1263,0.0
of_ts_rmpc_013,2,calm__+z_r0.15,True,True,True,0.99,0.029780750412311516,0.0,,,0.11217005724800687,1.0114,3.0814879110195774e-33
of_ts_rmpc_013,2,wind_1p5__+z_r0.15,True,True,False,,0.07319128199669185,0.15294746918313568,,,0.14556588894134714,0.9927,0.0
of_ts_rmpc_013,2,wind_3p0__+z_r0.15,True,True,False,,0.2738861137754238,0.6115094137307672,,,0.6810814070415516,1.0559,0.0
of_ts_rmpc_013,2,calm__-z_r0.15,True,True,True,0.99,0.029780750412311496,0.0,,,0.11217005724800738,0.9844,3.0814879110195774e-33
of_ts_rmpc_013,2,wind_1p5__-z_r0.15,True,True,False,,0.0731698755610532,0.15251689728614548,,,0.14447568841943648,0.9855,0.0
of_ts_rmpc_013,2,wind_3p0__-z_r0.15,True,True,False,,0.27403171311483976,0.608357848347898,,,0.6784718146541429,1.0956,0.0
of_ts_rmpc_013,2,calm__+x_r0.25,True,True,True,2.61,0.09073950528438547,0.41642658764207663,,,0.10807019133722776,1.0041,4.433274327642067e-07
of_ts_rmpc_013,2,wind_1p5__+x_r0.25,True,True,False,,0.08479972135602457,0.43788322461802676,,,0.13550858007398886,0.9924,2.8709506594282175e-07
of_ts_rmpc_013,2,wind_3p0__+x_r0.25,True,True,True,0.0,0.2421908700980814,0.7382427583006448,,,0.6484714984389213,0.9947,6.962233365659376e-07
of_ts_rmpc_013,2,calm__-x_r0.25,True,True,True,2.61,0.0907317972829245,0.41639226387886263,,,0.10813322753669434,0.9313,4.433700284689479e-07
of_ts_rmpc_013,2,wind_1p5__-x_r0.25,True,True,False,,0.1359365826704597,0.4118522770506632,,,0.14241693569609692,0.9577,6.130313794372455e-07
of_ts_rmpc_013,2,wind_3p0__-x_r0.25,True,True,False,,0.32697456332062197,0.6932435522087923,,,0.6933320004071504,0.9792,2.6979839753416e-06
of_ts_rmpc_013,2,calm__+y_r0.25,True,True,True,5.34,0.15545997022509506,0.0,,,0.011157213245573894,0.9409,4.930380657631324e-32
