method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,competence_pass
r1r2_task_lqr_c_0_04,native_task_lqr,200,0.0,0.0,200,4.892444061670157,7.623907155602472,8.6155912867977,4.140530825088067,6.901784311009577,8.476309620111547,3.42508573488227,3.0328960914792753,8.61832706557747,3.1561110878890677,,4.59109406205939,8.03978231943793,17608.94458116478,0.0,0.0,274.12989851500856,0.02493393983333333,0.061,0.08395599999999996,8.2898,3.583333333333333e-05,False
r1r2_task_lqr_c_0_15,native_task_lqr,200,0.0,0.0,200,5.18379117441253,8.39613154182442,9.604472536225956,4.261768161546541,7.666365526195874,9.092021763590253,3.4920811474465023,3.0734109101340206,8.473978188750323,2.928298003471009,,4.811060716608352,8.54701091363321,17668.523587108637,0.0,0.0,368.6031456456105,0.014934375892857142,0.061204999999999996,0.07710299000000001,8.5999,2.9761904761904763e-06,False
r1r2_task_lqr_c_0_08,native_task_lqr,200,0.0,0.0,200,5.319161183739787,7.8850671177188065,9.226959693740381,4.054504703961459,6.793622389457173,7.84889798717155,3.645704347592592,2.9962810831747198,7.786592382319541,2.944168210471021,,4.9823970530947435,7.472335618780994,17687.9522274509,0.0,0.0,433.58290305901943,0.009078578888888888,0.061,0.07420399999999999,7.925,0.0,False
r1r2_task_lqr_c_1_13,native_task_lqr,200,0.0,0.0,200,5.37729072046733,8.106635356855389,9.284591523699195,3.7710860721901724,6.316738339372907,7.361572036144362,4.1082411555642855,3.041064474428048,7.0732124308615605,3.470740813181143,,4.923421024842421,7.534565408973451,18054.599901966598,0.0,0.0,644.5555844992736,0.0052627536363636365,0.0619,0.07260599999999999,8.5435,0.0,False
r1r2_task_lqr_c_0_09,native_task_lqr,200,0.0,0.0,200,5.4099666148635235,8.00395640017662,9.859629933272503,4.079935420084156,6.653248504242623,7.4346942805653535,3.641797265316134,3.0209549066055668,7.929773165140752,3.089224955550152,,4.84873533106832,7.207170608941202,17693.075859230128,0.0,0.0,369.60301075493953,0.014778941726190476,0.0612,0.07672098000000002,6.3747,1.7857142857142857e-06,False
r1r2_task_lqr_c_0_11,native_task_lqr,200,0.0,0.0,200,5.4747071988952705,8.376103153733164,9.264188823284023,4.320184043095542,7.131785514468045,7.984645210166435,3.542999348986939,3.0811696189767575,8.567750049464331,3.284648426393788,,4.946098647789672,8.2425515165841,17642.488799048653,0.0,0.0,229.5572376244131,0.024528061812499998,0.0593,0.07810202999999984,12.6517,8.604166666666667e-05,False
