method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,large_endpoint_failure_fraction
r1r2_task_lqr_008,native_task_lqr,48,0.0,0.0,48,5.319405211862178,7.539610491887143,8.390719666578471,3.6468942224411935,5.793951996875183,6.392579388423171,3.6369181654055622,2.993967547794932,7.2894347467622325,3.318832144014113,,4.318403009106046,7.055436761058432,17725.268092521015,0.0,0.0,442.333932888427,0.00972708912037037,0.06739824999999994,0.07918506000000004,4.7032,0.0,0.9375
r1r2_task_lqr_001,native_task_lqr,48,0.0,0.0,48,6.259655563784371,7.5582295960263455,8.36690590890284,3.1385795309263216,5.100804456327693,7.285016119519512,3.891549100461285,2.9799149211722273,5.869557446274999,3.6533779487565035,,4.83448642028508,7.593499031673021,18042.430244261024,0.0,0.0,609.0083460343234,0.005701360479797979,0.06683324999999994,0.07733647,3.2142,0.0,0.9375
r1r2_task_lqr_033,native_task_lqr,48,0.0,0.0,48,8.461957510337646,14.461656783087209,20.86755886321953,4.2675200367249415,6.537898145172895,8.57229524889697,5.508849337682338,3.206785170890504,7.989857005313065,3.776997554733043,,5.1949192520805,10.524739034071402,18877.435595924046,0.0,0.0,640.6870303762945,0.015352738095238095,0.062029999999999995,0.07602453000000002,4.8588,0.0,0.9375
r1r2_task_lqr_036,native_task_lqr,48,0.0,0.0,48,6.49081471908461,9.099912471168638,13.41562099601014,3.691798427327518,6.4822606944833305,6.9781287105554055,4.216360915265533,3.174655930344446,7.665706167656903,3.762695153205755,,4.953207381731979,7.98810705776452,18897.96279790495,0.0,0.0,1048.753149591571,0.002614586004273504,0.0006,0.073706,3.6008,0.0,0.9583333333333334
r1r2_task_lqr_034,native_task_lqr,48,0.0,0.0,48,7.5237341742518105,12.570072909928776,15.200094416176896,4.638963032068728,7.63036947401109,8.000873317937044,5.292378427897382,3.2709020589032414,7.593306352867736,2.8692273708316485,,5.07985641097088,8.194982767229956,19419.587007439128,0.0,0.0,493.2528304319023,0.025858096354166665,0.0625,0.08732188000000009,13.2442,8.159722222222222e-05,0.9583333333333334
r1r2_task_lqr_010,native_task_lqr,48,0.0,0.0,48,7.55334706594495,12.491807053479139,13.105062875897776,6.8684216310006745,9.676600645493822,10.075284206391327,6.063926808242883,3.7505029866460045,10.403093396980161,3.948284116568063,,6.415328221872448,8.76627160853464,19828.08743348788,0.0,0.0,561.8367778596095,0.029365364236111108,0.07292674999999997,0.17978147000000008,30.726499999999998,0.00024131944444444448,0.9583333333333334
r1r2_task_lqr_028,native_task_lqr,48,0.0,0.0,48,7.807633032747387,14.927272799981665,16.537526752731136,3.149813347323729,4.213912190243501,4.5717927260695435,4.412019876511876,2.98752771565803,6.160087464974158,3.100498512927959,,5.1490498361945924,7.329570007910949,18060.97715873255,0.0,0.0,293.4372503635365,0.02547881111111111,0.061294999999999995,0.08036094000000003,9.5739,8.159722222222222e-05,0.9583333333333334
r1r2_task_lqr_047,native_task_lqr,48,0.0,0.0,48,7.841297851142919,12.949710009121715,17.948019636690958,3.6181999926260304,5.960158584867477,6.112283850050965,3.544318269635779,2.9555285501850137,6.593833351331891,3.13237148283509,,5.484154782777775,8.333876074476073,17607.796328392247,0.0,0.0,238.82007532224137,0.024338869097222226,0.06043,0.08179,11.8479,7.118055555555556e-05,0.9583333333333334
r1r2_task_lqr_013,native_task_lqr,48,0.0,0.0,48,8.857564259096376,16.384644143567485,16.9555041171078,3.9554154335356935,5.608525343659614,7.579623785674439,4.8665244334803015,3.104452933880888,6.754243180272984,3.4448969565868004,,5.803489987457745,11.526229729817455,18940.156029716334,0.0,0.0,815.741803418775,0.005379942866161616,0.061584999999999994,0.07630747000000003,8.883899999999999,3.1565656565656566e-06,0.9583333333333334
r1r2_task_lqr_017,native_task_lqr,48,0.0,0.0,48,10.43060078796873,16.039468092903263,18.264197388284504,5.129125033864362,8.532266235991921,8.910817257869642,5.598261211545524,3.462261066605032,7.167354906312931,3.891855481223583,,6.953819140559291,13.107501464114282,20522.243967652572,0.0,0.0,521.8957493754561,0.02446966189236111,0.060254999999999996,0.0753125299999999,7.485399999999999,0.00011458333333333333,0.9583333333333334
r1r2_task_lqr_023,native_task_lqr,48,0.0,0.0,48,11.039956762421014,19.21168562143134,21.20236866474353,5.080071358690732,8.105367198710105,9.141380989275612,5.604365970390144,3.426693695055924,8.796099983009642,3.545704183914457,,6.753211307204926,11.578865195435693,18035.021832750277,0.0,0.0,345.09018189811246,0.024851014843749995,0.059765,0.07636593999999985,10.8606,0.00013368055555555556,0.9583333333333334
r1r2_task_lqr_006,native_task_lqr,48,0.0,0.0,48,5.2251134942194915,7.992410600028433,9.172092868115787,3.916182191798049,5.910341460535429,6.9875894527674385,4.222588573460223,3.0836923379232686,7.428077886734617,2.6070608002269533,,4.545798362571476,6.568843169840742,18010.309843038645,0.0,0.0,696.8651398022357,0.002766614917200854,0.0006649999999999998,0.074253,5.048299999999999,0.0,0.9791666666666666
r1r2_task_lqr_003,native_task_lqr,48,0.0,0.0,48,5.424397175534846,7.694521588239538,7.947728017179043,3.437069206792804,4.8914896806812616,8.2684787468828,3.141924375033769,3.097210231408056,7.971672979856219,3.7390412268200977,,5.62015530755459,8.787997806796437,17548.470679270762,0.0,0.0,312.2707642525765,0.016767003224206347,0.06926824999999995,0.09194018000000007,29.0822,3.720238095238095e-05,0.9791666666666666
