sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign,residual_clip_fraction_mean,residual_clip_fraction_p95,residual_clip_fraction_max,trust_mean,trust_p95,trust_max,residual_unrepresented_norm_mean,residual_unrepresented_norm_p95,residual_unrepresented_norm_max,residual_debt_norm_mean,residual_debt_norm_p95,residual_debt_norm_max,steady_equality_residual_mean,steady_equality_residual_p95,steady_equality_residual_max,steady_task_residual_mean,steady_task_residual_p95,steady_task_residual_max,requested_steady_input_max_abs_mean,requested_steady_input_max_abs_p95,requested_steady_input_max_abs_max,feasible_steady_input_max_abs_mean,feasible_steady_input_max_abs_p95,feasible_steady_input_max_abs_max,backbone_norm_mean,backbone_norm_p95,backbone_norm_max,qp_correction_norm_mean,qp_correction_norm_p95,qp_correction_norm_max,limiter_mismatch_mean,limiter_mismatch_p95,limiter_mismatch_max,steady_infeasibility_fraction,steady_constraint_activity_fraction,reachable_constraint_activity_fraction,solver_success_rate,qp_iterations_max
v5d_strong_simultaneous_aligned_00,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.23455053773041828,0.9780090536176148,0.3071810107149988,0.3025296101614056,1.5328231741197544,1.514619190950574,0.25000000000000006,136.51553319261487,1.0341919890342404,0.28991857125808507,[],0.0379,0.012448132780082987,0.0912863070539419,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_aligned_01,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.23490278380872182,1.037813342425085,0.30692890385087596,0.30285917124035455,1.3826537969055699,1.3883721421430162,0.25,133.11540240310805,0.9589829412768074,0.28874325482954366,[],0.0245,0.016597510373443983,0.07053941908713693,aligned,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_aligned_02,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.23335944195741018,0.9811648677139302,0.3070142303778588,0.30254654839825534,1.4374991219036466,1.4999999999999996,0.25000000000000006,136.8838026936352,1.0040154450247774,0.2876890002380382,[],0.0397,0.012448132780082987,0.0912863070539419,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_aligned_03,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.24011390501806762,0.9815981114039524,0.3066970080932463,0.30267231411481943,1.8282580262868255,1.4659957473505352,0.2500000000000001,133.02096750561822,1.2536060947653742,0.285466392986541,[],0.0409,0.008298755186721992,0.07883817427385892,aligned,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_aligned_04,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.23807843443139873,0.8542629166435786,0.30572885003058564,0.30249139675349335,1.377484280643051,1.1137176037921177,0.25,130.6104742256425,1.0418815648412476,0.19322481873768493,[],0.0376,0.0,0.05394190871369295,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_aligned_05,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.24008671448187485,0.9492721771852592,0.30697534499464857,0.30277438993250827,1.5922264590537147,1.355093930868988,0.25000000000000006,139.8501865028176,0.9975958347817407,0.2624665346643355,[],0.0349,0.0,0.07053941908713693,aligned,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_opposed_00,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.2556067532958166,0.7776470708698279,0.3194495480498926,0.30225523588665093,2.0737593427748413,1.4979505237070716,0.25,132.51428112938746,1.3242175370959566,0.16114986485830451,[],0.04,0.016597510373443983,0.1825726141078838,opposed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_opposed_01,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.2535031697679596,0.7592906262515032,0.31752788577243246,0.3022646377797144,1.5795868224766059,1.3789194224553394,0.2500000000000001,143.26452768268342,1.0811961757300736,0.1552891583001784,[],0.0262,0.0,0.0995850622406639,opposed,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_opposed_02,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.25341075893405557,0.7846824936801287,0.31859557433509994,0.3021881631388911,1.946719640831204,1.4734929418093317,0.25000000000000006,139.86269961661776,1.334552652995695,0.167666184072146,[],0.0399,0.004149377593360996,0.17012448132780084,opposed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_opposed_03,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.26307784442284565,0.8219185290275711,0.3530176958068489,0.30208668612362677,1.9795584390543093,1.5000000000000004,0.2500000000000001,131.77479103608943,1.3897327577090945,0.17813799709356848,[],0.0308,0.02074688796680498,0.12863070539419086,opposed,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_opposed_04,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.24800292643777694,0.7321990752073557,0.3059720735885862,0.30206488210203064,1.2436489841983531,1.2499999999999996,0.25,133.33298562971441,1.0607359599665205,0.1370094343184891,[],0.042,0.0,0.07053941908713693,opposed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_opposed_05,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.26004452272686834,0.8062319582945533,0.3402579215922642,0.3022173908542081,1.7757126594107453,1.5000000000000004,0.2500000000000001,140.34145370759373,1.3977677514549154,0.17530018187621285,[],0.0401,0.016597510373443983,0.12448132780082988,opposed,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_cross_00,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.24266503188736693,0.7421832041320474,0.30508189883613007,0.30225607246625574,1.2713891253661633,1.000000000000013,0.25,132.34421967025656,1.1219299048341194,0.13721755855375195,[],0.0257,0.0,0.024896265560165973,cross,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_cross_01,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.25420343897532116,0.7353415381519307,0.30543500700758697,0.30236142141218475,2.068040963610872,1.500000000000013,0.25,131.22598082207682,1.5626873743089322,0.13366925257723605,[],0.0375,0.016597510373443983,0.07053941908713693,cross,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_cross_02,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.23725362943354056,0.7581428726245361,0.3050300026007738,0.30225768135003733,1.0847599407691564,0.9999999999999984,0.25,133.52834550453795,0.9046455221738471,0.1382957795812679,[],0.0384,0.0,0.03319502074688797,cross,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_cross_03,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.24531779345050655,0.7689545117088318,0.3058160944520502,0.3024944372255167,1.503096483422645,1.1676435984000717,0.25000000000000006,143.1483355577162,1.1034421082064905,0.12894878428596931,[],0.0378,0.0,0.03734439834024896,cross,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_cross_04,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.24541557464282196,0.7472433746792095,0.30527872703514775,0.30229515025164866,1.428487820248366,1.250000000000013,0.25,131.03519533034418,1.2966043643798948,0.13480948958766817,[],0.0392,0.0,0.04564315352697095,cross,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_simultaneous_cross_05,STRONG_SIMULTANEOUS,task_lqr,task_lqr_009,True,False,,0.25287966824686414,0.7464469018812037,0.3055219195940593,0.30241831758818816,2.0100490152719876,1.500000000000013,0.25,135.5575663366935,1.5243679612127004,0.13109912754053174,[],0.0395,0.016597510373443983,0.07053941908713693,cross,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_aligned_00,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,True,2.06,0.22719942734815685,0.8499421591766275,0.29683327037743257,0.30165257912351806,1.2526874339056784,1.0,0.25000000000000006,136.51627590840988,1.0111206647789863,0.15231118565896812,[],0.0256,0.0,0.07883817427385892,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
