sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,residual_clip_fraction_mean,residual_clip_fraction_p95,residual_clip_fraction_max,trust_mean,trust_p95,trust_max,residual_unrepresented_norm_mean,residual_unrepresented_norm_p95,residual_unrepresented_norm_max,residual_debt_norm_mean,residual_debt_norm_p95,residual_debt_norm_max,steady_equality_residual_mean,steady_equality_residual_p95,steady_equality_residual_max,steady_task_residual_mean,steady_task_residual_p95,steady_task_residual_max,requested_steady_input_max_abs_mean,requested_steady_input_max_abs_p95,requested_steady_input_max_abs_max,feasible_steady_input_max_abs_mean,feasible_steady_input_max_abs_p95,feasible_steady_input_max_abs_max,backbone_norm_mean,backbone_norm_p95,backbone_norm_max,qp_correction_norm_mean,qp_correction_norm_p95,qp_correction_norm_max,limiter_mismatch_mean,limiter_mismatch_p95,limiter_mismatch_max,steady_infeasibility_fraction,steady_constraint_activity_fraction,reachable_constraint_activity_fraction,solver_success_rate,qp_iterations_max,directional_stratum,wind_direction_sign
v5d_calm_00,NORMAL_CALM,cart_ofmpc,cart_b_014,True,True,2.3950000000000005,0.06355182654706794,0.23383976582087504,0.1800000000000006,0.004483600408488356,0.17465480922613927,0.6293449106680965,0.25,138.2477251339861,0.6285161636689277,0.06767766890863296,[],3.9409,0.0,0.004149377593360996,0.0,0.0,0.0,0.967132368137849,0.9999999870504397,1.0,6.977282809647741e-05,0.0003553575944382451,0.000661311430641661,0.00015487481220138175,0.0007522815298193882,0.0009871793685989271,6.977282809647741e-05,0.0003553575944382451,0.000661311430641661,4.348738712864514e-11,2.2198162827963407e-10,3.6400319397685053e-10,0.0011178754584785682,0.005725192496383545,0.011061236125869222,0.0011178754584785682,0.005725192496383545,0.011061236125869222,0.12257777672592152,0.5271747955567903,1.9995196505244832,0.11525417293022804,0.5291231136651116,1.638592967715453,2.778622062733811e-09,0.0,6.69647917117544e-07,0.008298755186721992,0.0,0.0,1.0,75,not_applicable,0
v5d_moderate_00,NORMAL_CONSTANT,cart_ofmpc,cart_b_014,True,True,2.2800000000000002,0.06192538501916398,0.36733402321103864,0.16498513061939593,0.015464996339704122,0.30377899539942843,0.6277129098198235,0.25,138.16052917523507,0.6214380090896258,0.06029575254549293,[],4.2193,0.0,0.004149377593360996,0.0,0.0,0.0,0.9696624879017338,0.9737908160241988,1.0,0.0002260054875721887,0.0005025782056611098,0.0007199932613623682,0.0007254992083642985,0.0011185391005746298,0.0012467113385458202,0.0002260054875721887,0.0005025782056611098,0.0007199932613623682,2.0487388177721253e-09,2.3088473194759894e-09,2.4218587140241923e-09,0.006018491883344863,0.011321092069125857,0.01525394356877931,0.006018491883344863,0.011321092069125857,0.01525394356877931,0.8384517244602117,1.1860484442982386,2.7204816175574766,0.156785815780797,0.507901532567447,1.59962240041374,2.590670392827963e-09,0.0,6.243515646708886e-07,0.0,0.0,0.0,1.0,75,aligned,1
v5d_calm_01,NORMAL_CALM,cart_ofmpc,cart_b_014,True,True,2.295,0.076805408876663,0.3270305743577953,0.23,0.0007533319104070713,0.2812618175853004,0.8400781644906714,0.25,141.08076162243788,0.75840870378637,0.09375594772715323,[],4.021,0.0,0.008298755186721992,0.0,0.0,0.0,0.9744611167401699,0.9999999870504397,1.0,9.814361348756809e-05,0.0005051781781655107,0.0009234797639976288,0.00021922944949593284,0.0010406748454585642,0.0013723375560658613,9.814361348756809e-05,0.0005051781781655107,0.0009234797639976288,6.034920364902704e-11,2.8754519688410697e-10,4.871667753698733e-10,0.00157178338692353,0.008334201957556287,0.015233200124272353,0.00157178338692353,0.008334201957556287,0.015233200124272353,0.10231610126473893,0.6165549748570982,2.5291465065074608,0.08952106769077535,0.5355578031905266,2.2011429808817766,4.6990033847192004e-08,6.162975822039155e-33,1.1258383234735714e-05,0.004149377593360996,0.0,0.0,1.0,150,not_applicable,0
v5d_moderate_01,NORMAL_CONSTANT,cart_ofmpc,cart_b_014,True,True,2.5300000000000002,0.08766293657920315,0.4323252190327754,0.24791385276025366,0.01397576270866561,0.404412797439901,0.8397349946321276,0.25,141.16073898088982,0.7240590449389018,0.09171009649080518,[],3.4454,0.0,0.012448132780082987,0.0,0.0,0.0,0.9697530781786537,0.9738830981477504,1.0,0.0002518285416086342,0.0005840966879464002,0.0010506686477213493,0.0007958910940794827,0.0013833613522805923,0.00191229173407392,0.0002518285416086342,0.0005840966879464002,0.0010506686477213493,2.1134885999697135e-09,2.5054823434918946e-09,2.7159163211422773e-09,0.006258948000236361,0.01392685963574348,0.02256036307565968,0.006258948000236361,0.01392685963574348,0.02256036307565968,0.7663673194688286,0.8791470108493716,1.8253291478229516,0.15439869437537115,0.5980795162811638,2.24400646513738,4.3714119238912073e-08,0.0,8.882792092268499e-06,0.0,0.0,0.0,1.0,150,opposed,-1
v5d_calm_02,NORMAL_CALM,cart_ofmpc,cart_b_014,True,True,2.2250000000000005,0.061222205832157,0.2489637570120372,0.17999999999999966,0.002665939290787466,0.17810791889830385,0.6758344968234968,0.25,138.86483325177247,0.6286891590164821,0.0717192408787727,[],4.2055,0.0,0.004149377593360996,0.0,0.0,0.0,0.9676559519050935,0.9999999870504397,1.0,7.445475348679251e-05,0.0003806734718405633,0.0007038469204480458,0.0001655442789314525,0.0008067515667475177,0.0010498503586261886,7.445475348679251e-05,0.0003806734718405633,0.0007038469204480458,4.633611176320348e-11,2.305675551988164e-10,3.8418794425511733e-10,0.0011920727500349673,0.0060829941341957825,0.011730663708081028,0.0011920727500349673,0.0060829941341957825,0.011730663708081028,0.09937817798064053,0.505758491852808,1.986811178004816,0.09014683823674831,0.45456501148325335,1.6489351035492832,3.765907515543602e-08,0.0,9.075837112459961e-06,0.004149377593360996,0.0,0.0,1.0,100,not_applicable,0
v5d_moderate_02,NORMAL_CONSTANT,cart_ofmpc,cart_b_014,True,True,2.085,0.05911283061024851,0.3761257543159159,0.16383754467827302,0.014932355416559902,0.3073762200358997,0.6742023366643866,0.25,138.77412522280235,0.6215943414783601,0.06443164961685706,[],3.574,0.0,0.004149377593360996,0.0,0.0,0.0,0.9696439777932758,0.9737908160241988,1.0,0.00022915638384244343,0.0005037316098049003,0.0007447261717639641,0.0007297147140651965,0.0011421731211465763,0.0012863474830449814,0.00022915638384244343,0.0005037316098049003,0.0007447261717639641,2.047263507337754e-09,2.3088473194759894e-09,2.4431468444005957e-09,0.006045746904092674,0.011671118415366588,0.01563001517356065,0.006045746904092674,0.011671118415366588,0.01563001517356065,0.8352736988388477,1.1572013359188635,2.7438100103354266,0.13255832905914178,0.42814436325035193,1.6070757540788307,4.8528586921425625e-08,0.0,1.1695389448063143e-05,0.0,0.0,0.0,1.0,100,aligned,1
v5d_calm_03,NORMAL_CALM,cart_ofmpc,cart_b_014,True,True,3.425,0.0909522653818267,0.25789582963109137,0.23424709790053436,0.009313002166040219,0.18247904993146696,0.5755317828085881,0.25,131.13009867819278,0.6779802585111281,0.07588178669727111,[],3.147,0.0,0.004149377593360996,0.0,0.0,0.0,0.9658630747066387,0.9999999870504397,1.0,7.760822393610694e-05,0.0003926646539175758,0.0007159609891062555,0.0001713312386991439,0.0008276202163858341,0.0010949508896243097,7.760822393610694e-05,0.0003926646539175758,0.0007159609891062555,5.064255545524106e-11,2.7248093008848447e-10,4.213676962948198e-10,0.001255791662543673,0.006563025851436305,0.011277157500532296,0.001255791662543673,0.006563025851436305,0.011277157500532296,0.20941836285959656,0.7009696827812992,2.605333790255957,0.20591194874845387,0.8850248840094146,2.241726618641685,1.087614673553532e-08,0.0,2.621151363263463e-06,0.004149377593360996,0.0,0.0,1.0,75,not_applicable,0
v5d_moderate_03,NORMAL_CONSTANT,cart_ofmpc,cart_b_014,True,True,3.615,0.09900371955998095,0.3890508988458768,0.2453381568163103,0.01742980508141331,0.3127069738288406,0.6595528037507687,0.25,131.1182867624404,0.692392490745601,0.07724204939341543,[],4.1836,0.0,0.004149377593360996,0.0,0.0,0.0,0.9698904199281939,0.9738830981477504,1.0,0.000237983803775034,0.0005474356567856848,0.0008919871175673502,0.0007667613396489129,0.00121233174099817,0.0017347099896063757,0.000237983803775034,0.0005474356567856848,0.0008919871175673502,2.1048145613510493e-09,2.4334718449225165e-09,2.591588529729807e-09,0.006094314478164105,0.013527858615861888,0.019284488948855916,0.006094314478164105,0.013527858615861888,0.019284488948855916,0.8209468695878269,0.9765598618020582,2.09478405469731,0.25188046120524654,0.9102039721541851,2.2741569311359795,6.863855549873105e-09,0.0,1.654189187516586e-06,0.0,0.0,0.0,1.0,75,opposed,-1
v5d_calm_04,NORMAL_CALM,cart_ofmpc,cart_b_014,True,True,3.1900000000000004,0.0727611281989687,0.16788828412091628,0.1838862705716835,0.008313451827398888,0.12383945283598179,0.4574729139632825,0.25,130.9388873611528,0.4871121081189108,0.04773888773856179,[],3.3689,0.0,0.004149377593360996,0.0,0.0,0.0,0.9637335593114509,0.9999999870504397,1.0,4.954989881801366e-05,0.0002335732898642698,0.00046910329255655874,0.00010979894593632742,0.0005249951488354132,0.0007206538721366118,4.954989881801366e-05,0.0002335732898642698,0.00046910329255655874,3.212462904474133e-11,1.6040822765774312e-10,2.834834085353824e-10,0.000808995511287015,0.0039163282460701705,0.00762496389653015,0.000808995511287015,0.0039163282460701705,0.00762496389653015,0.1788261249270683,0.5880051737565138,2.0507731766017874,0.1767056146906859,0.7500405845688038,1.6900508891247656,2.5934544346116604e-10,0.0,6.250225187409697e-08,0.008298755186721992,0.0,0.0,1.0,50,not_applicable,0
v5d_moderate_04,NORMAL_CONSTANT,cart_ofmpc,cart_b_014,True,True,3.205,0.07263010203163563,0.33131285541440403,0.1751797319737979,0.01720851868329077,0.2516117542822933,0.45735833789500746,0.25,130.9240393996045,0.48686993250415295,0.04156040062168796,[],3.0857,0.0,0.004149377593360996,0.0,0.0,0.0,0.9697179403531914,0.9736960289903817,1.0,0.00021218153292579608,0.0004531711106519166,0.0006068044066074603,0.000711158348395312,0.0010814603310343087,0.0012261346981070522,0.00021218153292579608,0.0004531711106519166,0.0006068044066074603,2.053274615120977e-09,2.278403026648105e-09,2.315081950492521e-09,0.005932203802999489,0.010685609874603375,0.01472209285177674,0.005932203802999489,0.010685609874603375,0.01472209285177674,0.8517378713226507,1.2013549602323932,2.638703860900416,0.21705026524503895,0.7396481086653918,1.6645421531968647,2.593454393158782e-10,0.0,6.250225087489625e-08,0.0,0.0,0.0,1.0,50,aligned,1
