time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,ax_cmd,ay_cmd,az_cmd,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
0.075,-8.043788014016456e-37,-3.372714584114904e-36,3.2,0.225,1.1247654811703354e-33,0.38999999999999996,3.29250610268273e-35,8.16572854787526e-34,-1.6099910931120077e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-8.266886992777517e-31,-2.608337669849254e-31,6.628706872432064e-16,True,6.175028263664731e-34,-2.420172090789371e-34,2.583799515664302e-35,9.142034618468437e-37,-8.92953182457869e-37,4.667596211638892e-32,-1.5844310108562937e-32,-2.8134584131067704e-34,7.94876352659381e-34,-1.985175811120965e-34
0.08,-1.2506865158269449e-36,-4.9805517060303846e-36,3.2,0.225,1.5999741349916855e-33,0.38999999999999996,5.661116889834739e-35,9.601836960203604e-34,-1.7173238326528081e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-8.266886992777517e-31,-2.608337669849254e-31,6.628706872432064e-16,True,8.693576140905823e-34,-3.2316016091471455e-34,2.069900585276161e-35,6.087596048022294e-36,-2.04517844895457e-36,5.401263784919348e-32,-1.6511966624657613e-32,-1.824790848507328e-33,1.2698668157806681e-33,-2.5633516321991075e-34
0.085,-1.841714207623211e-36,-6.976364821043838e-36,3.2,0.225,2.151178928465382e-33,0.38999999999999996,8.941494222351482e-35,1.093484936008065e-33,-1.8246565721936089e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-8.266886992777517e-31,-2.608337669849254e-31,6.628706872432064e-16,True,1.1563107408145521e-33,-4.058088083888666e-34,7.077083760202162e-36,1.3532240481753285e-35,-3.384793948188124e-36,6.07180103662259e-32,-1.6459423691175662e-32,-3.6555418181295075e-33,1.6914332933105324e-33,-2.703355081100378e-34
0.09,-2.6043057585974816e-36,-9.406334911428287e-36,3.2,0.225,2.7753775042894386e-33,0.38999999999999996,1.3267558770823003e-34,1.2149960616713235e-33,-1.9319893117344093e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-8.266886992777517e-31,-2.608337669849254e-31,6.628706872432064e-16,True,1.4752827766170626e-33,-4.865809457742588e-34,-1.617129890871797e-35,2.280564515289319e-35,-4.649275258024339e-36,6.682397655098398e-32,-1.577631307268337e-32,-5.655763050013161e-33,1.9905471295445047e-33,-2.239624800277894e-34
0.095,-3.567552675627658e-36,-1.232280048991314e-35,3.2,0.225,3.469654657818553e-33,0.38999999999999996,1.8766475198535627e-34,1.3232943443455993e-33,-2.0393220512752098e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-8.266886992777517e-31,-2.608337669849254e-31,6.628706872432064e-16,True,1.8233671566640267e-33,-5.6256887347946626e-34,-4.959717614821763e-35,3.314082281910237e-35,-5.506785131906331e-36,7.236747097438575e-32,-1.4561838207980657e-32,-7.707476710207858e-33,2.1071683081023322e-33,-1.0626583368456091e-34
0.1,-4.7625449649426185e-36,-1.578401794531264e-35,3.2,0.225,4.23118077678412e-33,0.38999999999999996,2.555855298228051e-34,1.4170130034439852e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4841020018926228e-30,-2.8765907831305928e-31,1.3257413744864128e-15,True,2.1978507782413054e-33,-6.313732289675658e-34,-9.31752416935147e-35,4.350129945285475e-35,-5.587072394044964e-36,7.738865351554021e-32,-1.2919264540196914e-32,-9.699121953627272e-33,1.9940917301585125e-33,8.703449292423073e-35
0.105,-6.242038732187033e-36,-1.9867268515322618e-35,3.2,0.225,5.094716066507119e-33,0.38999999999999996,3.3785026502268116e-34,1.512210494437698e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4841020018926228e-30,-2.8765907831305928e-31,1.3257413744864128e-15,True,2.6175035335251882e-33,-7.009575844827684e-34,-1.4397775000528243e-34,5.211028768009746e-35,-4.41670161271376e-36,9.04084290141788e-32,-1.481167069035035e-32,-1.0652651399963236e-32,1.433447052462584e-33,3.8490734214216598e-34
0.11,-8.06457627931018e-36,-2.465847382134458e-35,3.2,0.225,6.093700699998426e-33,0.38999999999999996,4.364580849289016e-34,1.5888445579145463e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4841020018926228e-30,-2.8765907831305928e-31,1.3257413744864128e-15,True,3.0998687425506554e-33,-7.77804032291545e-34,-2.0014810922648994e-34,5.770488994165932e-35,-1.712900960618473e-36,1.0247314310373284e-31,-1.5829052315063199e-32,-1.1837333878936495e-32,7.849583167193252e-34,6.99668701620967e-34
0.115,-1.0274581584008593e-35,-3.0241662445203103e-35,3.2,0.225,7.222803928091609e-33,0.38999999999999996,5.537013111186044e-34,1.6442817241912456e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4841020018926228e-30,-2.8765907831305928e-31,1.3257413744864128e-15,True,3.6402273579786494e-33,-8.576577755872413e-34,-2.62688130094648e-34,5.979245461496937e-35,2.5969382923788262e-36,1.1360705648623498e-31,-1.6023396359850303e-32,-1.3189135308304688e-32,2.716418356416846e-35,1.0263253686517425e-33
0.12,-1.2920935369655765e-35,-3.671182821008749e-35,3.2,0.225,8.47684584773508e-33,0.38999999999999996,6.9178514784195365e-34,1.6759803741898355e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4841020018926228e-30,-2.8765907831305928e-31,1.3257413744864128e-15,True,4.234004900373861e-33,-9.365773019963973e-34,-3.3224703115009528e-34,5.777434886323188e-35,8.555694851810313e-36,1.2384345744751653e-31,-1.5467248843037828e-32,-1.4631946626325377e-32,-8.603388880266635e-34,1.3578262269694085e-33
