sample_id,task_family,wind_kind,wind_direction,safe,endpoint_success,equilibrium_pass,time_pass,failure_mechanism,solver_success,solver_nfev,max_generalized_acceleration_residual,endpoint_position_error_m,available_time_s,certified_transition_time_s,rest_to_rest_translation_time_s,two_longest_mode_periods_s,required_thrust_N,required_torque_Nm,roll_pitch_deg,joint_angles_deg,uav_position_world_m,target_world_m,final_wind_world_m_s,final_external_force_world_N,semantic_fingerprint,execution_authority
native_development_000,setpoint,calm,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,5.551115123125783e-16,11.75,8.011526294920264,1.6677864457008513,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[-0.3646438597011489,-0.5019215063227042,3.514102038799247]","[-0.13964385970114887,-0.5019215063227042,0.7041020387992468]","[-0.0,-0.0,0.0]","[0.0,0.0,0.0]",eb63ab2ba6666f084b87236745052898eefe1ddb46c7768f4ddb45e3cdc963f8,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_001,smooth_trajectory,calm,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,2.220446049250313e-16,11.7,8.535946443044605,2.1922065938251922,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[0.8882215592997692,-0.7570639626313624,3.4852727619530577]","[1.1132215592997692,-0.7570639626313624,0.6752727619530576]","[0.0,-0.0,0.0]","[0.0,0.0,0.0]",3dc8727c81932274b8d8a8835a5e2a95c0907f59410d0895974f9320da2465e6,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_002,setpoint,moderate,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,5,4.0054852825998483e-14,1.1102230246251565e-16,11.65,8.931065351378795,2.5873255021593806,6.343739849219413,129.88906631921398,"[-0.1169896772572423,-0.0011780247511312028,-0.00012652027015298535]","[-0.4514527791769276,0.1790666230618206]","[0.0005977694457288261,-0.01660920876886128,-0.018823796761782734,-0.021512959255294384,-0.02647195609044421]","[-0.608092431189616,-1.528703726167284,3.3319271381751925]","[-0.3901204055371741,-1.550841865121403,0.5216455866166972]","[-0.5530406566752164,-1.3943263721468677,0.0]","[-0.40592931658335274,-1.0234291900751096,0.0]",50738138e1e3a07e5758e55066f10dbc62204e3a7ff50d1b1d60fa1efd55b256,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_003,smooth_trajectory,moderate,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,4,1.6001771623093343e-13,6.662783593823664e-16,11.6,8.063728550943063,1.7199887017236497,6.343739849219413,129.88858328042159,"[0.08961842432030229,-0.0012454708111691768,5.076874874644126e-05]","[0.45170927278634376,0.08611984824813382]","[0.004793051522571806,-0.008457844998289476,-0.009585655468450612,-0.010955163936319916,-0.01348061196551013]","[-0.10547197708825937,0.5495974787951773,3.6564057112941257]","[0.1159963710019001,0.5717495986558869,0.846305153127562]","[-0.28091421881613365,1.4734609603470739,0.0]","[-0.1952261289839414,1.0240068327968845,0.0]",00e6577b0d776a487291ee800d6324ee96ff9882654f17f6b1a9289a6ba3c709,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_004,setpoint,strong_sustained,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,5,1.5482607548152626e-14,2.220446049250313e-16,11.55,8.71589163850746,2.3721517892880466,6.343739849219413,129.96350150237242,"[-0.5150506574750932,0.002743075087331512,0.0023172006638354243]","[-1.8482466997528115,-0.7620443794089324]","[0.012182728174257041,0.06835424864253695,0.07748328438061522,0.0885718479204102,0.10901650495084096]","[0.506487386337926,-1.209715740248038,3.1692882728536627]","[0.7609574056936598,-1.3003894314937812,0.3625085778716341]","[1.1431665686305181,-2.7736564668980774,0.0]","[1.727588217873223,-4.1916343288287,0.0]",074ae4c13925783c3f9018fb55cb85ed85957d9e8b61d12442b5fa0c5b6f7a28,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_005,smooth_trajectory,strong_sustained,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,5,9.831993592122866e-15,2.830524433501838e-16,11.5,8.847772952625915,2.5040331034065018,6.343739849219413,129.9545817075816,"[0.3941128627310862,-0.004109473578945289,0.000840363386902625]","[1.852272883120318,0.339396931318152]","[0.013744426339329588,-0.03240348807760286,-0.03673173178672318,-0.04198923076973949,-0.051682860745309964]","[-0.26853521384974743,1.4504788102651045,3.15526908168267]","[-0.05731399747940344,1.5412863842920002,0.3460248606590422]","[-0.5405109388209314,2.950906288755188,0.0]","[-0.7693914415600547,4.200473811624668,0.0]",f3b2b0516acb54a26e8651c5cf6d40a430cbc4cb47d2c19a180225486afbe1e7,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_006,setpoint,strong_transient,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,3.885780586188048e-16,11.45,8.912295696322728,2.568555847103314,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[1.101391365453776,1.2261590510853497,3.137616276485772]","[1.326391365453776,1.2261590510853497,0.32761627648577185]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",ba1b5663ca9a3ff4d2ba937f3a451139c57b15dcbb3be501d25089a8f79bd87a,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_007,smooth_trajectory,strong_transient,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,5.551115123125783e-16,11.4,8.253440843460176,1.909700994240762,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[-0.3335767565880901,0.7752087887490928,3.5450315142730378]","[-0.1085767565880901,0.7752087887490928,0.7350315142730374]","[-0.0,0.0,0.0]","[0.0,0.0,0.0]",0d443b0b0ab1a0727f02054c63bdf430338afc1c23d1e6352eadf4966328b727,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_008,setpoint,stochastic,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,4,2.998063582821245e-14,3.3306690738754696e-16,11.35,8.804905736361217,2.4611658871418043,6.343739849219413,129.88440002470185,"[-0.0002442491359493175,-5.325957318742319e-07,-1.3160210576168622e-09]","[-0.0007395393064519899,0.0008377054044274539]","[-3.300453116689005e-05,-8.029806054442556e-05,-9.100445634870298e-05,-0.00010400507804860669,-0.00012797910885964378]","[1.092302320787384,0.9643103159327382,3.6127091348886724]","[1.3172713271720564,0.9642740461725281,0.8027075589538016]","[-0.054028896616282816,-0.04769754680396694,-0.0]","[-0.0018990031161671647,-0.0016764693652278802,0.0]",6ab0fde1e2e4678dc1ade130fd32cf6c8929210350f60c1f34c18b6b2f3f69a2,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_009,smooth_trajectory,stochastic,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,4,1.0188455621486494e-14,5.551115123125783e-17,11.3,7.857382222633338,1.5136423734139248,6.343739849219413,129.88440183406937,"[0.002402823816588148,1.5940974462169786e-05,-7.177655442696524e-08]","[0.00827534822017597,-0.004922418005859083]","[9.619198124649466e-05,0.0004528782553831565,0.0005132617536347559,0.0005865845331542182,0.0007217967764507491]","[-0.29290622420572887,-0.4925096959441929,3.184984707527841]","[-0.06771768641458045,-0.4921038404754238,0.37499476399018566]","[0.10724376575073967,0.18029340706881508,-0.0]","[0.011158680730876728,0.018759473366861186,0.0]",39b7acab078376914ac5ae3456d966192a62679e2c3ebeac73cb02a15996e544,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
