sample_id,task_family,wind_kind,wind_direction,safe,endpoint_success,equilibrium_pass,time_pass,failure_mechanism,solver_success,solver_nfev,max_generalized_acceleration_residual,endpoint_position_error_m,available_time_s,certified_transition_time_s,rest_to_rest_translation_time_s,two_longest_mode_periods_s,required_thrust_N,required_torque_Nm,roll_pitch_deg,joint_angles_deg,uav_position_world_m,target_world_m,final_wind_world_m_s,final_external_force_world_N,semantic_fingerprint,execution_authority
native_development_010,setpoint,ramp,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,5,3.139988155099381e-14,4.585973723508303e-16,11.25,8.57216557910235,2.2284257298829373,6.343739849219413,129.93309614961248,"[0.086415831475371,0.019413058757373525,-0.0011151758650719183]","[0.26714423421299727,-1.545786665570535]","[-0.04422210918772857,0.1984031640481328,0.22483601424419294,0.25691922541485024,0.3160685901496572]","[1.0479844291614062,0.17778495457251547,3.7307787392913303]","[1.3294901810109667,0.1909035222118078,0.923765690072853]","[2.95616758924107,0.5109532114789398,0.0]","[3.5050103486826742,0.6058169030890781,0.0]",ffc3b60c8c81f1e0bd219462f86abafb0b962b9427ebd6a1b7ad1c90a6756543,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_011,smooth_trajectory,ramp,aligned,True,True,True,True,CERTIFIED_REACHABLE,True,5,2.3990934452921046e-14,1.2412670766236366e-16,11.75,8.368808678609394,2.025068829389981,6.343739849219413,129.94684046180086,"[-0.22748956485424096,0.005097839109200509,0.0027279799528295424]","[-0.6443029212225274,-1.655315563622438]","[0.04737458377842563,0.18113595546762576,0.20527930820726492,0.23458789579947736,0.2886230537919462]","[0.8656084278206955,-0.3285510685858951,3.451982725288573]","[1.1502175822345009,-0.3601902090121737,0.6455849542437108]","[2.7956225278764677,-1.0883449276904773,0.0]","[3.7534964832057733,-1.4612483687860598,0.0]",aae04b6f018cc6de39fd634302ab2d11a8c3e6ceb40681c2f7595ae400c81e0a,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_012,setpoint,calm,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,0.0,11.7,8.811744723360741,2.468004874141328,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[-0.20464869522625612,-1.44718368970102,3.627296657145342]","[0.02035130477374389,-1.44718368970102,0.8172966571453417]","[0.0,0.0,-0.0]","[0.0,0.0,0.0]",6add8c94de0543321752f0dcd2adde3b739be9d91f5d8915f769cfe94b8bafff,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_013,smooth_trajectory,calm,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,0.0,11.65,8.183024231900708,1.8392843826812955,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[-0.5721971639047351,0.34384000556821553,3.7192721646274087]","[-0.3471971639047351,0.34384000556821553,0.9092721646274085]","[0.0,-0.0,-0.0]","[0.0,0.0,0.0]",83cd42ef533adcf4f242452c3b070f45a018fbd72b040570f736f3ca3758b999,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_014,setpoint,moderate,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,5,9.908306557880382e-15,2.2887833992611187e-16,11.6,8.512815828052926,2.169075978833512,6.343739849219413,129.88928978913577,"[-0.12254447553687672,5.965930701166264e-05,0.00024142189043989816]","[-0.38180335373761515,-0.3184291764996398]","[0.012964914370373653,0.02926785319882251,0.03316943013480289,0.03790694199643936,0.04664340412482583]","[-0.7207806969559744,0.8687139485409839,3.5974192177236723]","[-0.4838847598028839,0.8499848576644154,0.7881304592489179]","[0.9607276657020039,-1.1519558812536088,-0.0]","[0.7218578525646493,-0.8655401820695313,0.0]",04e0989cd496b5e49e86a109297c4600e76d3bae2260a54ad751fa8174be8874,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_015,smooth_trajectory,moderate,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,5,3.2254466384599433e-14,1.1102230246251565e-16,11.55,8.841646166819528,2.4979063176001146,6.343739849219413,129.889147818003,"[0.11087487942414263,-9.952704474618856e-05,-0.00025516025486413564]","[0.33144315337257435,-0.36074946849636513]","[0.016266368599118626,0.03406842843233168,0.03860945384142831,0.04412332619286046,0.05429157128123795]","[-1.1200907187440778,-1.0331475516590367,3.6166231779780325]","[-0.881782138668631,-1.0168882004956346,0.8073844228641204]","[1.1045682706013633,1.0148541449788309,-0.0]","[0.8177975383293761,0.7513752147481132,0.0]",e8981b8368c31f31ca246875d2759d37b3e7d41af82d8b0679695ac17f15b0d6,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_016,setpoint,strong_sustained,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,6,3.855524544301058e-14,3.3306690738754696e-16,11.5,8.876823524508351,2.533083675288938,6.343739849219413,129.94925261323462,"[-0.2567482419857185,0.003077824289309326,0.0030301667724888337]","[-0.7214182705529714,-1.6603058900727712]","[0.059585371119588,0.17713889495221646,0.20075195064232962,0.22941773234251175,0.2822680079208888]","[-1.5284510776180984,0.6737202710019111,3.2894288002243086]","[-1.2437185924788354,0.6382948708062833,0.4831274453407668]","[2.751400859355947,-1.1957396502313349,-0.0]","[3.7648185823935205,-1.6361639343056087,0.0]",f3f58c1f4b3b0bc1b5e78d285045b1a1e10cceff636eed652036f720e38031d9,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_017,smooth_trajectory,strong_sustained,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,5,2.229761225702621e-14,2.2887833992611187e-16,11.45,8.760546512638715,2.416806663419301,6.343739849219413,129.94614227150782,"[0.21927213103079304,0.005712955068478184,-0.002640636568571558]","[0.6226932977250581,-1.6529294649066169]","[0.043598603146766036,0.18222709073567714,0.20651518348363887,0.23599920923456408,0.29035774779204354]","[-1.3620937208726267,-0.5213629323064035,3.6377814693877064]","[-1.0775485707049854,-0.49078483986335125,0.8313550341215373]","[2.8073337145779385,1.0577700198975366,-0.0]","[3.7480829003396754,1.412233146163731,0.0]",5c3a08ddf6ee73fdb54d7f16b9ecda7a3a85188116c986423e12805e8e689569,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_018,setpoint,strong_transient,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,1.6653345369377348e-16,11.4,8.456777579100835,2.1130377298814227,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[1.0835496330973178,-0.25769296632469785,3.125914539031097]","[1.3085496330973179,-0.25769296632469785,0.3159145390310969]","[-0.0,0.0,-0.0]","[0.0,0.0,0.0]",478eb32ed0bd4f945a388e10658041b13fbba15cb6cd60d59666f4f8a4aa6c95,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_019,smooth_trajectory,strong_transient,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,0.0,11.35,8.51821790368824,2.1744780544688274,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[0.9490490624589522,-0.4625825066742661,3.731654964961736]","[1.1740490624589521,-0.4625825066742661,0.9216549649617358]","[-0.0,0.0,-0.0]","[0.0,0.0,0.0]",fb81c1681d8467eee89ced22ec1284da3446e75fba7f91b4aff21e8d108a880d,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_020,setpoint,stochastic,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,4,3.245397590430925e-14,4.577566798522237e-16,11.3,8.526133296549162,2.1823934473297486,6.343739849219413,129.88476835890162,"[-0.02683166047234021,0.00011887586492286414,1.9666196457479094e-05]","[-0.07972010415894,-0.11074785498606095]","[0.004181231583135397,0.010954416800546034,0.012414781688095712,0.014188047677068574,0.01745812351087287]","[0.946671133848096,-0.6804663082249967,3.413128658982711]","[1.175740384710668,-0.6843764027112373,0.6033369503337442]","[0.652840401841105,-0.4699375065386983,0.0]","[0.2510557798948147,-0.1807187895742592,0.0]",b04d2099b019965bc70a850ac977a446263fd605c4315f11b7b29f5cb2ccf851,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_021,smooth_trajectory,stochastic,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,4,3.1773914212271503e-14,2.2887833992611187e-16,11.25,8.949977417605602,2.606237568386189,6.343739849219413,129.88440040601213,"[-0.0011096640071871552,3.581434492791539e-06,1.9225293407380297e-08]","[-0.0035573729820679977,-0.002805151028870675]","[9.369537532241178e-05,0.00025943135044373763,0.00029402209014770696,0.0003360251153799666,0.0004134815681434556]","[1.0512735092289225,-1.3331396543709988,3.221953092675765]","[1.2763790633285712,-1.333314121629636,0.41195863132600397]","[0.08898640892753996,-0.11284877147978711,0.0]","[0.006359026121673953,-0.008064245925724639,0.0]",bf704e396c67478905729124c4475a0e1c484e38fdb1268f0fd90d7196b924e6,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_022,setpoint,ramp,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,6,2.2297183652946204e-14,0.0,11.75,8.753116579647363,2.4093767304279496,6.343739849219413,129.967104320019,"[0.5403181946934168,0.0020949724292522896,0.003986349099460249]","[1.6429800266428618,1.2163389914895995]","[-0.06384504073097536,-0.10782966265222702,-0.12222464417201248,-0.13970742534189623,-0.17194126853007682]","[0.9082218012248361,-1.2466224407857345,3.1613455821120184]","[1.0880101374494062,-1.1661253424063793,0.35048319602139033]","[-1.784632415823832,2.411449178479777,-0.0]","[-2.7577458378643795,3.726349401820204,0.0]",4c887ba90a540bb8de443ecf10cdd95f13420d230457ec98a23b7ffb0d70a165,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_023,smooth_trajectory,ramp,opposed,True,True,True,True,CERTIFIED_REACHABLE,True,6,5.5478145407799013e-14,4.002966042486721e-16,11.7,8.775796594380646,2.432056745161233,6.343739849219413,129.93922462114153,"[0.14388004797232193,-0.012481983326148433,0.0017980362027455181]","[0.4236031485607243,1.609658113853306]","[-0.0008867196641939398,-0.19170219762576243,-0.21724679061887492,-0.24825363739144574,-0.3054190803940559]","[1.4087136282497514,-0.37616357012718915,3.6884674318296784]","[1.5753562194268247,-0.3554175990196636,0.876666256510854]","[-2.9011915135055575,0.7636018608956731,-0.0]","[-3.649911059890123,0.9606669757792454,0.0]",55cdf14b792b7a7796af9afddbcc8cb2e14a408b1a78f2ca3e3cead247473fcc,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_024,setpoint,calm,cross,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,1.1102230246251565e-16,11.65,8.167452359706969,1.8237125104875558,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[0.31279281599046993,0.6629903537378362,3.592385625518207]","[0.5377928159904699,0.6629903537378362,0.782385625518207]","[-0.0,0.0,0.0]","[0.0,0.0,0.0]",cfce3911ae2e39d21492d589196b550b84591e2c2ad470d1e6c22f738ee930c6,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_025,smooth_trajectory,calm,cross,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,0.0,11.6,8.523180006092096,2.179440156872682,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[-1.103283272693501,-0.0867739525596971,3.6305443573602734]","[-0.8782832726935009,-0.0867739525596971,0.8205443573602731]","[-0.0,0.0,-0.0]","[0.0,0.0,0.0]",1d6ff37d099b15496eeb646588f6dd2ae806028874e6f81b028e1f57cb4077e3,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_026,setpoint,moderate,cross,True,True,True,True,CERTIFIED_REACHABLE,True,5,3.2312577019134105e-14,3.1401849173675503e-16,11.55,8.915349547757243,2.5716096985378303,6.343739849219413,129.8893084196546,"[-0.1252546871813081,-0.0002334588468457459,-0.0002272660577011187]","[-0.4003072161642622,0.2964231943628734]","[-0.010755327832492657,-0.0270778220359627,-0.030687619730646716,-0.03507086732586325,-0.04315399737568986]","[-1.273709270806196,0.9710347736934576,3.621611370162553]","[-1.0598614963961164,0.9514064138504018,0.8111154072909349]","[-0.8926336130617325,-1.2054896236933594,0.0]","[-0.6719708253731674,-0.9074875128593151,0.0]",58d416558ce94476f595154d1849a8a0f4396f2460051304aecb4a2b76063db6,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_027,smooth_trajectory,moderate,cross,True,True,True,True,CERTIFIED_REACHABLE,True,5,4.920836531927277e-14,0.0,11.5,8.95854713143611,2.6148072822166957,6.343739849219413,129.88930075625342,"[0.12385717510415493,0.00012607275021041744,-0.0002360875473090635]","[0.38976443971805613,-0.30953020729226405]","[0.0120905890322355,0.02836540022879218,0.032146747348007834,0.03673828286350825,0.04520553545189249]","[-1.3485785877740746,1.0426199083434324,3.282408755158726]","[-1.1119830790033172,1.0617393759951081,0.4731075702007088]","[0.9328326547869926,1.1746587752036977,-0.0]","[0.7016840806227184,0.8835875957970466,0.0]",6119478f61421df267be67690cfda1bf06480cf32cab1828c2cf25b8dd3d0a71,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_028,setpoint,strong_sustained,cross,True,True,True,True,CERTIFIED_REACHABLE,True,5,4.641417765134306e-14,2.7194799110210365e-16,11.45,8.826072962112118,2.4823331128927038,6.343739849219413,129.96206752131644,"[-0.4973574238351431,-0.003390347740785119,-0.0019876578484190155]","[-1.8623482132732694,0.6752268973734521]","[-0.0043702587066458244,-0.061102132641553175,-0.06926299493602844,-0.07917569400757776,-0.09745235724508014]","[-1.3438285076958243,0.5878769722254541,3.6989336025861146]","[-1.1451812166189832,0.4965966892326527,0.8891174436038234]","[-1.0222269434084195,-2.8204701870734032,0.0]","[-1.5307497607617058,-4.223557295117345,0.0]",36e631db0821bc560561ff5c01337c80df08c9f6207ff0739c5fe8300fb8268e,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_029,smooth_trajectory,strong_sustained,cross,True,True,True,True,CERTIFIED_REACHABLE,True,6,1.639725145258973e-14,4.577566798522237e-16,11.4,8.904887870960586,2.5611480217411735,6.343739849219413,129.94391142023488,"[0.19376391144098662,-0.0077652073204134316,0.002363377133366849]","[0.5556173866826943,1.6427136059905534]","[-0.030848442378582495,-0.18553519515731004,-0.21026205329341952,-0.2402778770307909,-0.2956166541558931]","[-0.43592915408806115,-1.4911225365220777,3.750396399687318]","[-0.27022420195303753,-1.463911333021575,0.9385340016845511]","[-2.8417973015185476,0.9613470221943267,-0.0]","[-3.7249052975173815,1.260092200738841,0.0]",fefe14fc8575633a5590a94ab4ea8c7f62c0a32d5bca4236f966fb8894461953,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_030,setpoint,strong_transient,cross,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,2.220446049250313e-16,11.35,8.219540082271203,1.87580023305179,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[0.3696141565164489,-0.7630363096507602,3.434428559822949]","[0.5946141565164489,-0.7630363096507602,0.6244285598229489]","[0.0,0.0,0.0]","[0.0,0.0,0.0]",de62093d9f73bbf44625355ce75630c49b2b342286b97771f67ff9a17916f1c2,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_031,smooth_trajectory,strong_transient,cross,True,True,True,True,CERTIFIED_REACHABLE,True,1,2.146654790816012e-15,6.106226635438361e-16,11.3,8.144022241131712,1.8002823919122986,6.343739849219413,129.8844,"[0.0,0.0,0.0]","[0.0,0.0]","[0.0,0.0,0.0,0.0,0.0]","[0.5846018781715369,-0.5585434174326965,3.2527420059306604]","[0.8096018781715368,-0.5585434174326965,0.44274200593066004]","[-0.0,-0.0,-0.0]","[0.0,0.0,0.0]",f38561498e99860322d2c9674fbdf58527e44e848dbda57baceebde9737bf905,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_032,setpoint,stochastic,cross,True,True,True,True,CERTIFIED_REACHABLE,True,5,4.7157232222909086e-14,2.482534153247273e-16,11.25,8.994739406766552,2.6509995575471392,6.343739849219413,129.89406688339415,"[0.1788822913685446,-0.0005694463252408495,0.0004059750000201322]","[0.5897482314669305,0.3752724248649859]","[-0.01160548916080411,-0.03404755026791052,-0.038586919892333454,-0.044099001141101137,-0.05426370398789516]","[-1.4004723656714588,-0.9290921969759812,3.7251279487803686]","[-1.1897059851634826,-0.9001766724966546,0.9145579605814507]","[-0.9529356047474037,1.4976212389202357,-0.0]","[-0.8507211379714592,1.3369823084343317,0.0]",56f27169440d0f59d73fef4c780acf4b6110688ceb1fdc69ba91dfdd6bb001ee,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
native_development_033,smooth_trajectory,stochastic,cross,True,True,True,True,CERTIFIED_REACHABLE,True,4,4.8087283036797865e-14,1.1102230246251565e-16,11.75,8.871526853485326,2.527787004265913,6.343739849219413,129.88444843919797,"[0.011817321829725752,-0.00012952315748750165,1.3628079921608883e-06]","[0.04569426686872937,0.018989956302030885]","[9.059228098126907e-05,-0.0017718437125080783,-0.0020080867254530267,-0.002294952840872451,-0.0028239541110388054]","[1.393039845807232,0.5763787386129959,3.727758380599399]","[1.6172944310538475,0.5786197290721831,0.917719394157721]","[-0.18417045201186666,0.44315719256922076,0.0]","[-0.04304853152522077,0.10358483766828797,0.0]",47ab3f3b3ba8e1e70995183b56335c758a2a8da57bd432bbc20a4f1552900e44,NONCAUSAL_ENDPOINT_EQUILIBRIUM_CERTIFICATE_NO_SELECTION_AUTHORITY
