sample_id,task_family,wind_kind,wind_direction,safe,success,safety_reasons,failure_mechanism,endpoint_position_error_m,endpoint_velocity_error_m_s,position_rmse_m,velocity_rmse_m_s,orientation_rmse_rad,max_requested_or_applied_thrust_N,max_requested_or_applied_torque_Nm,thrust_saturation_rate,torque_saturation_rate,max_true_external_force_N,runtime_mean_ms,runtime_p95_ms,semantic_fingerprint,execution_authority
native_development_078,setpoint,strong_transient,aligned,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,1.8645258423781828,0.11018201584707933,1.5167844227161653,1.5162157327431391,2.4697740402576325,142.63342543655295,"[25.0,25.0,12.0]",0.4359166666666667,0.5304166666666666,2.174243449024398,0.07708528472222222,0.1308,fa502388ac913f17d35c5e3759140d23eefee3fc42c70cb3daa4c4f67a255fbc,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_079,smooth_trajectory,strong_transient,aligned,False,False,"[""attitude"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,1.0271510806093596,5.728021646905735,1.9567253072158393,2.0518893804056906,0.5589994814382306,140.60260296275,"[25.0,18.02353580314544,12.0]",0.03,0.11491666666666667,3.3016217210875394,0.07708300694444445,0.131,b7ab449ad127acaab136fad4fac2536ef795f8e0fa9f0a25a0be1609a01b2c6f,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_080,setpoint,stochastic,aligned,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,2.7528949168082426,0.001400864896788853,1.9349497779530807,1.5986063512702418,1.4824272043584281,137.8247059722043,"[25.0,14.343037991112237,12.0]",0.3465,0.41991666666666666,15.502825435825141,0.07733244444444444,0.1293,4ce34bee9d694485b252418fef3cc76eb45316578993c0f6a4ebaaf30acc8387,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_081,smooth_trajectory,stochastic,aligned,False,False,"[""attitude""]",SAFETY_OR_AUTHORITY_LIMIT,6.551790514512482,3.3722286568874327,2.7468883647160456,1.7128048260110187,0.20365935366129836,144.36115110366654,"[23.680220091789437,0.5548734408535901,3.160368049503687]",0.0,0.0,13.153094103488733,0.07813683333333334,0.1321,a2e849a19c8f2c4c2effb768ffea3e38bf1a5d56e27cc5282c24b6e257366382,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_082,setpoint,ramp,aligned,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,3.1471555972763894,0.0006782801732971741,2.4720158362004674,1.4721808979265896,2.7326061960228927,137.98749050217066,"[25.0,25.0,12.0]",0.5343333333333333,0.6313333333333333,15.49171200984615,0.07843622222222223,0.1315,52f9c62ae0eab91e237f045a58902d4659be5dcf78168d3c7f939891a115497d,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_083,smooth_trajectory,ramp,aligned,False,False,"[""attitude"",""joint_angle"",""uav_height"",""uav_workspace""]",SAFETY_OR_AUTHORITY_LIMIT,9.536240421074666,0.33540325074699356,3.763101052081623,1.9658712537424414,1.3362059546528944,140.10945263805274,"[25.0,25.0,12.0]",0.12391666666666666,0.264,15.20710383239692,0.08030197222222221,0.1343,9c0eb7d97f096b1020e018b6918cbc662573c3cd6419a3b41dc99e613d066624,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_084,setpoint,calm,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,4.215376660792572,0.0023691636618587697,2.6311329679084103,1.5274559760257735,3.280355343334843,137.37301723682828,"[25.0,12.4126394260048,12.0]",0.3915,0.4846666666666667,0.27518221282579836,0.07717486805555555,0.13,5f17fdb0abb5cbce830236e1f8ac6d91f829b12aa20086639129b2b87e96674d,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_085,smooth_trajectory,calm,opposed,True,False,[],VELOCITY_ENDPOINT,0.37102986216038436,3.402679744551124,0.2914319659466034,0.6464471539726966,0.08416096646945188,134.2305121228869,"[20.964677735237032,0.21576233468045677,0.38401516912161326]",0.0,0.0,0.026365375589260467,0.07777869444444445,0.1317049999999999,97e9fd10915747e2df94dd3a515afe254bdd9fe4331c9168283b8da7f6a0b680,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_086,setpoint,moderate,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height"",""uav_workspace""]",SAFETY_OR_AUTHORITY_LIMIT,6.810311444617562,0.022208088104906095,3.8154732840837444,2.703152142106248,1.0676922515428335,145.2648522221769,"[25.0,23.66570456227081,12.0]",0.1945,0.31175,24.8983199831356,0.07705061805555556,0.1291,03de5f57af937f692469afb22da4e691edc1021ec1e1e2195a3f76f2027ec350,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_087,smooth_trajectory,moderate,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,2.0371781056688936,2.392791107083126,0.956295307057906,1.528101933455154,0.6234736327290245,143.09071066624466,"[25.0,16.796534473225645,12.0]",0.041916666666666665,0.14041666666666666,22.373320229350018,0.07713536805555556,0.1309,5e11ac07d8af59ecdbb748df1c4370f525e80ab454e038aaf0f2eb68f0faa5b2,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
