sample_id,catastrophic,target_x,target_y,target_z,position_rmse_3d_m,position_peak_proxy_m,orientation_rmse_deg,trust_mean,residual_clip_fraction_mean,residual_debt_norm_mean,requested_steady_input_max_abs_mean_m_s2,backbone_norm_mean,qp_correction_norm_mean,qp_to_backbone_norm_ratio,slew_activity_fraction,amplitude_activity_fraction
dev_strong_simultaneous_00,True,-0.5425819532685368,0.755926328826682,0.36630616889961637,0.41047331798485215,0.7255275739939249,5.2089702370655,0.5580721446781072,0.18612035027562007,0.009374836343998945,0.023298823159020047,4.004264957153025,6.79843744135631,1.6977991002348407,0.4149377593360996,0.04149377593360996
dev_strong_simultaneous_01,True,-0.5266658210518665,-0.5590226887087986,-0.6404035809117161,0.4300952355898661,0.7491757785940601,5.1964648514510285,0.5566561326664837,0.18694048102355518,0.00937104747484074,0.023217037602681664,4.030726918181402,6.848517727194287,1.699077577372626,0.42323651452282157,0.07053941908713693
dev_strong_simultaneous_02,True,-0.5282481254808294,0.6179415492618224,0.5823247887750345,0.4048672526325258,0.6958800209271072,4.996899326190333,0.5600366979668955,0.18432188169675517,0.009259674657580074,0.022743214782893106,3.97774406111045,6.7178118776472,1.6888497033597019,0.4190871369294606,0.06224066390041494
dev_strong_simultaneous_03,False,0.7507710210937205,0.3270239331971539,0.5739322442607279,0.07259087301107914,0.18000000000000058,0.8576508219915708,0.9417831865155676,0.0,0.0020696389704503416,0.0034072750827865836,1.6890560973913202,0.10544232886808441,0.06242677731718673,0.024896265560165973,0.0
dev_strong_simultaneous_04,False,0.2943600235224639,0.9061571288396109,-0.30369628645244773,0.09605239885436433,0.19107063880651118,0.8297810300168761,0.9399804555578402,0.0004960823716088782,0.002053689249836257,0.004020512910268939,1.6860685168830725,0.13860529956060605,0.08220620821319696,0.03734439834024896,0.0
dev_strong_simultaneous_05,True,-0.3847315474233147,-0.36213094154713654,0.8490246271996156,0.4146358351262351,0.7515550642973763,5.211485601856644,0.564626118721613,0.18225277041229188,0.009111710893611537,0.02257920016911744,3.9548504398989324,6.547772922510416,1.6556309832737306,0.3775933609958506,0.024896265560165973
dev_strong_simultaneous_06,True,-0.6502383329063883,-0.461089927744184,0.6038097290968276,0.41797726367067795,0.7123527402070906,5.206222306697074,0.556093727297981,0.18643225850723288,0.009395221294088577,0.023404233875024116,4.0233801235742765,6.823135155386321,1.6958713683073048,0.3900414937759336,0.07053941908713693
dev_strong_simultaneous_07,False,0.27095690483457147,0.21753318280333164,0.9376895382278302,0.08322507591859145,0.23000000000000037,0.8930432946094357,0.9418802761660314,0.0,0.002109529403405736,0.0035308076559085475,1.726695927836023,0.12826759494122764,0.07428499301667935,0.03319502074688797,0.0
dev_strong_simultaneous_08,False,0.9214181715757145,-0.2847339882788413,-0.26441465354418603,0.08004557285897981,0.22999999999999984,0.8576467872079675,0.9414075167337222,7.459573934005704e-05,0.0020521302364357383,0.0033466784447853492,1.6757889001412223,0.10675432027635058,0.06370391895265219,0.024896265560165973,0.0
dev_strong_simultaneous_09,True,-0.893748606095729,0.28813769354549806,0.3437878686926314,0.4225612424340195,0.7245979864954027,5.320751226893332,0.5550577456351906,0.1869760646338845,0.009454752689047583,0.023936711412091034,4.093531041435188,6.939326088381893,1.695193225149936,0.3775933609958506,0.04564315352697095
dev_strong_simultaneous_10,False,0.5576688834242353,-0.7738689432332295,0.30022037765523407,0.09671547098810583,0.22999999999999923,0.8541055650028705,0.9417763396686567,0.0,0.0020698487368840377,0.0034724148120954743,1.7180664473189562,0.12131211594389701,0.0706096764378378,0.024896265560165973,0.0
dev_strong_simultaneous_11,True,-0.707652781113262,0.22770342740356722,0.6688637309133559,0.4384928461748469,0.7587865487725065,5.106265443267563,0.5559664669583002,0.18603286999826926,0.00935824179353808,0.02321533199308979,4.07340014104727,6.869085118168699,1.6863271174735754,0.37344398340248963,0.04979253112033195
